t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,4
1621426575,4
1621426605,5
1621426635,5
1621426665,5
1621426695,5
1621426725,5
1621426755,5
1621426785,5
1621426815,5
1621426845,5
1621426875,5
1621427187,5
1621427217,6
1621427247,6
1621427277,18
1621427307,19
1621427337,19
1621427367,19
1621427397,19
1621427427,19
1621427457,19
1621427487,0
1621427517,0
1621427547,0
1621427577,0
1621427607,0
1621427637,0
1621427667,0
1621427697,0
1621427727,0
1621427757,0
1621427787,0
1621427817,0
1621427847,0
1621427877,0
1621427907,0
1621427937,0
1621427967,0
1621427997,0
1621428027,0
1621428057,0
1621428087,0
1621428117,0
1621428147,0
1621428177,0
1621428207,0
1621428237,0
1621428267,0
1621428297,0
1621428327,0
1621428357,0
1621428387,0
1621428417,0
1621428447,1
1621428477,2
1621428507,2
1621428537,3
1621428567,3
1621428597,3
1621428627,3
1621428657,3
1621428687,3
1621428717,3
1621428747,3
1621428777,3
1621428807,3
1621428837,3
1621428867,3
1621428897,3
1621428927,3
1621428957,3
1621428987,3
1621429017,3
1621429047,3
1621429077,3
1621429107,3
1621429137,3
1621429167,3
1621429197,3
1621429227,3
1621429257,3
1621429287,3
1621429317,3
1621429347,3
1621429377,3
1621429407,3
1621429437,3
1621429467,3
1621429497,3
1621429527,3
1621429557,3
1621429587,3
1621429617,3
1621429647,3
1621429677,3
1621429707,3
1621429737,3
1621429767,3
1621429797,3
1621429827,3
1621429857,3
1621429887,3
1621429917,3
1621429947,3
1621429977,3
1621430007,3
1621430037,3
1621430067,3
1621430097,3
1621430127,3
1621430157,3
1621430187,3
1621430217,3
1621430247,3
1621430277,3
1621430307,3
1621430337,3
1621430367,3
1621430397,3
1621430427,3
1621430457,3
1621430487,3
1621430517,3
1621430547,3
1621430577,3
1621430607,0
1621430637,1
1621430667,1
1621430697,2
1621430727,2
1621430757,2
1621430787,2
1621430817,2
1621430847,2
1621430877,2
1621430907,2
1621430937,2
1621430967,2
1621430997,2
1621431027,2
1621431057,2
1621431087,2
1621431117,2
1621431147,2
1621431177,2
1621431207,2
1621431237,2
1621431267,2
1621431297,2
1621431327,2
1621431357,2
1621431387,2
1621431417,2
1621431447,2
1621431477,2
1621431507,2
1621431537,2
1621431567,2
1621431597,3
1621431627,3
1621431657,3
1621431687,3
1621431717,3
1621431747,3
1621431777,3
1621431807,3
1621431837,3
1621431867,3
1621431897,3
1621431927,3
1621431957,3
1621431987,0
1621432017,0
1621432047,0
1621432077,1
1621432107,1
1621432137,2
1621432167,2
1621432197,2
1621432227,2
1621432257,2
1621432287,2
1621432317,2
1621432347,2
1621432377,2
1621432407,3
1621432437,3
1621432467,3
1621432497,3
1621432527,0
1621432557,0
1621432587,0
1621432617,0
1621432647,0
1621432677,0
