t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,83886080
1621426575,83886080
1621426605,100663296
1621426635,100663296
1621426665,150994944
1621426695,201326592
1621426725,268435456
1621426755,268435456
1621426785,268435456
1621426815,268435456
1621426845,268435456
1621426875,268435456
1621427187,100663296
1621427217,117440512
1621427247,117440512
1621427277,268435456
1621427307,268435456
1621427337,268435456
1621427367,268435456
1621427397,268435456
1621427427,268435456
1621427457,268435456
1621427487,268435456
1621427517,268435456
1621427547,268435456
1621427577,268435456
1621427607,268435456
1621427637,268435456
1621427667,268435456
1621427697,268435456
1621427727,268435456
1621427757,268435456
1621427787,268435456
1621427817,268435456
1621427847,268435456
1621427877,268435456
1621427907,268435456
1621427937,268435456
1621427967,268435456
1621427997,268435456
1621428027,268435456
1621428057,268435456
1621428087,268435456
1621428117,268435456
1621428147,268435456
1621428177,268435456
1621428207,268435456
1621428237,268435456
1621428267,268435456
1621428297,268435456
1621428327,268435456
1621428357,268435456
1621428387,268435456
1621428417,268435456
1621428447,268435456
1621428477,268435456
1621428507,268435456
1621428537,268435456
1621428567,268435456
1621428597,268435456
1621428627,268435456
1621428657,268435456
1621428687,268435456
1621428717,268435456
1621428747,268435456
1621428777,268435456
1621428807,268435456
1621428837,268435456
1621428867,268435456
1621428897,268435456
1621428927,268435456
1621428957,268435456
1621428987,268435456
1621429017,268435456
1621429047,268435456
1621429077,268435456
1621429107,268435456
1621429137,268435456
1621429167,268435456
1621429197,268435456
1621429227,268435456
1621429257,268435456
1621429287,268435456
1621429317,268435456
1621429347,268435456
1621429377,268435456
1621429407,268435456
1621429437,268435456
1621429467,268435456
1621429497,268435456
1621429527,268435456
1621429557,268435456
1621429587,268435456
1621429617,268435456
1621429647,268435456
1621429677,268435456
1621429707,268435456
1621429737,268435456
1621429767,268435456
1621429797,268435456
1621429827,268435456
1621429857,268435456
1621429887,268435456
1621429917,268435456
1621429947,268435456
1621429977,268435456
1621430007,268435456
1621430037,268435456
1621430067,268435456
1621430097,268435456
1621430127,268435456
1621430157,268435456
1621430187,268435456
1621430217,268435456
1621430247,268435456
1621430277,268435456
1621430307,268435456
1621430337,268435456
1621430367,268435456
1621430397,268435456
1621430427,268435456
1621430457,268435456
1621430487,268435456
1621430517,268435456
1621430547,268435456
1621430577,268435456
1621430607,268435456
1621430637,268435456
1621430667,268435456
1621430697,268435456
1621430727,268435456
1621430757,268435456
1621430787,268435456
1621430817,268435456
1621430847,268435456
1621430877,268435456
1621430907,268435456
1621430937,268435456
1621430967,268435456
1621430997,268435456
1621431027,268435456
1621431057,268435456
1621431087,268435456
1621431117,268435456
1621431147,268435456
1621431177,268435456
1621431207,268435456
1621431237,268435456
1621431267,268435456
1621431297,268435456
1621431327,268435456
1621431357,268435456
1621431387,268435456
1621431417,268435456
1621431447,268435456
1621431477,268435456
1621431507,268435456
1621431537,268435456
1621431567,268435456
1621431597,268435456
1621431627,268435456
1621431657,268435456
1621431687,268435456
1621431717,268435456
1621431747,268435456
1621431777,268435456
1621431807,268435456
1621431837,268435456
1621431867,268435456
1621431897,268435456
1621431927,268435456
1621431957,268435456
1621431987,268435456
1621432017,268435456
1621432047,268435456
1621432077,268435456
1621432107,268435456
1621432137,268435456
1621432167,268435456
1621432197,268435456
1621432227,268435456
1621432257,268435456
1621432287,268435456
1621432317,268435456
1621432347,268435456
1621432377,268435456
1621432407,268435456
1621432437,268435456
1621432467,268435456
1621432497,268435456
1621432527,268435456
1621432557,268435456
1621432587,268435456
1621432617,268435456
1621432647,268435456
1621432677,268435456
