t,value
1621426425,3358
1621426455,6653
1621426485,3310
1621426515,6632
1621426545,3285
1621426575,6610
1621426605,3258
1621426635,2384
1621426665,3231
1621426695,6546
1621426725,3200
1621426755,6523
1621426785,3174
1621426815,6494
1621426845,3156
1621426875,0
1621427187,2051
1621427217,5345
1621427247,1984
1621427277,5304
1621427307,1953
1621427337,5277
1621427367,1920
1621427397,5246
1621427427,1903
1621427457,5222
1621427487,1875
1621427517,5193
1621427547,1846
1621427577,5166
1621427607,1819
1621427637,5142
1621427667,1787
1621427697,5101
1621427727,1763
1621427757,5086
1621427787,1742
1621427817,5071
1621427847,1716
1621427877,5039
1621427907,1696
1621427937,5021
1621427967,1675
1621427997,4986
1621428027,1637
1621428057,4955
1621428087,1614
1621428117,4932
1621428147,1583
1621428177,4906
1621428207,1558
1621428237,4878
1621428267,1530
1621428297,4844
1621428327,1498
1621428357,4813
1621428387,1476
1621428417,4799
1621428447,1445
1621428477,4759
1621428507,1422
1621428537,824
1621428567,1404
1621428597,4724
1621428627,1378
1621428657,4701
1621428687,1355
1621428717,4683
1621428747,1339
1621428777,4654
1621428807,1306
1621428837,4621
1621428867,1273
1621428897,4598
1621428927,1247
1621428957,4571
1621428987,1226
1621429017,4547
1621429047,1202
1621429077,4523
1621429107,1172
1621429137,4488
1621429167,1135
1621429197,4459
1621429227,1148
1621429257,4436
1621429287,1085
1621429317,4413
1621429347,1069
1621429377,4393
1621429407,1045
1621429437,4365
1621429467,1020
1621429497,4334
1621429527,983
1621429557,4303
1621429587,954
1621429617,4278
1621429647,924
1621429677,4245
1621429707,900
1621429737,4222
1621429767,873
1621429797,4195
1621429827,840
1621429857,4162
1621429887,817
1621429917,4137
1621429947,786
1621429977,4108
1621430007,754
1621430037,4078
1621430067,739
1621430097,4060
1621430127,713
1621430157,4032
1621430187,692
1621430217,4019
1621430247,673
1621430277,4003
1621430307,652
1621430337,3979
1621430367,626
1621430397,3946
1621430427,597
1621430457,3920
1621430487,573
1621430517,3895
1621430547,547
1621430577,3865
1621430607,517
1621430637,3838
1621430667,485
1621430697,3807
1621430727,461
1621430757,3777
1621430787,427
1621430817,3751
1621430847,407
1621430877,3735
1621430907,392
1621430937,3717
1621430967,363
1621430997,3682
1621431027,342
1621431057,3664
1621431087,313
1621431117,3637
1621431147,288
1621431177,3613
1621431207,265
1621431237,3587
1621431267,239
1621431297,3560
1621431327,211
1621431357,3537
1621431387,188
1621431417,3510
1621431447,161
1621431477,3481
1621431507,135
1621431537,3454
1621431567,99
1621431597,3421
1621431627,74
1621431657,3407
1621431687,65
1621431717,3387
1621431747,35
1621431777,3363
1621431807,20
1621431837,3347
1621431867,6667
1621431897,3315
1621431927,6634
1621431957,3286
1621431987,6604
1621432017,3252
1621432047,6569
1621432077,3222
1621432107,6543
1621432137,3184
1621432167,6509
1621432197,3164
1621432227,6484
1621432257,3135
1621432287,6461
1621432317,3113
1621432347,6438
1621432377,3085
1621432407,6409
1621432437,3072
1621432467,6396
1621432497,3042
1621432527,6363
1621432557,3022
1621432587,6347
1621432617,3001
1621432647,6326
1621432677,2978
