t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,0
1621426665,0
1621426695,0
1621426725,0
1621426755,0
1621426785,0
1621426815,0
1621426845,0
1621426875,0
1621427187,0
1621427217,0
1621427247,0
1621427277,0
1621427307,0
1621427337,0
1621427367,0
1621427397,0
1621427427,0
1621427457,0
1621427487,0
1621427517,0
1621427547,0
1621427577,0
1621427607,0
1621427637,0
1621427667,0
1621427697,0
1621427727,0
1621427757,0
1621427787,0
1621427817,0
1621427847,0
1621427877,0
1621427907,745
1621427937,745
1621427967,745
1621427997,745
1621428027,745
1621428057,745
1621428087,665
1621428117,665
1621428147,665
1621428177,665
1621428207,665
1621428237,665
1621428267,665
1621428297,665
1621428327,665
1621428357,665
1621428387,665
1621428417,665
1621428447,665
1621428477,665
1621428507,665
1621428537,665
1621428567,665
1621428597,665
1621428627,665
1621428657,665
1621428687,665
1621428717,665
1621428747,665
1621428777,665
1621428807,665
1621428837,665
1621428867,665
1621428897,665
1621428927,665
1621428957,665
1621428987,665
1621429017,1197
1621429047,1197
1621429077,1197
1621429107,1197
1621429137,1197
1621429167,1197
1621429197,1197
1621429227,1197
1621429257,1197
1621429287,1197
1621429317,1197
1621429347,1197
1621429377,1197
1621429407,1197
1621429437,1197
1621429467,1197
1621429497,1197
1621429527,1197
1621429557,1197
1621429587,1197
1621429617,1197
1621429647,1197
1621429677,1197
1621429707,1197
1621429737,1197
1621429767,1197
1621429797,1197
1621429827,1197
1621429857,1197
1621429887,1197
1621429917,1197
1621429947,1197
1621429977,1197
1621430007,1197
1621430037,1197
1621430067,1197
1621430097,1197
1621430127,1197
1621430157,1197
1621430187,1197
1621430217,1197
1621430247,1197
1621430277,1197
1621430307,1197
1621430337,1197
1621430367,1197
1621430397,1197
1621430427,1197
1621430457,1197
1621430487,1197
1621430517,1197
1621430547,1197
1621430577,1197
1621430607,1197
1621430637,1197
1621430667,1197
1621430697,1197
1621430727,1197
1621430757,1197
1621430787,1197
1621430817,1197
1621430847,1197
1621430877,1197
1621430907,1197
1621430937,1197
1621430967,1197
1621430997,1197
1621431027,1197
1621431057,1197
1621431087,1197
1621431117,1197
1621431147,1197
1621431177,1197
1621431207,1197
1621431237,1197
1621431267,1197
1621431297,1197
1621431327,1197
1621431357,1197
1621431387,1197
1621431417,1197
1621431447,1197
1621431477,1197
1621431507,1197
1621431537,1197
1621431567,1197
1621431597,1197
1621431627,1197
1621431657,1197
1621431687,1197
1621431717,1197
1621431747,1197
1621431777,1197
1621431807,1197
1621431837,1197
1621431867,1197
1621431897,1197
1621431927,1197
1621431957,1197
1621431987,1197
1621432017,1197
1621432047,1197
1621432077,1197
1621432107,1197
1621432137,1197
1621432167,1197
1621432197,1197
1621432227,1197
1621432257,1197
1621432287,1197
1621432317,1197
1621432347,1197
1621432377,1197
1621432407,1197
1621432437,1197
1621432467,1197
1621432497,1197
1621432527,1197
1621432557,1197
1621432587,1197
1621432617,1197
1621432647,1197
1621432677,1197
