t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,138
1621426665,138
1621426695,138
1621426725,138
1621426755,138
1621426785,138
1621426815,138
1621426845,138
1621426875,138
1621427187,138
1621427217,138
1621427247,138
1621427277,138
1621427307,138
1621427337,138
1621427367,138
1621427397,138
1621427427,138
1621427457,138
1621427487,138
1621427517,138
1621427547,138
1621427577,138
1621427607,138
1621427637,138
1621427667,138
1621427697,138
1621427727,138
1621427757,138
1621427787,138
1621427817,138
1621427847,138
1621427877,138
1621427907,138
1621427937,138
1621427967,138
1621427997,138
1621428027,138
1621428057,138
1621428087,138
1621428117,138
1621428147,138
1621428177,138
1621428207,138
1621428237,138
1621428267,138
1621428297,138
1621428327,138
1621428357,138
1621428387,138
1621428417,138
1621428447,138
1621428477,138
1621428507,138
1621428537,171
1621428567,171
1621428597,171
1621428627,171
1621428657,171
1621428687,171
1621428717,171
1621428747,171
1621428777,171
1621428807,171
1621428837,171
1621428867,171
1621428897,171
1621428927,171
1621428957,171
1621428987,171
1621429017,171
1621429047,171
1621429077,171
1621429107,171
1621429137,171
1621429167,171
1621429197,171
1621429227,171
1621429257,171
1621429287,171
1621429317,171
1621429347,171
1621429377,171
1621429407,171
1621429437,171
1621429467,171
1621429497,171
1621429527,171
1621429557,171
1621429587,171
1621429617,171
1621429647,171
1621429677,171
1621429707,171
1621429737,171
1621429767,171
1621429797,171
1621429827,171
1621429857,171
1621429887,171
1621429917,171
1621429947,171
1621429977,171
1621430007,171
1621430037,171
1621430067,171
1621430097,171
1621430127,171
1621430157,171
1621430187,171
1621430217,171
1621430247,171
1621430277,171
1621430307,171
1621430337,171
1621430367,171
1621430397,171
1621430427,171
1621430457,171
1621430487,171
1621430517,171
1621430547,171
1621430577,171
1621430607,171
1621430637,171
1621430667,171
1621430697,171
1621430727,171
1621430757,171
1621430787,171
1621430817,171
1621430847,171
1621430877,171
1621430907,171
1621430937,171
1621430967,171
1621430997,171
1621431027,171
1621431057,171
1621431087,171
1621431117,171
1621431147,171
1621431177,171
1621431207,171
1621431237,171
1621431267,171
1621431297,171
1621431327,171
1621431357,171
1621431387,171
1621431417,171
1621431447,171
1621431477,171
1621431507,171
1621431537,171
1621431567,171
1621431597,171
1621431627,171
1621431657,171
1621431687,171
1621431717,171
1621431747,171
1621431777,171
1621431807,171
1621431837,171
1621431867,171
1621431897,171
1621431927,171
1621431957,171
1621431987,171
1621432017,171
1621432047,171
1621432077,171
1621432107,171
1621432137,171
1621432167,171
1621432197,171
1621432227,171
1621432257,171
1621432287,171
1621432317,171
1621432347,171
1621432377,171
1621432407,171
1621432437,171
1621432467,171
1621432497,171
1621432527,171
1621432557,171
1621432587,171
1621432617,171
1621432647,171
1621432677,171
