t,value
1621426425,819893
1621426455,819893
1621426485,819893
1621426515,819893
1621426545,819893
1621426575,819893
1621426605,819893
1621426635,819893
1621426665,819893
1621426695,819893
1621426725,819893
1621426755,819893
1621426785,819893
1621426815,819893
1621426845,819893
1621426875,819893
1621427187,885429
1621427217,885429
1621427247,885429
1621427277,885429
1621427307,885429
1621427337,885429
1621427367,885429
1621427397,885429
1621427427,885429
1621427457,885429
1621427487,885429
1621427517,885429
1621427547,885429
1621427577,885429
1621427607,885429
1621427637,885429
1621427667,885429
1621427697,885429
1621427727,885429
1621427757,885429
1621427787,885429
1621427817,885429
1621427847,885429
1621427877,885429
1621427907,885429
1621427937,885429
1621427967,885429
1621427997,885429
1621428027,885429
1621428057,885429
1621428087,885429
1621428117,885429
1621428147,885429
1621428177,885429
1621428207,885429
1621428237,885429
1621428267,885429
1621428297,885429
1621428327,885429
1621428357,885429
1621428387,885429
1621428417,885429
1621428447,885429
1621428477,885429
1621428507,885429
1621428537,885429
1621428567,885429
1621428597,885429
1621428627,885429
1621428657,885429
1621428687,885429
1621428717,885429
1621428747,885429
1621428777,885429
1621428807,885429
1621428837,885429
1621428867,885429
1621428897,885429
1621428927,885429
1621428957,885429
1621428987,885429
1621429017,885429
1621429047,885429
1621429077,885429
1621429107,885429
1621429137,885429
1621429167,885429
1621429197,885429
1621429227,885429
1621429257,885429
1621429287,885429
1621429317,885429
1621429347,885429
1621429377,885429
1621429407,885429
1621429437,885429
1621429467,885429
1621429497,885429
1621429527,885429
1621429557,942773
1621429587,942773
1621429617,942773
1621429647,942773
1621429677,942773
1621429707,942773
1621429737,942773
1621429767,942773
1621429797,942773
1621429827,942773
1621429857,942773
1621429887,942773
1621429917,942773
1621429947,942773
1621429977,942773
1621430007,942773
1621430037,942773
1621430067,942773
1621430097,942773
1621430127,942773
1621430157,942773
1621430187,942773
1621430217,942773
1621430247,942773
1621430277,942773
1621430307,942773
1621430337,942773
1621430367,942773
1621430397,942773
1621430427,942773
1621430457,942773
1621430487,942773
1621430517,942773
1621430547,942773
1621430577,942773
1621430607,942773
1621430637,942773
1621430667,942773
1621430697,942773
1621430727,942773
1621430757,942773
1621430787,942773
1621430817,942773
1621430847,942773
1621430877,942773
1621430907,942773
1621430937,942773
1621430967,942773
1621430997,942773
1621431027,942773
1621431057,942773
1621431087,942773
1621431117,942773
1621431147,942773
1621431177,942773
1621431207,942773
1621431237,942773
1621431267,942773
1621431297,942773
1621431327,942773
1621431357,942773
1621431387,942773
1621431417,942773
1621431447,942773
1621431477,942773
1621431507,942773
1621431537,942773
1621431567,942773
1621431597,942773
1621431627,942773
1621431657,942773
1621431687,942773
1621431717,942773
1621431747,942773
1621431777,942773
1621431807,942773
1621431837,942773
1621431867,942773
1621431897,942773
1621431927,942773
1621431957,942773
1621431987,942773
1621432017,942773
1621432047,942773
1621432077,942773
1621432107,942773
1621432137,942773
1621432167,942773
1621432197,942773
1621432227,942773
1621432257,942773
1621432287,942773
1621432317,942773
1621432347,942773
1621432377,942773
1621432407,942773
1621432437,942773
1621432467,942773
1621432497,942773
1621432527,942773
1621432557,942773
1621432587,942773
1621432617,942773
1621432647,942773
1621432677,942773
