t,value
1621426425,820461
1621426455,820461
1621426485,820461
1621426515,820461
1621426545,820461
1621426575,820461
1621426605,820461
1621426635,820461
1621426665,820461
1621426695,820461
1621426725,820461
1621426755,820461
1621426785,820461
1621426815,820461
1621426845,820461
1621426875,820461
1621427187,916862
1621427217,916862
1621427247,916862
1621427277,916862
1621427307,916862
1621427337,916862
1621427367,916862
1621427397,916862
1621427427,916862
1621427457,916862
1621427487,916862
1621427517,916862
1621427547,916862
1621427577,916862
1621427607,916862
1621427637,916862
1621427667,916862
1621427697,916862
1621427727,916862
1621427757,916862
1621427787,916862
1621427817,916862
1621427847,916862
1621427877,916862
1621427907,916862
1621427937,916862
1621427967,916862
1621427997,916862
1621428027,916862
1621428057,916862
1621428087,916862
1621428117,916862
1621428147,916862
1621428177,916862
1621428207,916862
1621428237,916862
1621428267,916862
1621428297,916862
1621428327,916862
1621428357,917246
1621428387,917246
1621428417,917246
1621428447,917246
1621428477,917246
1621428507,917246
1621428537,917246
1621428567,917246
1621428597,917246
1621428627,917246
1621428657,917246
1621428687,917246
1621428717,917246
1621428747,917246
1621428777,917246
1621428807,917246
1621428837,917246
1621428867,917246
1621428897,917246
1621428927,917246
1621428957,1024458
1621428987,1024458
1621429017,1024458
1621429047,1024458
1621429077,1024458
1621429107,1024458
1621429137,1024458
1621429167,1024458
1621429197,1024458
1621429227,1024458
1621429257,1024458
1621429287,1024458
1621429317,1024458
1621429347,1024458
1621429377,1024458
1621429407,1024458
1621429437,1024458
1621429467,1024458
1621429497,1024458
1621429527,1024458
1621429557,1081994
1621429587,1081994
1621429617,1081994
1621429647,1081994
1621429677,1081994
1621429707,1081994
1621429737,1081994
1621429767,1081994
1621429797,1081994
1621429827,1081994
1621429857,1081994
1621429887,1081994
1621429917,1081994
1621429947,1081994
1621429977,1081994
1621430007,1081994
1621430037,1081994
1621430067,1081994
1621430097,1081994
1621430127,1081994
1621430157,1081994
1621430187,1081994
1621430217,1081994
1621430247,1081994
1621430277,1081994
1621430307,1081994
1621430337,1081994
1621430367,1081994
1621430397,1081994
1621430427,1081994
1621430457,1081994
1621430487,1081994
1621430517,1081994
1621430547,1081994
1621430577,1081994
1621430607,1081994
1621430637,1081994
1621430667,1081994
1621430697,1081994
1621430727,1081994
1621430757,1081994
1621430787,1081994
1621430817,1081994
1621430847,1081994
1621430877,1081994
1621430907,1081994
1621430937,1081994
1621430967,1081994
1621430997,1081994
1621431027,1081994
1621431057,1081994
1621431087,1081994
1621431117,1081994
1621431147,1081994
1621431177,1081994
1621431207,1081994
1621431237,1081994
1621431267,1081994
1621431297,1081994
1621431327,1081994
1621431357,1081994
1621431387,1081994
1621431417,1081994
1621431447,1081994
1621431477,1081994
1621431507,1081994
1621431537,1081994
1621431567,1081994
1621431597,1081994
1621431627,1081994
1621431657,1081994
1621431687,1081994
1621431717,1081994
1621431747,1081994
1621431777,1081994
1621431807,1081994
1621431837,1081994
1621431867,1081994
1621431897,1081994
1621431927,1081994
1621431957,1081994
1621431987,1081994
1621432017,1081994
1621432047,1081994
1621432077,1081994
1621432107,1081994
1621432137,1081994
1621432167,1081994
1621432197,1081994
1621432227,1081994
1621432257,1081994
1621432287,1081994
1621432317,1081994
1621432347,1081994
1621432377,1081994
1621432407,1081994
1621432437,1081994
1621432467,1081994
1621432497,1081994
1621432527,1081994
1621432557,1081994
1621432587,1081994
1621432617,1081994
1621432647,1081994
1621432677,1081994
