t,value
1621426425,0.0
1621426455,0.0
1621426485,1.0
1621426515,0.0
1621426545,0.9881422924901185
1621426575,0.0
1621426605,0.9920634920634921
1621426635,0.9855263157894737
1621426665,1.0
1621426695,1.0
1621426725,1.0
1621426755,0.0
1621426785,1.0
1621426815,1.0
1621426845,1.0
1621426875,1.0
1621427187,0.0
1621427217,1.0
1621427247,1.0
1621427277,0.9961832061068703
1621427307,1.0
1621427337,1.0
1621427367,1.0
1621427397,1.0
1621427427,1.0
1621427457,1.0
1621427487,1.0
1621427517,1.0
1621427547,1.0
1621427577,1.0
1621427607,1.0
1621427637,1.0
1621427667,1.0
1621427697,1.0
1621427727,1.0
1621427757,1.0
1621427787,1.0
1621427817,1.0
1621427847,1.0
1621427877,1.0
1621427907,0.9962825278810409
1621427937,0.9973544973544973
1621427967,1.0
1621427997,1.0
1621428027,1.0
1621428057,1.0
1621428087,1.0
1621428117,1.0
1621428147,1.0
1621428177,1.0
1621428207,1.0
1621428237,1.0
1621428267,1.0
1621428297,1.0
1621428327,1.0
1621428357,1.0
1621428387,1.0
1621428417,1.0
1621428447,1.0
1621428477,0.9915848527349228
1621428507,0.9916550764951322
1621428537,0.9968253968253968
1621428567,0.9970631424375918
1621428597,1.0
1621428627,1.0
1621428657,1.0
1621428687,1.0
1621428717,1.0
1621428747,1.0
1621428777,1.0
1621428807,1.0
1621428837,1.0
1621428867,1.0
1621428897,1.0
1621428927,1.0
1621428957,1.0
1621428987,1.0
1621429017,0.9947916666666666
1621429047,1.0
1621429077,1.0
1621429107,1.0
1621429137,1.0
1621429167,1.0
1621429197,1.0
1621429227,1.0
1621429257,1.0
1621429287,1.0
1621429317,1.0
1621429347,1.0
1621429377,1.0
1621429407,1.0
1621429437,1.0
1621429467,1.0
1621429497,1.0
1621429527,1.0
1621429557,1.0
1621429587,1.0
1621429617,1.0
1621429647,1.0
1621429677,1.0
1621429707,1.0
1621429737,1.0
1621429767,1.0
1621429797,1.0
1621429827,1.0
1621429857,1.0
1621429887,1.0
1621429917,1.0
1621429947,1.0
1621429977,1.0
1621430007,1.0
1621430037,1.0
1621430067,1.0
1621430097,1.0
1621430127,1.0
1621430157,1.0
1621430187,1.0
1621430217,1.0
1621430247,1.0
1621430277,1.0
1621430307,1.0
1621430337,1.0
1621430367,1.0
1621430397,1.0
1621430427,1.0
1621430457,1.0
1621430487,1.0
1621430517,1.0
1621430547,1.0
1621430577,1.0
1621430607,1.0
1621430637,1.0
1621430667,1.0
1621430697,1.0
1621430727,1.0
1621430757,1.0
1621430787,1.0
1621430817,1.0
1621430847,1.0
1621430877,1.0
1621430907,1.0
1621430937,1.0
1621430967,1.0
1621430997,1.0
1621431027,1.0
1621431057,1.0
1621431087,1.0
1621431117,1.0
1621431147,1.0
1621431177,1.0
1621431207,1.0
1621431237,1.0
1621431267,1.0
1621431297,1.0
1621431327,1.0
1621431357,1.0
1621431387,1.0
1621431417,1.0
1621431447,1.0
1621431477,1.0
1621431507,1.0
1621431537,1.0
1621431567,1.0
1621431597,1.0
1621431627,1.0
1621431657,1.0
1621431687,1.0
1621431717,1.0
1621431747,1.0
1621431777,1.0
1621431807,1.0
1621431837,1.0
1621431867,1.0
1621431897,1.0
1621431927,1.0
1621431957,1.0
1621431987,1.0
1621432017,1.0
1621432047,1.0
1621432077,1.0
1621432107,1.0
1621432137,1.0
1621432167,1.0
1621432197,1.0
1621432227,1.0
1621432257,1.0
1621432287,1.0
1621432317,1.0
1621432347,1.0
1621432377,1.0
1621432407,1.0
1621432437,1.0
1621432467,1.0
1621432497,1.0
1621432527,1.0
1621432557,1.0
1621432587,1.0
1621432617,1.0
1621432647,1.0
1621432677,1.0
