t,value
1621426425,1162
1621426455,4396
1621426485,1056
1621426515,4378
1621426545,1028
1621426575,4359
1621426605,1012
1621426635,4330
1621426665,983
1621426695,4293
1621426725,950
1621426755,4285
1621426785,935
1621426815,4253
1621426845,906
1621426875,4215
1621427187,0
1621427217,0
1621427247,0
1621427277,0
1621427307,0
1621427337,0
1621427367,0
1621427397,0
1621427427,0
1621427457,0
1621427487,0
1621427517,0
1621427547,0
1621427577,0
1621427607,0
1621427637,0
1621427667,0
1621427697,0
1621427727,0
1621427757,0
1621427787,0
1621427817,0
1621427847,0
1621427877,0
1621427907,0
1621427937,0
1621427967,0
1621427997,0
1621428027,0
1621428057,0
1621428087,0
1621428117,0
1621428147,0
1621428177,0
1621428207,0
1621428237,0
1621428267,0
1621428297,0
1621428327,0
1621428357,0
1621428387,0
1621428417,0
1621428447,0
1621428477,0
1621428507,0
1621428537,0
1621428567,0
1621428597,0
1621428627,0
1621428657,0
1621428687,0
1621428717,0
1621428747,0
1621428777,0
1621428807,0
1621428837,0
1621428867,0
1621428897,0
1621428927,0
1621428957,0
1621428987,0
1621429017,0
1621429047,0
1621429077,0
1621429107,0
1621429137,0
1621429167,0
1621429197,0
1621429227,0
1621429257,0
1621429287,0
1621429317,0
1621429347,0
1621429377,0
1621429407,0
1621429437,0
1621429467,0
1621429497,0
1621429527,0
1621429557,0
1621429587,0
1621429617,0
1621429647,0
1621429677,0
1621429707,0
1621429737,0
1621429767,0
1621429797,0
1621429827,0
1621429857,0
1621429887,0
1621429917,0
1621429947,0
1621429977,0
1621430007,0
1621430037,0
1621430067,0
1621430097,0
1621430127,0
1621430157,0
1621430187,0
1621430217,0
1621430247,0
1621430277,0
1621430307,0
1621430337,0
1621430367,0
1621430397,0
1621430427,0
1621430457,0
1621430487,0
1621430517,0
1621430547,0
1621430577,0
1621430607,0
1621430637,0
1621430667,0
1621430697,0
1621430727,0
1621430757,0
1621430787,0
1621430817,0
1621430847,0
1621430877,0
1621430907,0
1621430937,0
1621430967,0
1621430997,0
1621431027,0
1621431057,0
1621431087,0
1621431117,0
1621431147,0
1621431177,0
1621431207,0
1621431237,0
1621431267,0
1621431297,0
1621431327,0
1621431357,0
1621431387,0
1621431417,0
1621431447,0
1621431477,0
1621431507,0
1621431537,0
1621431567,0
1621431597,0
1621431627,0
1621431657,0
1621431687,0
1621431717,0
1621431747,0
1621431777,0
1621431807,0
1621431837,0
1621431867,0
1621431897,0
1621431927,0
1621431957,0
1621431987,0
1621432017,0
1621432047,0
1621432077,0
1621432107,0
1621432137,0
1621432167,0
1621432197,0
1621432227,0
1621432257,0
1621432287,0
1621432317,0
1621432347,0
1621432377,0
1621432407,0
1621432437,0
1621432467,0
1621432497,0
1621432527,0
1621432557,0
1621432587,0
1621432617,0
1621432647,0
1621432677,0
