t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,0
1621426665,0
1621426695,0
1621426725,0
1621426755,0
1621426785,0
1621426815,0
1621426845,0
1621426875,0
1621427187,0
1621427217,0
1621427247,0
1621427277,0
1621427307,0
1621427337,0
1621427367,0
1621427397,0
1621427427,0
1621427457,0
1621427487,0
1621427517,0
1621427547,0
1621427577,0
1621427607,0
1621427637,0
1621427667,0
1621427697,0
1621427727,0
1621427757,0
1621427787,0
1621427817,0
1621427847,0
1621427877,0
1621427907,727
1621427937,727
1621427967,727
1621427997,727
1621428027,727
1621428057,727
1621428087,727
1621428117,727
1621428147,727
1621428177,727
1621428207,727
1621428237,727
1621428267,727
1621428297,727
1621428327,727
1621428357,727
1621428387,727
1621428417,727
1621428447,727
1621428477,727
1621428507,727
1621428537,727
1621428567,727
1621428597,727
1621428627,727
1621428657,727
1621428687,727
1621428717,727
1621428747,727
1621428777,727
1621428807,727
1621428837,727
1621428867,727
1621428897,727
1621428927,727
1621428957,727
1621428987,727
1621429017,727
1621429047,727
1621429077,727
1621429107,727
1621429137,727
1621429167,727
1621429197,727
1621429227,727
1621429257,727
1621429287,727
1621429317,727
1621429347,727
1621429377,727
1621429407,727
1621429437,727
1621429467,727
1621429497,727
1621429527,727
1621429557,727
1621429587,727
1621429617,727
1621429647,727
1621429677,727
1621429707,727
1621429737,727
1621429767,727
1621429797,727
1621429827,727
1621429857,727
1621429887,727
1621429917,727
1621429947,727
1621429977,727
1621430007,727
1621430037,727
1621430067,727
1621430097,727
1621430127,727
1621430157,727
1621430187,727
1621430217,727
1621430247,727
1621430277,727
1621430307,727
1621430337,727
1621430367,727
1621430397,727
1621430427,727
1621430457,727
1621430487,727
1621430517,727
1621430547,727
1621430577,727
1621430607,727
1621430637,727
1621430667,727
1621430697,727
1621430727,727
1621430757,727
1621430787,727
1621430817,727
1621430847,727
1621430877,727
1621430907,727
1621430937,727
1621430967,727
1621430997,727
1621431027,727
1621431057,727
1621431087,727
1621431117,727
1621431147,727
1621431177,727
1621431207,727
1621431237,727
1621431267,727
1621431297,727
1621431327,727
1621431357,727
1621431387,727
1621431417,727
1621431447,727
1621431477,727
1621431507,727
1621431537,727
1621431567,727
1621431597,727
1621431627,727
1621431657,727
1621431687,727
1621431717,727
1621431747,727
1621431777,727
1621431807,727
1621431837,727
1621431867,727
1621431897,727
1621431927,727
1621431957,727
1621431987,727
1621432017,727
1621432047,727
1621432077,727
1621432107,727
1621432137,727
1621432167,727
1621432197,727
1621432227,727
1621432257,727
1621432287,727
1621432317,727
1621432347,727
1621432377,727
1621432407,727
1621432437,727
1621432467,727
1621432497,727
1621432527,727
1621432557,727
1621432587,727
1621432617,727
1621432647,727
1621432677,727
