t,value
1621426425,46
1621426455,46
1621426485,46
1621426515,46
1621426545,46
1621426575,46
1621426605,46
1621426635,46
1621426665,46
1621426695,46
1621426725,46
1621426755,46
1621426785,46
1621426815,46
1621426845,46
1621426875,46
1621427187,46
1621427217,46
1621427247,46
1621427277,46
1621427307,46
1621427337,46
1621427367,46
1621427397,46
1621427427,46
1621427457,46
1621427487,46
1621427517,46
1621427547,46
1621427577,46
1621427607,46
1621427637,46
1621427667,46
1621427697,46
1621427727,46
1621427757,46
1621427787,46
1621427817,46
1621427847,46
1621427877,46
1621427907,46
1621427937,46
1621427967,46
1621427997,46
1621428027,46
1621428057,46
1621428087,46
1621428117,46
1621428147,46
1621428177,46
1621428207,46
1621428237,46
1621428267,46
1621428297,46
1621428327,46
1621428357,46
1621428387,46
1621428417,46
1621428447,46
1621428477,46
1621428507,46
1621428537,46
1621428567,46
1621428597,46
1621428627,46
1621428657,46
1621428687,46
1621428717,46
1621428747,46
1621428777,46
1621428807,46
1621428837,46
1621428867,46
1621428897,46
1621428927,46
1621428957,46
1621428987,46
1621429017,46
1621429047,46
1621429077,46
1621429107,46
1621429137,46
1621429167,46
1621429197,46
1621429227,46
1621429257,46
1621429287,46
1621429317,46
1621429347,46
1621429377,46
1621429407,46
1621429437,46
1621429467,46
1621429497,46
1621429527,46
1621429557,46
1621429587,46
1621429617,46
1621429647,46
1621429677,46
1621429707,46
1621429737,46
1621429767,46
1621429797,46
1621429827,46
1621429857,46
1621429887,46
1621429917,46
1621429947,46
1621429977,46
1621430007,46
1621430037,46
1621430067,46
1621430097,46
1621430127,46
1621430157,46
1621430187,46
1621430217,46
1621430247,46
1621430277,46
1621430307,46
1621430337,46
1621430367,46
1621430397,46
1621430427,46
1621430457,46
1621430487,46
1621430517,46
1621430547,46
1621430577,46
1621430607,46
1621430637,46
1621430667,46
1621430697,46
1621430727,46
1621430757,46
1621430787,46
1621430817,46
1621430847,46
1621430877,46
1621430907,46
1621430937,46
1621430967,46
1621430997,46
1621431027,46
1621431057,46
1621431087,46
1621431117,46
1621431147,46
1621431177,46
1621431207,46
1621431237,46
1621431267,46
1621431297,46
1621431327,46
1621431357,46
1621431387,46
1621431417,46
1621431447,46
1621431477,46
1621431507,46
1621431537,46
1621431567,46
1621431597,46
1621431627,46
1621431657,46
1621431687,46
1621431717,46
1621431747,46
1621431777,46
1621431807,46
1621431837,46
1621431867,46
1621431897,46
1621431927,46
1621431957,46
1621431987,46
1621432017,46
1621432047,46
1621432077,46
1621432107,46
1621432137,46
1621432167,46
1621432197,46
1621432227,46
1621432257,46
1621432287,46
1621432317,46
1621432347,46
1621432377,46
1621432407,46
1621432437,46
1621432467,46
1621432497,46
1621432527,46
1621432557,46
1621432587,46
1621432617,46
1621432647,46
1621432677,46
