t,value
1621426425,1057524
1621426455,1057524
1621426485,1057524
1621426515,1057524
1621426545,1057524
1621426575,1057524
1621426605,1057524
1621426635,1057524
1621426665,1057524
1621426695,1057524
1621426725,1057524
1621426755,1057524
1621426785,1057524
1621426815,1057524
1621426845,1057524
1621426875,1057524
1621427187,1065716
1621427217,1065716
1621427247,1065716
1621427277,1065716
1621427307,1065716
1621427337,1065716
1621427367,1065716
1621427397,1065716
1621427427,1065716
1621427457,1065716
1621427487,1065716
1621427517,1065716
1621427547,1065716
1621427577,1065716
1621427607,1065716
1621427637,1065716
1621427667,1065716
1621427697,1065716
1621427727,1065716
1621427757,1065716
1621427787,1065716
1621427817,1065716
1621427847,1065716
1621427877,1065716
1621427907,1065716
1621427937,1065716
1621427967,1065716
1621427997,1065716
1621428027,1065716
1621428057,1065716
1621428087,1065716
1621428117,1065716
1621428147,1065716
1621428177,1065716
1621428207,1065716
1621428237,1065716
1621428267,1065716
1621428297,1065716
1621428327,1065716
1621428357,1065716
1621428387,1065716
1621428417,1065716
1621428447,1065716
1621428477,1065716
1621428507,1065716
1621428537,1065716
1621428567,1065716
1621428597,1065716
1621428627,1065716
1621428657,1065716
1621428687,1065716
1621428717,1065716
1621428747,1065716
1621428777,1065716
1621428807,1065716
1621428837,1065716
1621428867,1065716
1621428897,1065716
1621428927,1065716
1621428957,1065716
1621428987,1065716
1621429017,1065716
1621429047,1065716
1621429077,1065716
1621429107,1065716
1621429137,1065716
1621429167,1065716
1621429197,1065716
1621429227,1065716
1621429257,1065716
1621429287,1065716
1621429317,1065716
1621429347,1065716
1621429377,1065716
1621429407,1065716
1621429437,1065716
1621429467,1065716
1621429497,1065716
1621429527,1065716
1621429557,1065716
1621429587,1065716
1621429617,1065716
1621429647,1065716
1621429677,1065716
1621429707,1065716
1621429737,1065716
1621429767,1065716
1621429797,1065716
1621429827,1065716
1621429857,1065716
1621429887,1065716
1621429917,1065716
1621429947,1065716
1621429977,1065716
1621430007,1065716
1621430037,1065716
1621430067,1065716
1621430097,1065716
1621430127,1065716
1621430157,1065716
1621430187,1065716
1621430217,1065716
1621430247,1065716
1621430277,1065716
1621430307,1065716
1621430337,1065716
1621430367,1065716
1621430397,1065716
1621430427,1065716
1621430457,1065716
1621430487,1065716
1621430517,1065716
1621430547,1065716
1621430577,1065716
1621430607,1065716
1621430637,1065716
1621430667,1065716
1621430697,1065716
1621430727,1065716
1621430757,1065716
1621430787,1065716
1621430817,1065716
1621430847,1065716
1621430877,1065716
1621430907,1065716
1621430937,1065716
1621430967,1065716
1621430997,1065716
1621431027,1065716
1621431057,1065716
1621431087,1065716
1621431117,1065716
1621431147,1065716
1621431177,1065716
1621431207,1065716
1621431237,1065716
1621431267,1065716
1621431297,1065716
1621431327,1065716
1621431357,1065716
1621431387,1065716
1621431417,1065716
1621431447,1065716
1621431477,1065716
1621431507,1065716
1621431537,1065716
1621431567,1065716
1621431597,1065716
1621431627,1065716
1621431657,1065716
1621431687,1065716
1621431717,1065716
1621431747,1065716
1621431777,1065716
1621431807,1065716
1621431837,1065716
1621431867,1065716
1621431897,1065716
1621431927,1065716
1621431957,1065716
1621431987,1065716
1621432017,1065716
1621432047,1065716
1621432077,1065716
1621432107,1065716
1621432137,1065716
1621432167,1065716
1621432197,1065716
1621432227,1065716
1621432257,1065716
1621432287,1065716
1621432317,1065716
1621432347,1065716
1621432377,1065716
1621432407,1065716
1621432437,1065716
1621432467,1065716
1621432497,1065716
1621432527,1065716
1621432557,1065716
1621432587,1065716
1621432617,1065716
1621432647,1065716
1621432677,1065716
