t,value
1621426425,18874368
1621426455,6291456
1621426485,29360128
1621426515,6291456
1621426545,6291456
1621426575,16777216
1621426605,16777216
1621426635,29360128
1621426665,18874368
1621426695,31457280
1621426725,20971520
1621426755,29360128
1621426785,18874368
1621426815,29360128
1621426845,16777216
1621426875,29360128
1621427187,8388608
1621427217,6291456
1621427247,23068672
1621427277,4194304
1621427307,2097152
1621427337,29360128
1621427367,4194304
1621427397,27262976
1621427427,20971520
1621427457,0
1621427487,20971520
1621427517,39845888
1621427547,12582912
1621427577,29360128
1621427607,2097152
1621427637,18874368
1621427667,35651584
1621427697,6291456
1621427727,23068672
1621427757,41943040
1621427787,10485760
1621427817,29360128
1621427847,46137344
1621427877,8388608
1621427907,6291456
1621427937,25165824
1621427967,44040192
1621427997,62914560
1621428027,79691776
1621428057,100663296
1621428087,20971520
1621428117,39845888
1621428147,58720256
1621428177,75497472
1621428207,94371840
1621428237,10485760
1621428267,29360128
1621428297,46137344
1621428327,65011712
1621428357,83886080
1621428387,0
1621428417,20971520
1621428447,37748736
1621428477,92274688
1621428507,6291456
1621428537,65011712
1621428567,81788928
1621428597,100663296
1621428627,18874368
1621428657,37748736
1621428687,56623104
1621428717,77594624
1621428747,96468992
1621428777,10485760
1621428807,29360128
1621428837,52428800
1621428867,69206016
1621428897,90177536
1621428927,2097152
1621428957,23068672
1621428987,41943040
1621429017,71303168
1621429047,90177536
1621429077,6291456
1621429107,23068672
1621429137,46137344
1621429167,62914560
1621429197,81788928
1621429227,0
1621429257,16777216
1621429287,37748736
1621429317,56623104
1621429347,75497472
1621429377,94371840
1621429407,10485760
1621429437,31457280
1621429467,50331648
1621429497,69206016
1621429527,100663296
1621429557,18874368
1621429587,35651584
1621429617,56623104
1621429647,73400320
1621429677,92274688
1621429707,10485760
1621429737,29360128
1621429767,48234496
1621429797,71303168
1621429827,88080384
1621429857,6291456
1621429887,23068672
1621429917,44040192
1621429947,62914560
1621429977,81788928
1621430007,0
1621430037,18874368
1621430067,35651584
1621430097,56623104
1621430127,73400320
1621430157,92274688
1621430187,12582912
1621430217,31457280
1621430247,50331648
1621430277,69206016
1621430307,88080384
1621430337,6291456
1621430367,23068672
1621430397,44040192
1621430427,60817408
1621430457,81788928
1621430487,100663296
1621430517,14680064
1621430547,33554432
1621430577,52428800
1621430607,69206016
1621430637,90177536
1621430667,4194304
1621430697,25165824
1621430727,44040192
1621430757,65011712
1621430787,83886080
1621430817,104857600
1621430847,12582912
1621430877,35651584
1621430907,52428800
1621430937,75497472
1621430967,94371840
1621430997,12582912
1621431027,31457280
1621431057,50331648
1621431087,71303168
1621431117,90177536
1621431147,2097152
1621431177,25165824
1621431207,41943040
1621431237,65011712
1621431267,79691776
1621431297,98566144
1621431327,18874368
1621431357,37748736
1621431387,58720256
1621431417,77594624
1621431447,94371840
1621431477,12582912
1621431507,31457280
1621431537,48234496
1621431567,67108864
1621431597,90177536
1621431627,8388608
1621431657,27262976
1621431687,46137344
1621431717,67108864
1621431747,85983232
1621431777,0
1621431807,18874368
1621431837,37748736
1621431867,58720256
1621431897,75497472
1621431927,94371840
1621431957,14680064
1621431987,31457280
1621432017,50331648
1621432047,69206016
1621432077,88080384
1621432107,0
1621432137,20971520
1621432167,37748736
1621432197,60817408
1621432227,77594624
1621432257,96468992
1621432287,14680064
1621432317,35651584
1621432347,54525952
1621432377,75497472
1621432407,94371840
1621432437,12582912
1621432467,31457280
1621432497,50331648
1621432527,69206016
1621432557,88080384
1621432587,2097152
1621432617,20971520
1621432647,37748736
1621432677,58720256
