t,value
1621426425,128
1621426455,125
1621426485,125
1621426515,125
1621426545,135
1621426575,135
1621426605,136
1621426635,139
1621426665,142
1621426695,145
1621426725,149
1621426755,149
1621426785,149
1621426815,149
1621426845,149
1621426875,153
1621427187,114
1621427217,112
1621427247,111
1621427277,120
1621427307,120
1621427337,120
1621427367,120
1621427397,120
1621427427,121
1621427457,121
1621427487,120
1621427517,120
1621427547,120
1621427577,120
1621427607,120
1621427637,120
1621427667,120
1621427697,120
1621427727,122
1621427757,122
1621427787,121
1621427817,120
1621427847,120
1621427877,123
1621427907,124
1621427937,122
1621427967,121
1621427997,121
1621428027,122
1621428057,122
1621428087,126
1621428117,126
1621428147,123
1621428177,123
1621428207,123
1621428237,123
1621428267,123
1621428297,123
1621428327,125
1621428357,125
1621428387,125
1621428417,124
1621428447,123
1621428477,125
1621428507,125
1621428537,126
1621428567,127
1621428597,127
1621428627,127
1621428657,127
1621428687,126
1621428717,126
1621428747,126
1621428777,126
1621428807,126
1621428837,126
1621428867,126
1621428897,126
1621428927,128
1621428957,128
1621428987,127
1621429017,126
1621429047,126
1621429077,126
1621429107,126
1621429137,126
1621429167,126
1621429197,126
1621429227,127
1621429257,127
1621429287,126
1621429317,126
1621429347,126
1621429377,126
1621429407,126
1621429437,126
1621429467,126
1621429497,126
1621429527,128
1621429557,128
1621429587,127
1621429617,126
1621429647,126
1621429677,126
1621429707,126
1621429737,126
1621429767,126
1621429797,126
1621429827,127
1621429857,127
1621429887,126
1621429917,126
1621429947,126
1621429977,126
1621430007,126
1621430037,126
1621430067,126
1621430097,126
1621430127,128
1621430157,128
1621430187,127
1621430217,126
1621430247,126
1621430277,126
1621430307,126
1621430337,126
1621430367,126
1621430397,126
1621430427,127
1621430457,127
1621430487,126
1621430517,126
1621430547,126
1621430577,126
1621430607,126
1621430637,126
1621430667,126
1621430697,126
1621430727,128
1621430757,128
1621430787,127
1621430817,126
1621430847,126
1621430877,126
1621430907,126
1621430937,126
1621430967,126
1621430997,126
1621431027,127
1621431057,127
1621431087,126
1621431117,126
1621431147,126
1621431177,126
1621431207,126
1621431237,126
1621431267,126
1621431297,126
1621431327,128
1621431357,128
1621431387,127
1621431417,126
1621431447,126
1621431477,126
1621431507,126
1621431537,126
1621431567,126
1621431597,126
1621431627,127
1621431657,127
1621431687,126
1621431717,126
1621431747,126
1621431777,126
1621431807,126
1621431837,126
1621431867,126
1621431897,126
1621431927,128
1621431957,128
1621431987,127
1621432017,126
1621432047,126
1621432077,126
1621432107,126
1621432137,126
1621432167,126
1621432197,126
1621432227,127
1621432257,127
1621432287,126
1621432317,126
1621432347,126
1621432377,126
1621432407,127
1621432437,127
1621432467,126
1621432497,126
1621432527,128
1621432557,128
1621432587,127
1621432617,126
1621432647,126
1621432677,129
