t,value
1621426425,9223372036854775807
1621426455,9223372036854775807
1621426485,9223372036854775807
1621426515,9223372036854775807
1621426545,9223372036854775807
1621426575,9223372036854775807
1621426605,9223372036854775807
1621426635,9223372036854775807
1621426665,9223372036854775807
1621426695,9223372036854775807
1621426726,9223372036854775807
1621426756,9223372036854775807
1621426786,9223372036854775807
1621426816,9223372036854775807
1621426846,9223372036854775807
1621427195,9223372036854775807
1621427225,9223372036854775807
1621427255,9223372036854775807
1621427285,9223372036854775807
1621427315,9223372036854775807
1621427345,9223372036854775807
1621427375,9223372036854775807
1621427405,9223372036854775807
1621427435,9223372036854775807
1621427465,9223372036854775807
1621427495,9223372036854775807
1621427525,9223372036854775807
1621427555,9223372036854775807
1621427585,9223372036854775807
1621427615,9223372036854775807
1621427645,9223372036854775807
1621427675,9223372036854775807
1621427705,9223372036854775807
1621427735,9223372036854775807
1621427765,9223372036854775807
1621427795,9223372036854775807
1621427825,9223372036854775807
1621427855,9223372036854775807
1621427885,9223372036854775807
1621427915,9223372036854775807
1621427945,9223372036854775807
1621427975,9223372036854775807
1621428005,9223372036854775807
1621428035,9223372036854775807
1621428065,9223372036854775807
1621428095,9223372036854775807
1621428125,9223372036854775807
1621428155,9223372036854775807
1621428185,9223372036854775807
1621428215,9223372036854775807
1621428245,9223372036854775807
1621428275,9223372036854775807
1621428305,9223372036854775807
1621428335,9223372036854775807
1621428365,9223372036854775807
1621428395,9223372036854775807
1621428425,9223372036854775807
1621428455,9223372036854775807
1621428485,9223372036854775807
1621428515,9223372036854775807
1621428545,9223372036854775807
1621428575,9223372036854775807
1621428605,9223372036854775807
1621428635,9223372036854775807
1621428665,9223372036854775807
1621428695,9223372036854775807
1621428725,9223372036854775807
1621428755,9223372036854775807
1621428785,9223372036854775807
1621428815,9223372036854775807
1621428845,9223372036854775807
1621428875,9223372036854775807
1621428905,9223372036854775807
1621428935,9223372036854775807
1621428965,9223372036854775807
1621428995,9223372036854775807
1621429025,9223372036854775807
1621429055,9223372036854775807
1621429085,9223372036854775807
1621429115,9223372036854775807
1621429145,9223372036854775807
1621429175,9223372036854775807
1621429205,9223372036854775807
1621429235,9223372036854775807
1621429265,9223372036854775807
1621429295,9223372036854775807
1621429325,9223372036854775807
1621429355,9223372036854775807
1621429385,9223372036854775807
1621429415,9223372036854775807
1621429445,9223372036854775807
1621429475,9223372036854775807
1621429505,9223372036854775807
1621429535,9223372036854775807
1621429565,9223372036854775807
1621429595,9223372036854775807
1621429625,9223372036854775807
1621429655,9223372036854775807
1621429685,9223372036854775807
1621429715,9223372036854775807
1621429745,9223372036854775807
1621429775,9223372036854775807
1621429805,9223372036854775807
1621429835,9223372036854775807
1621429865,9223372036854775807
1621429895,9223372036854775807
1621429925,9223372036854775807
1621429955,9223372036854775807
1621429985,9223372036854775807
1621430015,9223372036854775807
1621430045,9223372036854775807
1621430075,9223372036854775807
1621430105,9223372036854775807
1621430135,9223372036854775807
1621430165,9223372036854775807
1621430195,9223372036854775807
1621430225,9223372036854775807
1621430255,9223372036854775807
1621430285,9223372036854775807
1621430315,9223372036854775807
1621430345,9223372036854775807
1621430375,9223372036854775807
1621430405,9223372036854775807
1621430435,9223372036854775807
1621430465,9223372036854775807
1621430495,9223372036854775807
1621430525,9223372036854775807
1621430555,9223372036854775807
1621430585,9223372036854775807
1621430615,9223372036854775807
1621430645,9223372036854775807
1621430675,9223372036854775807
1621430705,9223372036854775807
1621430735,9223372036854775807
1621430765,9223372036854775807
1621430795,9223372036854775807
1621430825,9223372036854775807
1621430855,9223372036854775807
1621430885,9223372036854775807
1621430915,9223372036854775807
1621430945,9223372036854775807
1621430975,9223372036854775807
1621431005,9223372036854775807
1621431035,9223372036854775807
1621431065,9223372036854775807
1621431095,9223372036854775807
1621431125,9223372036854775807
1621431155,9223372036854775807
1621431185,9223372036854775807
1621431215,9223372036854775807
1621431245,9223372036854775807
1621431275,9223372036854775807
1621431305,9223372036854775807
1621431335,9223372036854775807
1621431365,9223372036854775807
1621431395,9223372036854775807
1621431425,9223372036854775807
1621431455,9223372036854775807
1621431485,9223372036854775807
1621431515,9223372036854775807
1621431545,9223372036854775807
1621431575,9223372036854775807
1621431605,9223372036854775807
1621431635,9223372036854775807
1621431665,9223372036854775807
1621431695,9223372036854775807
1621431725,9223372036854775807
1621431755,9223372036854775807
1621431785,9223372036854775807
1621431815,9223372036854775807
1621431845,9223372036854775807
1621431875,9223372036854775807
1621431905,9223372036854775807
1621431935,9223372036854775807
1621431965,9223372036854775807
1621431995,9223372036854775807
1621432025,9223372036854775807
1621432055,9223372036854775807
1621432085,9223372036854775807
1621432115,9223372036854775807
1621432145,9223372036854775807
1621432175,9223372036854775807
1621432205,9223372036854775807
1621432235,9223372036854775807
1621432265,9223372036854775807
1621432295,9223372036854775807
1621432325,9223372036854775807
1621432355,9223372036854775807
1621432385,9223372036854775807
1621432415,9223372036854775807
1621432445,9223372036854775807
1621432475,9223372036854775807
1621432505,9223372036854775807
1621432535,9223372036854775807
1621432565,9223372036854775807
1621432595,9223372036854775807
1621432625,9223372036854775807
1621432655,9223372036854775807
1621432685,9223372036854775807
