t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,138
1621426665,138
1621426695,138
1621426726,138
1621426756,138
1621426786,138
1621426816,138
1621426846,138
1621427195,138
1621427225,138
1621427255,138
1621427285,138
1621427315,138
1621427345,138
1621427375,138
1621427405,138
1621427435,138
1621427465,138
1621427495,138
1621427525,138
1621427555,138
1621427585,138
1621427615,138
1621427645,138
1621427675,138
1621427705,138
1621427735,138
1621427765,138
1621427795,138
1621427825,138
1621427855,138
1621427885,138
1621427915,138
1621427945,138
1621427975,138
1621428005,138
1621428035,138
1621428065,138
1621428095,138
1621428125,138
1621428155,138
1621428185,138
1621428215,138
1621428245,138
1621428275,138
1621428305,138
1621428335,138
1621428365,138
1621428395,138
1621428425,138
1621428455,138
1621428485,138
1621428515,138
1621428545,383
1621428575,383
1621428605,383
1621428635,383
1621428665,383
1621428695,383
1621428725,383
1621428755,383
1621428785,383
1621428815,383
1621428845,383
1621428875,383
1621428905,383
1621428935,383
1621428965,383
1621428995,383
1621429025,383
1621429055,383
1621429085,383
1621429115,383
1621429145,383
1621429175,383
1621429205,383
1621429235,383
1621429265,383
1621429295,383
1621429325,383
1621429355,383
1621429385,383
1621429415,383
1621429445,383
1621429475,383
1621429505,383
1621429535,383
1621429565,383
1621429595,383
1621429625,383
1621429655,383
1621429685,383
1621429715,383
1621429745,383
1621429775,383
1621429805,383
1621429835,383
1621429865,383
1621429895,383
1621429925,383
1621429955,383
1621429985,383
1621430015,383
1621430045,383
1621430075,383
1621430105,383
1621430135,383
1621430165,383
1621430195,383
1621430225,383
1621430255,383
1621430285,383
1621430315,383
1621430345,383
1621430375,383
1621430405,383
1621430435,383
1621430465,383
1621430495,383
1621430525,383
1621430555,383
1621430585,383
1621430615,383
1621430645,383
1621430675,383
1621430705,383
1621430735,383
1621430765,383
1621430795,383
1621430825,383
1621430855,383
1621430885,383
1621430915,383
1621430945,383
1621430975,383
1621431005,383
1621431035,383
1621431065,383
1621431095,383
1621431125,383
1621431155,383
1621431185,383
1621431215,383
1621431245,383
1621431275,383
1621431305,383
1621431335,383
1621431365,383
1621431395,383
1621431425,383
1621431455,383
1621431485,383
1621431515,383
1621431545,383
1621431575,383
1621431605,383
1621431635,383
1621431665,383
1621431695,383
1621431725,383
1621431755,383
1621431785,383
1621431815,383
1621431845,383
1621431875,383
1621431905,383
1621431935,383
1621431965,383
1621431995,383
1621432025,383
1621432055,383
1621432085,383
1621432115,383
1621432145,383
1621432175,383
1621432205,383
1621432235,383
1621432265,383
1621432295,383
1621432325,383
1621432355,383
1621432385,383
1621432415,383
1621432445,383
1621432475,383
1621432505,383
1621432535,383
1621432565,383
1621432595,383
1621432625,383
1621432655,383
1621432685,383
