t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,156
1621426665,156
1621426695,156
1621426726,156
1621426756,156
1621426786,156
1621426816,156
1621426846,156
1621427195,156
1621427225,156
1621427255,156
1621427285,156
1621427315,156
1621427345,156
1621427375,156
1621427405,156
1621427435,156
1621427465,156
1621427495,156
1621427525,156
1621427555,156
1621427585,156
1621427615,156
1621427645,156
1621427675,156
1621427705,156
1621427735,156
1621427765,156
1621427795,156
1621427825,156
1621427855,156
1621427885,156
1621427915,156
1621427945,156
1621427975,156
1621428005,156
1621428035,156
1621428065,156
1621428095,156
1621428125,156
1621428155,156
1621428185,156
1621428215,156
1621428245,156
1621428275,156
1621428305,156
1621428335,156
1621428365,156
1621428395,156
1621428425,156
1621428455,156
1621428485,156
1621428515,156
1621428545,253
1621428575,253
1621428605,253
1621428635,253
1621428665,253
1621428695,253
1621428725,253
1621428755,253
1621428785,253
1621428815,253
1621428845,253
1621428875,253
1621428905,253
1621428935,253
1621428965,253
1621428995,253
1621429025,253
1621429055,253
1621429085,253
1621429115,253
1621429145,253
1621429175,253
1621429205,253
1621429235,253
1621429265,253
1621429295,253
1621429325,253
1621429355,253
1621429385,253
1621429415,253
1621429445,253
1621429475,253
1621429505,253
1621429535,253
1621429565,253
1621429595,253
1621429625,253
1621429655,253
1621429685,253
1621429715,253
1621429745,253
1621429775,253
1621429805,253
1621429835,253
1621429865,253
1621429895,253
1621429925,253
1621429955,253
1621429985,253
1621430015,253
1621430045,253
1621430075,253
1621430105,253
1621430135,253
1621430165,253
1621430195,253
1621430225,253
1621430255,253
1621430285,253
1621430315,253
1621430345,253
1621430375,253
1621430405,253
1621430435,253
1621430465,253
1621430495,253
1621430525,253
1621430555,253
1621430585,253
1621430615,253
1621430645,253
1621430675,253
1621430705,253
1621430735,253
1621430765,253
1621430795,253
1621430825,253
1621430855,253
1621430885,253
1621430915,253
1621430945,253
1621430975,253
1621431005,253
1621431035,253
1621431065,253
1621431095,253
1621431125,253
1621431155,253
1621431185,253
1621431215,253
1621431245,253
1621431275,253
1621431305,253
1621431335,253
1621431365,253
1621431395,253
1621431425,253
1621431455,253
1621431485,253
1621431515,253
1621431545,253
1621431575,253
1621431605,253
1621431635,253
1621431665,253
1621431695,253
1621431725,253
1621431755,253
1621431785,253
1621431815,253
1621431845,253
1621431875,253
1621431905,253
1621431935,253
1621431965,253
1621431995,253
1621432025,253
1621432055,253
1621432085,253
1621432115,253
1621432145,253
1621432175,253
1621432205,253
1621432235,253
1621432265,253
1621432295,253
1621432325,253
1621432355,253
1621432385,253
1621432415,253
1621432445,253
1621432475,253
1621432505,253
1621432535,253
1621432565,253
1621432595,253
1621432625,253
1621432655,253
1621432685,253
