t,value
1621426425,0
1621426455,0
1621426485,0
1621426515,0
1621426545,0
1621426575,0
1621426605,0
1621426635,0
1621426665,0
1621426695,0
1621426726,0
1621426756,0
1621426786,0
1621426816,0
1621426846,0
1621427195,0
1621427225,0
1621427255,0
1621427285,0
1621427315,0
1621427345,0
1621427375,0
1621427405,0
1621427435,0
1621427465,0
1621427495,0
1621427525,0
1621427555,0
1621427585,0
1621427615,0
1621427645,0
1621427675,0
1621427705,0
1621427735,0
1621427765,0
1621427795,0
1621427825,0
1621427855,0
1621427885,0
1621427915,0
1621427945,0
1621427975,0
1621428005,0
1621428035,0
1621428065,0
1621428095,0
1621428125,0
1621428155,0
1621428185,0
1621428215,0
1621428245,0
1621428275,0
1621428305,0
1621428335,0
1621428365,0
1621428395,0
1621428425,0
1621428455,0
1621428485,0
1621428515,0
1621428545,0
1621428575,0
1621428605,0
1621428635,0
1621428665,0
1621428695,0
1621428725,0
1621428755,0
1621428785,0
1621428815,0
1621428845,0
1621428875,0
1621428905,0
1621428935,0
1621428965,0
1621428995,0
1621429025,0
1621429055,0
1621429085,0
1621429115,0
1621429145,0
1621429175,0
1621429205,0
1621429235,0
1621429265,0
1621429295,0
1621429325,0
1621429355,0
1621429385,0
1621429415,0
1621429445,0
1621429475,0
1621429505,0
1621429535,0
1621429565,0
1621429595,0
1621429625,0
1621429655,0
1621429685,0
1621429715,0
1621429745,0
1621429775,0
1621429805,0
1621429835,0
1621429865,0
1621429895,0
1621429925,0
1621429955,0
1621429985,0
1621430015,0
1621430045,0
1621430075,0
1621430105,0
1621430135,0
1621430165,0
1621430195,0
1621430225,0
1621430255,0
1621430285,0
1621430315,0
1621430345,0
1621430375,0
1621430405,0
1621430435,0
1621430465,0
1621430495,0
1621430525,0
1621430555,0
1621430585,0
1621430615,0
1621430645,0
1621430675,0
1621430705,0
1621430735,0
1621430765,0
1621430795,0
1621430825,0
1621430855,0
1621430885,0
1621430915,0
1621430945,0
1621430975,0
1621431005,0
1621431035,0
1621431065,0
1621431095,0
1621431125,0
1621431155,0
1621431185,0
1621431215,0
1621431245,0
1621431275,0
1621431305,0
1621431335,0
1621431365,0
1621431395,0
1621431425,0
1621431455,0
1621431485,0
1621431515,0
1621431545,0
1621431575,0
1621431605,0
1621431635,0
1621431665,0
1621431695,0
1621431725,0
1621431755,0
1621431785,0
1621431815,0
1621431845,0
1621431875,0
1621431905,0
1621431935,0
1621431965,0
1621431995,0
1621432025,0
1621432055,0
1621432085,0
1621432115,0
1621432145,0
1621432175,0
1621432205,0
1621432235,0
1621432265,0
1621432295,0
1621432325,0
1621432355,0
1621432385,0
1621432415,0
1621432445,0
1621432475,0
1621432505,0
1621432535,0
1621432565,0
1621432595,0
1621432625,0
1621432655,0
1621432685,0
