t,value
1621426425,4.774238515339475E-4
1621426455,4.774238515339475E-4
1621426485,4.774238515339475E-4
1621426515,4.774238515339475E-4
1621426545,4.850830577082889E-4
1621426575,4.850830577082889E-4
1621426605,4.850830577082889E-4
1621426635,4.96571866969801E-4
1621426665,4.96571866969801E-4
1621426695,4.96571866969801E-4
1621426726,4.96571866969801E-4
1621426756,4.96571866969801E-4
1621426786,4.96571866969801E-4
1621426816,4.96571866969801E-4
1621426846,4.96571866969801E-4
1621427195,2.744548879139003E-4
1621427225,2.744548879139003E-4
1621427255,2.744548879139003E-4
1621427285,2.744548879139003E-4
1621427315,2.744548879139003E-4
1621427345,2.744548879139003E-4
1621427375,2.744548879139003E-4
1621427405,2.744548879139003E-4
1621427435,2.744548879139003E-4
1621427465,2.744548879139003E-4
1621427495,2.744548879139003E-4
1621427525,2.744548879139003E-4
1621427555,2.744548879139003E-4
1621427585,2.744548879139003E-4
1621427615,2.744548879139003E-4
1621427645,2.744548879139003E-4
1621427675,2.744548879139003E-4
1621427705,2.744548879139003E-4
1621427735,2.744548879139003E-4
1621427765,2.744548879139003E-4
1621427795,2.744548879139003E-4
1621427825,2.744548879139003E-4
1621427855,2.744548879139003E-4
1621427885,2.744548879139003E-4
1621427915,2.744548879139003E-4
1621427945,2.744548879139003E-4
1621427975,2.744548879139003E-4
1621428005,2.744548879139003E-4
1621428035,2.744548879139003E-4
1621428065,2.744548879139003E-4
1621428095,2.744548879139003E-4
1621428125,2.744548879139003E-4
1621428155,2.744548879139003E-4
1621428185,2.744548879139003E-4
1621428215,2.744548879139003E-4
1621428245,2.744548879139003E-4
1621428275,2.744548879139003E-4
1621428305,2.744548879139003E-4
1621428335,2.744548879139003E-4
1621428365,2.744548879139003E-4
1621428395,2.744548879139003E-4
1621428425,2.744548879139003E-4
1621428455,2.8211409408824173E-4
1621428485,2.8211409408824173E-4
1621428515,2.8211409408824173E-4
1621428545,2.8722023153780263E-4
1621428575,2.8722023153780263E-4
1621428605,2.8722023153780263E-4
1621428635,2.8722023153780263E-4
1621428665,2.8722023153780263E-4
1621428695,2.8722023153780263E-4
1621428725,2.8722023153780263E-4
1621428755,2.8722023153780263E-4
1621428785,2.8722023153780263E-4
1621428815,2.8722023153780263E-4
1621428845,2.8722023153780263E-4
1621428875,2.8722023153780263E-4
1621428905,2.884967659001929E-4
1621428935,2.884967659001929E-4
1621428965,2.884967659001929E-4
1621428995,2.884967659001929E-4
1621429025,2.884967659001929E-4
1621429055,2.884967659001929E-4
1621429085,2.884967659001929E-4
1621429115,2.884967659001929E-4
1621429145,2.884967659001929E-4
1621429175,2.884967659001929E-4
1621429205,2.884967659001929E-4
1621429235,2.884967659001929E-4
1621429265,2.884967659001929E-4
1621429295,2.884967659001929E-4
1621429325,2.884967659001929E-4
1621429355,2.884967659001929E-4
1621429385,2.884967659001929E-4
1621429415,2.884967659001929E-4
1621429445,2.884967659001929E-4
1621429475,2.884967659001929E-4
1621429505,2.884967659001929E-4
1621429535,2.884967659001929E-4
1621429565,2.884967659001929E-4
1621429595,2.884967659001929E-4
1621429625,2.884967659001929E-4
1621429655,2.884967659001929E-4
1621429685,2.884967659001929E-4
1621429715,2.884967659001929E-4
1621429745,2.884967659001929E-4
1621429775,2.884967659001929E-4
1621429805,2.884967659001929E-4
1621429835,2.884967659001929E-4
1621429865,2.884967659001929E-4
1621429895,2.884967659001929E-4
1621429925,2.884967659001929E-4
1621429955,2.884967659001929E-4
1621429985,2.884967659001929E-4
1621430015,2.884967659001929E-4
1621430045,2.884967659001929E-4
1621430075,2.884967659001929E-4
1621430105,2.884967659001929E-4
1621430135,2.884967659001929E-4
1621430165,2.884967659001929E-4
1621430195,2.884967659001929E-4
1621430225,2.884967659001929E-4
1621430255,2.884967659001929E-4
1621430285,2.884967659001929E-4
1621430315,2.884967659001929E-4
1621430345,2.884967659001929E-4
1621430375,2.884967659001929E-4
1621430405,2.884967659001929E-4
1621430435,2.884967659001929E-4
1621430465,2.884967659001929E-4
1621430495,2.884967659001929E-4
1621430525,2.884967659001929E-4
1621430555,2.884967659001929E-4
1621430585,2.884967659001929E-4
1621430615,2.884967659001929E-4
1621430645,2.884967659001929E-4
1621430675,2.884967659001929E-4
1621430705,2.884967659001929E-4
1621430735,2.884967659001929E-4
1621430765,2.884967659001929E-4
1621430795,2.884967659001929E-4
1621430825,2.884967659001929E-4
1621430855,2.884967659001929E-4
1621430885,2.884967659001929E-4
1621430915,2.884967659001929E-4
1621430945,2.884967659001929E-4
1621430975,2.884967659001929E-4
1621431005,2.884967659001929E-4
1621431035,2.884967659001929E-4
1621431065,2.884967659001929E-4
1621431095,2.884967659001929E-4
1621431125,2.884967659001929E-4
1621431155,2.884967659001929E-4
1621431185,2.884967659001929E-4
1621431215,2.884967659001929E-4
1621431245,2.884967659001929E-4
1621431275,2.884967659001929E-4
1621431305,2.884967659001929E-4
1621431335,2.884967659001929E-4
1621431365,2.884967659001929E-4
1621431395,2.884967659001929E-4
1621431425,2.884967659001929E-4
1621431455,2.884967659001929E-4
1621431485,2.884967659001929E-4
1621431515,2.884967659001929E-4
1621431545,2.884967659001929E-4
1621431575,2.884967659001929E-4
1621431605,2.884967659001929E-4
1621431635,2.884967659001929E-4
1621431665,2.884967659001929E-4
1621431695,2.884967659001929E-4
1621431725,2.884967659001929E-4
1621431755,2.884967659001929E-4
1621431785,2.884967659001929E-4
1621431815,2.884967659001929E-4
1621431845,2.884967659001929E-4
1621431875,2.884967659001929E-4
1621431905,2.884967659001929E-4
1621431935,2.884967659001929E-4
1621431965,2.884967659001929E-4
1621431995,2.884967659001929E-4
1621432025,2.884967659001929E-4
1621432055,2.884967659001929E-4
1621432085,2.884967659001929E-4
1621432115,2.884967659001929E-4
1621432145,2.884967659001929E-4
1621432175,2.884967659001929E-4
1621432205,2.884967659001929E-4
1621432235,2.884967659001929E-4
1621432265,2.884967659001929E-4
1621432295,2.884967659001929E-4
1621432325,2.884967659001929E-4
1621432355,2.884967659001929E-4
1621432385,2.884967659001929E-4
1621432415,2.884967659001929E-4
1621432445,2.884967659001929E-4
1621432475,2.884967659001929E-4
1621432505,2.884967659001929E-4
1621432535,2.884967659001929E-4
1621432565,2.884967659001929E-4
1621432595,2.884967659001929E-4
1621432625,2.884967659001929E-4
1621432655,2.884967659001929E-4
1621432685,2.884967659001929E-4
