t,value
1621426425,86
1621426455,86
1621426485,86
1621426515,86
1621426545,86
1621426575,86
1621426605,86
1621426635,86
1621426665,86
1621426695,86
1621426726,86
1621426756,86
1621426786,86
1621426816,86
1621426846,86
1621427195,86
1621427225,86
1621427255,86
1621427285,86
1621427315,86
1621427345,86
1621427375,86
1621427405,86
1621427435,86
1621427465,86
1621427495,86
1621427525,86
1621427555,86
1621427585,86
1621427615,86
1621427645,86
1621427675,86
1621427705,86
1621427735,86
1621427765,86
1621427795,86
1621427825,86
1621427855,86
1621427885,86
1621427915,86
1621427945,86
1621427975,86
1621428005,86
1621428035,86
1621428065,86
1621428095,86
1621428125,86
1621428155,86
1621428185,86
1621428215,86
1621428245,86
1621428275,86
1621428305,86
1621428335,86
1621428365,86
1621428395,86
1621428425,86
1621428455,86
1621428485,86
1621428515,86
1621428545,86
1621428575,86
1621428605,86
1621428635,86
1621428665,86
1621428695,86
1621428725,86
1621428755,86
1621428785,86
1621428815,86
1621428845,86
1621428875,86
1621428905,86
1621428935,86
1621428965,86
1621428995,86
1621429025,86
1621429055,86
1621429085,86
1621429115,86
1621429145,86
1621429175,86
1621429205,86
1621429235,86
1621429265,86
1621429295,86
1621429325,86
1621429355,86
1621429385,86
1621429415,86
1621429445,86
1621429475,86
1621429505,86
1621429535,86
1621429565,86
1621429595,86
1621429625,86
1621429655,86
1621429685,86
1621429715,86
1621429745,86
1621429775,86
1621429805,86
1621429835,86
1621429865,86
1621429895,86
1621429925,86
1621429955,86
1621429985,86
1621430015,86
1621430045,86
1621430075,86
1621430105,86
1621430135,86
1621430165,86
1621430195,86
1621430225,86
1621430255,86
1621430285,86
1621430315,86
1621430345,86
1621430375,86
1621430405,86
1621430435,86
1621430465,86
1621430495,86
1621430525,86
1621430555,86
1621430585,86
1621430615,86
1621430645,86
1621430675,86
1621430705,86
1621430735,86
1621430765,86
1621430795,86
1621430825,86
1621430855,86
1621430885,86
1621430915,86
1621430945,86
1621430975,86
1621431005,86
1621431035,86
1621431065,86
1621431095,86
1621431125,86
1621431155,86
1621431185,86
1621431215,86
1621431245,86
1621431275,86
1621431305,86
1621431335,86
1621431365,86
1621431395,86
1621431425,86
1621431455,86
1621431485,86
1621431515,86
1621431545,86
1621431575,86
1621431605,86
1621431635,86
1621431665,86
1621431695,86
1621431725,86
1621431755,86
1621431785,86
1621431815,86
1621431845,86
1621431875,86
1621431905,86
1621431935,86
1621431965,86
1621431995,86
1621432025,86
1621432055,86
1621432085,86
1621432115,86
1621432145,86
1621432175,86
1621432205,86
1621432235,86
1621432265,86
1621432295,86
1621432325,86
1621432355,86
1621432385,86
1621432415,86
1621432445,86
1621432475,86
1621432505,86
1621432535,86
1621432565,86
1621432595,86
1621432625,86
1621432655,86
1621432685,86
