t,value
1621426425,85
1621426455,85
1621426485,85
1621426515,85
1621426545,85
1621426575,85
1621426605,85
1621426635,85
1621426665,85
1621426695,85
1621426726,85
1621426756,85
1621426786,85
1621426816,85
1621426846,85
1621427195,85
1621427225,85
1621427255,85
1621427285,85
1621427315,85
1621427345,85
1621427375,85
1621427405,85
1621427435,85
1621427465,85
1621427495,85
1621427525,85
1621427555,85
1621427585,85
1621427615,85
1621427645,85
1621427675,85
1621427705,85
1621427735,85
1621427765,85
1621427795,85
1621427825,85
1621427855,85
1621427885,85
1621427915,85
1621427945,85
1621427975,85
1621428005,85
1621428035,85
1621428065,85
1621428095,85
1621428125,85
1621428155,85
1621428185,85
1621428215,85
1621428245,85
1621428275,85
1621428305,85
1621428335,85
1621428365,85
1621428395,85
1621428425,85
1621428455,85
1621428485,85
1621428515,85
1621428545,85
1621428575,85
1621428605,85
1621428635,85
1621428665,85
1621428695,85
1621428725,85
1621428755,85
1621428785,85
1621428815,85
1621428845,85
1621428875,85
1621428905,85
1621428935,85
1621428965,85
1621428995,85
1621429025,85
1621429055,85
1621429085,85
1621429115,85
1621429145,85
1621429175,85
1621429205,85
1621429235,85
1621429265,85
1621429295,85
1621429325,85
1621429355,85
1621429385,85
1621429415,85
1621429445,85
1621429475,85
1621429505,85
1621429535,85
1621429565,85
1621429595,85
1621429625,85
1621429655,85
1621429685,85
1621429715,85
1621429745,85
1621429775,85
1621429805,85
1621429835,85
1621429865,85
1621429895,85
1621429925,85
1621429955,85
1621429985,85
1621430015,85
1621430045,85
1621430075,85
1621430105,85
1621430135,85
1621430165,85
1621430195,85
1621430225,85
1621430255,85
1621430285,85
1621430315,85
1621430345,85
1621430375,85
1621430405,85
1621430435,85
1621430465,85
1621430495,85
1621430525,85
1621430555,85
1621430585,85
1621430615,85
1621430645,85
1621430675,85
1621430705,85
1621430735,85
1621430765,85
1621430795,85
1621430825,85
1621430855,85
1621430885,85
1621430915,85
1621430945,85
1621430975,85
1621431005,85
1621431035,85
1621431065,85
1621431095,85
1621431125,85
1621431155,85
1621431185,85
1621431215,85
1621431245,85
1621431275,85
1621431305,85
1621431335,85
1621431365,85
1621431395,85
1621431425,85
1621431455,85
1621431485,85
1621431515,85
1621431545,85
1621431575,85
1621431605,85
1621431635,85
1621431665,85
1621431695,85
1621431725,85
1621431755,85
1621431785,85
1621431815,85
1621431845,85
1621431875,85
1621431905,85
1621431935,85
1621431965,85
1621431995,85
1621432025,85
1621432055,85
1621432085,85
1621432115,85
1621432145,85
1621432175,85
1621432205,85
1621432235,85
1621432265,85
1621432295,85
1621432325,85
1621432355,85
1621432385,85
1621432415,85
1621432445,85
1621432475,85
1621432505,85
1621432535,85
1621432565,85
1621432595,85
1621432625,85
1621432655,85
1621432685,85
