t,value
1621426425,1058092
1621426455,1058092
1621426485,1058092
1621426515,1058092
1621426545,1058092
1621426575,1058092
1621426605,1058092
1621426635,1058092
1621426665,1058092
1621426695,1058092
1621426726,1058092
1621426756,1058092
1621426786,1058092
1621426816,1058092
1621426846,1058092
1621427195,1067107
1621427225,1067107
1621427255,1067107
1621427285,1067107
1621427315,1067107
1621427345,1067107
1621427375,1067107
1621427405,1067107
1621427435,1067107
1621427465,1067107
1621427495,1067107
1621427525,1067107
1621427555,1067107
1621427585,1067107
1621427615,1067107
1621427645,1067107
1621427675,1067107
1621427705,1067107
1621427735,1067107
1621427765,1067107
1621427795,1067107
1621427825,1067107
1621427855,1067107
1621427885,1067107
1621427915,1067107
1621427945,1067107
1621427975,1067107
1621428005,1067107
1621428035,1067107
1621428065,1067107
1621428095,1067107
1621428125,1067107
1621428155,1067107
1621428185,1067107
1621428215,1067107
1621428245,1067107
1621428275,1067107
1621428305,1067107
1621428335,1067107
1621428365,1067107
1621428395,1067107
1621428425,1067107
1621428455,1067107
1621428485,1067107
1621428515,1067107
1621428545,1067107
1621428575,1067107
1621428605,1067107
1621428635,1067107
1621428665,1067107
1621428695,1067107
1621428725,1067107
1621428755,1067107
1621428785,1067107
1621428815,1067107
1621428845,1067107
1621428875,1067107
1621428905,1067107
1621428935,1067107
1621428965,1067107
1621428995,1067107
1621429025,1067107
1621429055,1067107
1621429085,1067107
1621429115,1067107
1621429145,1067107
1621429175,1067107
1621429205,1067107
1621429235,1067107
1621429265,1067107
1621429295,1067107
1621429325,1067107
1621429355,1067107
1621429385,1067107
1621429415,1067107
1621429445,1067107
1621429475,1067107
1621429505,1067107
1621429535,1067107
1621429565,1067107
1621429595,1067107
1621429625,1067107
1621429655,1067107
1621429685,1067107
1621429715,1067107
1621429745,1067107
1621429775,1067107
1621429805,1067107
1621429835,1067107
1621429865,1067107
1621429895,1067107
1621429925,1067107
1621429955,1067107
1621429985,1067107
1621430015,1067107
1621430045,1067107
1621430075,1067107
1621430105,1067107
1621430135,1067107
1621430165,1067107
1621430195,1067107
1621430225,1067107
1621430255,1067107
1621430285,1067107
1621430315,1067107
1621430345,1067107
1621430375,1067107
1621430405,1067107
1621430435,1067107
1621430465,1067107
1621430495,1067107
1621430525,1067107
1621430555,1067107
1621430585,1067107
1621430615,1067107
1621430645,1067107
1621430675,1067107
1621430705,1067107
1621430735,1067107
1621430765,1067107
1621430795,1067107
1621430825,1067107
1621430855,1067107
1621430885,1067107
1621430915,1067107
1621430945,1067107
1621430975,1067107
1621431005,1067107
1621431035,1067107
1621431065,1067107
1621431095,1067107
1621431125,1067107
1621431155,1067107
1621431185,1067107
1621431215,1067107
1621431245,1067107
1621431275,1067107
1621431305,1067107
1621431335,1067107
1621431365,1067107
1621431395,1067107
1621431425,1067107
1621431455,1067107
1621431485,1067107
1621431515,1067107
1621431545,1067107
1621431575,1067107
1621431605,1067107
1621431635,1067107
1621431665,1067107
1621431695,1067107
1621431725,1067107
1621431755,1067107
1621431785,1067107
1621431815,1067107
1621431845,1067107
1621431875,1067107
1621431905,1067107
1621431935,1067107
1621431965,1067107
1621431995,1067107
1621432025,1067107
1621432055,1067107
1621432085,1067107
1621432115,1067107
1621432145,1067107
1621432175,1067107
1621432205,1067107
1621432235,1067107
1621432265,1067107
1621432295,1067107
1621432325,1067107
1621432355,1067107
1621432385,1067107
1621432415,1067107
1621432445,1067107
1621432475,1067107
1621432505,1067107
1621432535,1067107
1621432565,1067107
1621432595,1067107
1621432625,1067107
1621432655,1067107
1621432685,1067107
