t,value
1621426425,693
1621426455,732
1621426485,724
1621426515,724
1621426545,738
1621426575,738
1621426605,738
1621426635,738
1621426665,739
1621426695,739
1621426726,738
1621426756,739
1621426786,739
1621426816,738
1621426846,738
1621427195,701
1621427225,738
1621427255,736
1621427285,736
1621427315,736
1621427345,737
1621427375,737
1621427405,736
1621427435,736
1621427465,736
1621427495,721
1621427525,721
1621427555,721
1621427585,721
1621427615,721
1621427645,721
1621427675,721
1621427705,721
1621427735,721
1621427765,721
1621427795,721
1621427825,721
1621427855,721
1621427885,725
1621427915,726
1621427945,726
1621427975,726
1621428005,726
1621428035,726
1621428065,726
1621428095,731
1621428125,731
1621428155,731
1621428185,727
1621428215,727
1621428245,727
1621428275,727
1621428305,727
1621428335,727
1621428365,727
1621428395,727
1621428425,727
1621428455,728
1621428485,728
1621428515,728
1621428545,728
1621428575,728
1621428605,728
1621428635,728
1621428665,728
1621428695,728
1621428725,728
1621428755,728
1621428785,728
1621428815,728
1621428845,728
1621428875,728
1621428905,728
1621428935,728
1621428965,728
1621428995,728
1621429025,728
1621429055,728
1621429085,728
1621429115,728
1621429145,728
1621429175,728
1621429205,728
1621429235,728
1621429265,728
1621429295,728
1621429325,728
1621429355,728
1621429385,728
1621429415,728
1621429445,728
1621429475,728
1621429505,728
1621429535,728
1621429565,728
1621429595,728
1621429625,728
1621429655,728
1621429685,728
1621429715,728
1621429745,728
1621429775,728
1621429805,728
1621429835,728
1621429865,728
1621429895,728
1621429925,728
1621429955,728
1621429985,728
1621430015,728
1621430045,728
1621430075,728
1621430105,728
1621430135,728
1621430165,728
1621430195,728
1621430225,728
1621430255,728
1621430285,728
1621430315,728
1621430345,728
1621430375,728
1621430405,728
1621430435,728
1621430465,728
1621430495,728
1621430525,728
1621430555,728
1621430585,728
1621430615,727
1621430645,727
1621430675,727
1621430705,727
1621430735,727
1621430765,727
1621430795,727
1621430825,727
1621430855,727
1621430885,727
1621430915,727
1621430945,727
1621430975,727
1621431005,727
1621431035,727
1621431065,727
1621431095,727
1621431125,727
1621431155,727
1621431185,728
1621431215,728
1621431245,728
1621431275,728
1621431305,728
1621431335,728
1621431365,728
1621431395,728
1621431425,728
1621431455,728
1621431485,728
1621431515,728
1621431545,728
1621431575,728
1621431605,728
1621431635,728
1621431665,728
1621431695,728
1621431725,728
1621431755,728
1621431785,728
1621431815,728
1621431845,728
1621431875,728
1621431905,728
1621431935,728
1621431965,728
1621431995,727
1621432025,727
1621432055,727
1621432085,728
1621432115,728
1621432145,728
1621432175,728
1621432205,730
1621432235,730
1621432265,730
1621432295,730
1621432325,730
1621432355,730
1621432385,730
1621432415,730
1621432445,730
1621432475,730
1621432505,729
1621432535,727
1621432565,727
1621432595,727
1621432625,727
1621432655,727
1621432685,727
