t,value
1621426425,86287064
1621426455,86287064
1621426485,86287064
1621426515,86287064
1621426545,86287064
1621426575,86287064
1621426605,86287064
1621426635,86287064
1621426665,86287064
1621426695,86287064
1621426726,86287064
1621426756,86287064
1621426786,86287064
1621426816,86287064
1621426846,86287064
1621427195,91055104
1621427225,91055104
1621427255,91055104
1621427285,91055104
1621427315,91055104
1621427345,91055104
1621427375,91055104
1621427405,91055104
1621427435,91055104
1621427465,91055104
1621427495,91055104
1621427525,91055104
1621427555,91055104
1621427585,91055104
1621427615,91055104
1621427645,91055104
1621427675,91055104
1621427705,91055104
1621427735,91055104
1621427765,91055104
1621427795,91055104
1621427825,91055104
1621427855,91055104
1621427885,91055104
1621427915,91055104
1621427945,91055104
1621427975,91055104
1621428005,91055104
1621428035,91055104
1621428065,91055104
1621428095,91055104
1621428125,91055104
1621428155,91055104
1621428185,91055104
1621428215,91055104
1621428245,91055104
1621428275,91055104
1621428305,91055104
1621428335,91055104
1621428365,91055104
1621428395,91055104
1621428425,91055104
1621428455,91055104
1621428485,91055104
1621428515,91055104
1621428545,91055104
1621428575,91055104
1621428605,91055104
1621428635,91055104
1621428665,91055104
1621428695,91055104
1621428725,91055104
1621428755,91055104
1621428785,91055104
1621428815,91055104
1621428845,91055104
1621428875,91055104
1621428905,91055104
1621428935,91055104
1621428965,91055104
1621428995,91055104
1621429025,91055104
1621429055,91055104
1621429085,91055104
1621429115,91055104
1621429145,91055104
1621429175,91055104
1621429205,91055104
1621429235,91055104
1621429265,91055104
1621429295,91055104
1621429325,91055104
1621429355,91055104
1621429385,91055104
1621429415,91055104
1621429445,91055104
1621429475,91055104
1621429505,91055104
1621429535,91055104
1621429565,91055104
1621429595,91055104
1621429625,91055104
1621429655,91055104
1621429685,91055104
1621429715,91055104
1621429745,91055104
1621429775,91055104
1621429805,91055104
1621429835,91055104
1621429865,91055104
1621429895,91055104
1621429925,91055104
1621429955,91055104
1621429985,91055104
1621430015,91055104
1621430045,91055104
1621430075,91055104
1621430105,91055104
1621430135,91055104
1621430165,91055104
1621430195,91055104
1621430225,91055104
1621430255,91055104
1621430285,91055104
1621430315,91055104
1621430345,91055104
1621430375,91055104
1621430405,91055104
1621430435,91055104
1621430465,91055104
1621430495,91055104
1621430525,91055104
1621430555,91055104
1621430585,91055104
1621430615,91055104
1621430645,91055104
1621430675,91055104
1621430705,91055104
1621430735,91055104
1621430765,91055104
1621430795,91055104
1621430825,91055104
1621430855,91055104
1621430885,91055104
1621430915,91055104
1621430945,91055104
1621430975,91055104
1621431005,91055104
1621431035,91055104
1621431065,91055104
1621431095,91055104
1621431125,91055104
1621431155,91055104
1621431185,91055104
1621431215,91055104
1621431245,91055104
1621431275,91055104
1621431305,91055104
1621431335,91055104
1621431365,91055104
1621431395,91055104
1621431425,91055104
1621431455,91055104
1621431485,91055104
1621431515,91055104
1621431545,91055104
1621431575,91055104
1621431605,91055104
1621431635,91055104
1621431665,91055104
1621431695,91055104
1621431725,91055104
1621431755,91055104
1621431785,91055104
1621431815,91055104
1621431845,91055104
1621431875,91055104
1621431905,91055104
1621431935,91055104
1621431965,91055104
1621431995,91055104
1621432025,91055104
1621432055,91055104
1621432085,91055104
1621432115,91055104
1621432145,91055104
1621432175,91055104
1621432205,91055104
1621432235,91055104
1621432265,91055104
1621432295,91055104
1621432325,91055104
1621432355,91055104
1621432385,91055104
1621432415,91055104
1621432445,91055104
1621432475,91055104
1621432505,91055104
1621432535,91055104
1621432565,91055104
1621432595,91055104
1621432625,91055104
1621432655,91055104
1621432685,91055104
