t,value
1621426425,14347293
1621426455,14347149
1621426485,14355341
1621426515,14355341
1621426545,14502994
1621426575,14565786
1621426605,14557594
1621426635,14557594
1621426665,14557594
1621426695,14557594
1621426726,14557594
1621426756,14661714
1621426786,14653180
1621426816,14653180
1621426846,14644988
1621427195,9759376
1621427225,9775670
1621427255,9775670
1621427285,9775670
1621427315,9775670
1621427345,9867910
1621427375,9867910
1621427405,9867910
1621427435,9867910
1621427465,9867910
1621427495,9867910
1621427525,9867910
1621427555,9867910
1621427585,9867910
1621427615,9867910
1621427645,9867910
1621427675,9867910
1621427705,9867910
1621427735,9867910
1621427765,9867910
1621427795,9867910
1621427825,9867910
1621427855,9867910
1621427885,9867910
1621427915,9867910
1621427945,9867910
1621427975,9867910
1621428005,9867910
1621428035,9867910
1621428065,9867910
1621428095,9867910
1621428125,9867910
1621428155,9867910
1621428185,9867910
1621428215,9867910
1621428245,9867910
1621428275,10130054
1621428305,10130054
1621428335,10130054
1621428365,10130054
1621428395,10130054
1621428425,10130054
1621428455,10130054
1621428485,10130054
1621428515,10130054
1621428545,10130110
1621428575,10130110
1621428605,10130110
1621428635,10130110
1621428665,10130110
1621428695,10130110
1621428725,10130110
1621428755,10130110
1621428785,10130110
1621428815,10130110
1621428845,10130110
1621428875,10130110
1621428905,10130110
1621428935,10130110
1621428965,10130110
1621428995,10130110
1621429025,10130110
1621429055,10130110
1621429085,10130110
1621429115,10130110
1621429145,10130110
1621429175,10130110
1621429205,10130110
1621429235,10130110
1621429265,10130110
1621429295,10130110
1621429325,10130110
1621429355,10130110
1621429385,10130110
1621429415,10130110
1621429445,10130110
1621429475,10130110
1621429505,10130110
1621429535,10130110
1621429565,10130110
1621429595,10130110
1621429625,10130110
1621429655,10130110
1621429685,10130110
1621429715,10130110
1621429745,10130110
1621429775,10130110
1621429805,10130110
1621429835,10130110
1621429865,10130110
1621429895,10130110
1621429925,10130110
1621429955,10130110
1621429985,10130110
1621430015,10130110
1621430045,10130110
1621430075,10130110
1621430105,10130110
1621430135,10130110
1621430165,10130110
1621430195,10130110
1621430225,10130110
1621430255,10130110
1621430285,10130110
1621430315,10130110
1621430345,10130110
1621430375,10130110
1621430405,10130110
1621430435,10130110
1621430465,10130110
1621430495,10130110
1621430525,10130110
1621430555,10130110
1621430585,10130110
1621430615,10130110
1621430645,10130110
1621430675,10130110
1621430705,10130110
1621430735,10130110
1621430765,10130110
1621430795,10130110
1621430825,10130110
1621430855,10130110
1621430885,10130110
1621430915,10130110
1621430945,10130110
1621430975,10130110
1621431005,10130110
1621431035,10130110
1621431065,10130110
1621431095,10130110
1621431125,10130110
1621431155,10130110
1621431185,10130110
1621431215,10130110
1621431245,10130110
1621431275,10130110
1621431305,10130110
1621431335,10130110
1621431365,10130110
1621431395,10130110
1621431425,10130110
1621431455,10130110
1621431485,10130110
1621431515,10130110
1621431545,10130110
1621431575,10130110
1621431605,10130110
1621431635,10130110
1621431665,10130110
1621431695,10130110
1621431725,10130110
1621431755,10130110
1621431785,10130110
1621431815,10130110
1621431845,10130110
1621431875,10130110
1621431905,10130110
1621431935,10130110
1621431965,10130110
1621431995,10130110
1621432025,10130110
1621432055,10130110
1621432085,10130110
1621432115,10130110
1621432145,10130110
1621432175,10130110
1621432205,10130110
1621432235,10130110
1621432265,10130110
1621432295,10130110
1621432325,10130110
1621432355,10130110
1621432385,10130110
1621432415,10130110
1621432445,10130110
1621432475,10130110
1621432505,10130110
1621432535,10130110
1621432565,10130110
1621432595,10130110
1621432625,10130110
1621432655,10130110
1621432685,10130110
