t,value
1621426425,130
1621426455,127
1621426485,133
1621426515,133
1621426545,154
1621426575,154
1621426605,152
1621426635,155
1621426665,153
1621426695,153
1621426726,152
1621426756,152
1621426786,151
1621426816,152
1621426846,151
1621427195,129
1621427225,124
1621427255,123
1621427285,123
1621427315,123
1621427345,123
1621427375,123
1621427405,123
1621427435,124
1621427465,124
1621427495,124
1621427525,124
1621427555,124
1621427585,124
1621427615,124
1621427645,124
1621427675,124
1621427705,124
1621427735,126
1621427765,126
1621427795,124
1621427825,123
1621427855,123
1621427885,127
1621427915,128
1621427945,125
1621427975,125
1621428005,125
1621428035,126
1621428065,126
1621428095,129
1621428125,129
1621428155,126
1621428185,127
1621428215,127
1621428245,126
1621428275,126
1621428305,126
1621428335,128
1621428365,128
1621428395,127
1621428425,126
1621428455,130
1621428485,130
1621428515,130
1621428545,130
1621428575,130
1621428605,130
1621428635,131
1621428665,131
1621428695,130
1621428725,130
1621428755,130
1621428785,130
1621428815,130
1621428845,130
1621428875,130
1621428905,130
1621428935,132
1621428965,132
1621428995,131
1621429025,130
1621429055,130
1621429085,130
1621429115,130
1621429145,130
1621429175,130
1621429205,130
1621429235,131
1621429265,131
1621429295,130
1621429325,130
1621429355,130
1621429385,130
1621429415,130
1621429445,130
1621429475,130
1621429505,130
1621429535,132
1621429565,132
1621429595,131
1621429625,130
1621429655,130
1621429685,130
1621429715,130
1621429745,130
1621429775,130
1621429805,131
1621429835,132
1621429865,132
1621429895,130
1621429925,130
1621429955,130
1621429985,130
1621430015,130
1621430045,130
1621430075,130
1621430105,130
1621430135,132
1621430165,132
1621430195,131
1621430225,130
1621430255,130
1621430285,130
1621430315,130
1621430345,130
1621430375,130
1621430405,130
1621430435,131
1621430465,131
1621430495,130
1621430525,130
1621430555,130
1621430585,130
1621430615,130
1621430645,130
1621430675,130
1621430705,130
1621430735,132
1621430765,132
1621430795,131
1621430825,130
1621430855,130
1621430885,130
1621430915,130
1621430945,130
1621430975,130
1621431005,130
1621431035,131
1621431065,131
1621431095,130
1621431125,130
1621431155,130
1621431185,130
1621431215,130
1621431245,130
1621431275,130
1621431305,130
1621431335,132
1621431365,132
1621431395,131
1621431425,130
1621431455,130
1621431485,130
1621431515,130
1621431545,130
1621431575,130
1621431605,130
1621431635,131
1621431665,131
1621431695,130
1621431725,130
1621431755,130
1621431785,130
1621431815,130
1621431845,130
1621431875,130
1621431905,130
1621431935,132
1621431965,132
1621431995,131
1621432025,130
1621432055,130
1621432085,130
1621432115,130
1621432145,130
1621432175,130
1621432205,131
1621432235,132
1621432265,132
1621432295,131
1621432325,131
1621432355,131
1621432385,131
1621432415,131
1621432445,131
1621432475,131
1621432505,131
1621432535,134
1621432565,134
1621432595,132
1621432625,131
1621432655,131
1621432685,131
