t,value
1621426412,0
1621426442,0
1621426472,0
1621426502,0
1621426532,0
1621426562,4
1621426592,4
1621426622,4
1621426652,4
1621426682,4
1621426712,4
1621426742,4
1621426772,4
1621426802,4
1621426832,4
1621426862,4
1621426892,4
1621427189,3
1621427219,3
1621427249,8
1621427279,8
1621427309,8
1621427339,8
1621427369,8
1621427399,8
1621427429,8
1621427459,8
1621427489,0
1621427519,0
1621427549,0
1621427579,0
1621427609,0
1621427639,0
1621427669,0
1621427699,0
1621427729,0
1621427759,0
1621427789,0
1621427819,0
1621427849,0
1621427879,0
1621427909,0
1621427939,0
1621427969,0
1621427999,0
1621428029,0
1621428059,0
1621428089,0
1621428119,0
1621428149,0
1621428179,0
1621428209,0
1621428239,0
1621428269,0
1621428299,0
1621428329,0
1621428359,0
1621428389,0
1621428419,0
1621428449,13
1621428479,13
1621428509,13
1621428539,13
1621428569,13
1621428599,13
1621428629,13
1621428659,13
1621428689,13
1621428719,13
1621428749,13
1621428779,13
1621428809,13
1621428839,13
1621428869,13
1621428899,13
1621428929,13
1621428959,13
1621428989,13
1621429019,13
1621429049,13
1621429079,14
1621429109,13
1621429139,14
1621429169,14
1621429199,14
1621429229,14
1621429259,14
1621429289,14
1621429319,14
1621429349,14
1621429379,14
1621429409,14
1621429439,14
1621429469,14
1621429499,14
1621429529,14
1621429559,14
1621429589,14
1621429619,14
1621429649,14
1621429679,14
1621429709,14
1621429739,14
1621429769,14
1621429799,14
1621429829,14
1621429859,14
1621429889,14
1621429919,14
1621429949,14
1621429979,14
1621430009,14
1621430039,13
1621430069,13
1621430099,13
1621430129,13
1621430159,13
1621430189,13
1621430219,13
1621430249,13
1621430279,13
1621430309,13
1621430339,13
1621430369,13
1621430399,13
1621430429,13
1621430459,13
1621430489,13
1621430519,13
1621430549,13
1621430579,13
1621430609,0
1621430639,12
1621430669,13
1621430699,13
1621430729,13
1621430759,13
1621430789,13
1621430819,13
1621430849,13
1621430879,13
1621430909,13
1621430939,13
1621430969,13
1621430999,13
1621431029,13
1621431059,13
1621431089,13
1621431119,13
1621431149,13
1621431179,13
1621431209,13
1621431239,13
1621431269,13
1621431299,13
1621431329,13
1621431359,13
1621431389,13
1621431419,13
1621431449,13
1621431479,13
1621431509,13
1621431539,13
1621431569,13
1621431599,13
1621431629,13
1621431659,13
1621431689,13
1621431719,13
1621431749,13
1621431779,13
1621431809,13
1621431839,13
1621431869,13
1621431899,13
1621431929,13
1621431959,13
1621431989,0
1621432019,0
1621432049,0
1621432079,13
1621432109,13
1621432139,13
1621432169,13
1621432199,13
1621432229,13
1621432259,13
1621432289,13
1621432319,13
1621432349,13
1621432379,13
1621432409,13
1621432439,13
1621432469,13
1621432499,0
1621432529,0
1621432559,0
1621432589,0
1621432619,0
1621432649,0
1621432679,0
