t,value
1621426412,9223372036854775807
1621426442,9223372036854775807
1621426472,9223372036854775807
1621426502,9223372036854775807
1621426532,9223372036854775807
1621426562,9223372036854775807
1621426592,9223372036854775807
1621426622,9223372036854775807
1621426652,9223372036854775807
1621426682,9223372036854775807
1621426712,9223372036854775807
1621426742,9223372036854775807
1621426772,9223372036854775807
1621426802,9223372036854775807
1621426832,9223372036854775807
1621426862,9223372036854775807
1621426892,9223372036854775807
1621427189,9223372036854775807
1621427219,9223372036854775807
1621427249,9223372036854775807
1621427279,9223372036854775807
1621427309,9223372036854775807
1621427339,9223372036854775807
1621427369,9223372036854775807
1621427399,9223372036854775807
1621427429,9223372036854775807
1621427459,9223372036854775807
1621427489,9223372036854775807
1621427519,9223372036854775807
1621427549,9223372036854775807
1621427579,9223372036854775807
1621427609,9223372036854775807
1621427639,9223372036854775807
1621427669,9223372036854775807
1621427699,9223372036854775807
1621427729,9223372036854775807
1621427759,9223372036854775807
1621427789,9223372036854775807
1621427819,9223372036854775807
1621427849,9223372036854775807
1621427879,9223372036854775807
1621427909,9223372036854775807
1621427939,9223372036854775807
1621427969,9223372036854775807
1621427999,9223372036854775807
1621428029,9223372036854775807
1621428059,9223372036854775807
1621428089,9223372036854775807
1621428119,9223372036854775807
1621428149,9223372036854775807
1621428179,9223372036854775807
1621428209,9223372036854775807
1621428239,9223372036854775807
1621428269,9223372036854775807
1621428299,9223372036854775807
1621428329,9223372036854775807
1621428359,9223372036854775807
1621428389,9223372036854775807
1621428419,9223372036854775807
1621428449,9223372036854775807
1621428479,9223372036854775807
1621428509,9223372036854775807
1621428539,9223372036854775807
1621428569,9223372036854775807
1621428599,9223372036854775807
1621428629,9223372036854775807
1621428659,9223372036854775807
1621428689,9223372036854775807
1621428719,9223372036854775807
1621428749,9223372036854775807
1621428779,9223372036854775807
1621428809,9223372036854775807
1621428839,9223372036854775807
1621428869,9223372036854775807
1621428899,9223372036854775807
1621428929,9223372036854775807
1621428959,9223372036854775807
1621428989,9223372036854775807
1621429019,9223372036854775807
1621429049,9223372036854775807
1621429079,9223372036854775807
1621429109,9223372036854775807
1621429139,9223372036854775807
1621429169,9223372036854775807
1621429199,9223372036854775807
1621429229,9223372036854775807
1621429259,9223372036854775807
1621429289,9223372036854775807
1621429319,9223372036854775807
1621429349,9223372036854775807
1621429379,9223372036854775807
1621429409,9223372036854775807
1621429439,9223372036854775807
1621429469,9223372036854775807
1621429499,9223372036854775807
1621429529,9223372036854775807
1621429559,9223372036854775807
1621429589,9223372036854775807
1621429619,9223372036854775807
1621429649,9223372036854775807
1621429679,9223372036854775807
1621429709,9223372036854775807
1621429739,9223372036854775807
1621429769,9223372036854775807
1621429799,9223372036854775807
1621429829,9223372036854775807
1621429859,9223372036854775807
1621429889,9223372036854775807
1621429919,9223372036854775807
1621429949,9223372036854775807
1621429979,9223372036854775807
1621430009,9223372036854775807
1621430039,9223372036854775807
1621430069,9223372036854775807
1621430099,9223372036854775807
1621430129,9223372036854775807
1621430159,9223372036854775807
1621430189,9223372036854775807
1621430219,9223372036854775807
1621430249,9223372036854775807
1621430279,9223372036854775807
1621430309,9223372036854775807
1621430339,9223372036854775807
1621430369,9223372036854775807
1621430399,9223372036854775807
1621430429,9223372036854775807
1621430459,9223372036854775807
1621430489,9223372036854775807
1621430519,9223372036854775807
1621430549,9223372036854775807
1621430579,9223372036854775807
1621430609,9223372036854775807
1621430639,9223372036854775807
1621430669,9223372036854775807
1621430699,9223372036854775807
1621430729,9223372036854775807
1621430759,9223372036854775807
1621430789,9223372036854775807
1621430819,9223372036854775807
1621430849,9223372036854775807
1621430879,9223372036854775807
1621430909,9223372036854775807
1621430939,9223372036854775807
1621430969,9223372036854775807
1621430999,9223372036854775807
1621431029,9223372036854775807
1621431059,9223372036854775807
1621431089,9223372036854775807
1621431119,9223372036854775807
1621431149,9223372036854775807
1621431179,9223372036854775807
1621431209,9223372036854775807
1621431239,9223372036854775807
1621431269,9223372036854775807
1621431299,9223372036854775807
1621431329,9223372036854775807
1621431359,9223372036854775807
1621431389,9223372036854775807
1621431419,9223372036854775807
1621431449,9223372036854775807
1621431479,9223372036854775807
1621431509,9223372036854775807
1621431539,9223372036854775807
1621431569,9223372036854775807
1621431599,9223372036854775807
1621431629,9223372036854775807
1621431659,9223372036854775807
1621431689,9223372036854775807
1621431719,9223372036854775807
1621431749,9223372036854775807
1621431779,9223372036854775807
1621431809,9223372036854775807
1621431839,9223372036854775807
1621431869,9223372036854775807
1621431899,9223372036854775807
1621431929,9223372036854775807
1621431959,9223372036854775807
1621431989,9223372036854775807
1621432019,9223372036854775807
1621432049,9223372036854775807
1621432079,9223372036854775807
1621432109,9223372036854775807
1621432139,9223372036854775807
1621432169,9223372036854775807
1621432199,9223372036854775807
1621432229,9223372036854775807
1621432259,9223372036854775807
1621432289,9223372036854775807
1621432319,9223372036854775807
1621432349,9223372036854775807
1621432379,9223372036854775807
1621432409,9223372036854775807
1621432439,9223372036854775807
1621432469,9223372036854775807
1621432499,9223372036854775807
1621432529,9223372036854775807
1621432559,9223372036854775807
1621432589,9223372036854775807
1621432619,9223372036854775807
1621432649,9223372036854775807
1621432679,9223372036854775807
