t,value
1621426412,0
1621426442,0
1621426472,0
1621426502,0
1621426532,33554432
1621426562,117440512
1621426592,117440512
1621426622,117440512
1621426652,117440512
1621426682,117440512
1621426712,117440512
1621426742,117440512
1621426772,117440512
1621426802,117440512
1621426832,117440512
1621426862,117440512
1621426892,117440512
1621427189,83886080
1621427219,83886080
1621427249,167772160
1621427279,167772160
1621427309,167772160
1621427339,167772160
1621427369,167772160
1621427399,167772160
1621427429,167772160
1621427459,167772160
1621427489,167772160
1621427519,167772160
1621427549,167772160
1621427579,167772160
1621427609,167772160
1621427639,167772160
1621427669,167772160
1621427699,167772160
1621427729,167772160
1621427759,167772160
1621427789,167772160
1621427819,167772160
1621427849,167772160
1621427879,167772160
1621427909,167772160
1621427939,167772160
1621427969,167772160
1621427999,167772160
1621428029,167772160
1621428059,167772160
1621428089,167772160
1621428119,167772160
1621428149,167772160
1621428179,167772160
1621428209,167772160
1621428239,167772160
1621428269,167772160
1621428299,167772160
1621428329,167772160
1621428359,167772160
1621428389,167772160
1621428419,167772160
1621428449,268435456
1621428479,268435456
1621428509,268435456
1621428539,268435456
1621428569,268435456
1621428599,268435456
1621428629,268435456
1621428659,268435456
1621428689,268435456
1621428719,268435456
1621428749,268435456
1621428779,268435456
1621428809,268435456
1621428839,268435456
1621428869,268435456
1621428899,268435456
1621428929,268435456
1621428959,268435456
1621428989,268435456
1621429019,268435456
1621429049,268435456
1621429079,268435456
1621429109,268435456
1621429139,268435456
1621429169,268435456
1621429199,268435456
1621429229,268435456
1621429259,268435456
1621429289,268435456
1621429319,268435456
1621429349,268435456
1621429379,268435456
1621429409,268435456
1621429439,268435456
1621429469,268435456
1621429499,268435456
1621429529,268435456
1621429559,268435456
1621429589,268435456
1621429619,268435456
1621429649,268435456
1621429679,268435456
1621429709,268435456
1621429739,268435456
1621429769,268435456
1621429799,268435456
1621429829,268435456
1621429859,268435456
1621429889,268435456
1621429919,268435456
1621429949,268435456
1621429979,268435456
1621430009,268435456
1621430039,268435456
1621430069,268435456
1621430099,268435456
1621430129,268435456
1621430159,268435456
1621430189,268435456
1621430219,268435456
1621430249,268435456
1621430279,268435456
1621430309,268435456
1621430339,268435456
1621430369,268435456
1621430399,268435456
1621430429,268435456
1621430459,268435456
1621430489,268435456
1621430519,268435456
1621430549,268435456
1621430579,268435456
1621430609,268435456
1621430639,268435456
1621430669,268435456
1621430699,268435456
1621430729,268435456
1621430759,268435456
1621430789,268435456
1621430819,268435456
1621430849,268435456
1621430879,268435456
1621430909,268435456
1621430939,268435456
1621430969,268435456
1621430999,268435456
1621431029,268435456
1621431059,268435456
1621431089,268435456
1621431119,268435456
1621431149,268435456
1621431179,268435456
1621431209,268435456
1621431239,268435456
1621431269,268435456
1621431299,268435456
1621431329,268435456
1621431359,268435456
1621431389,268435456
1621431419,268435456
1621431449,268435456
1621431479,268435456
1621431509,268435456
1621431539,268435456
1621431569,268435456
1621431599,268435456
1621431629,268435456
1621431659,268435456
1621431689,268435456
1621431719,268435456
1621431749,268435456
1621431779,268435456
1621431809,268435456
1621431839,268435456
1621431869,268435456
1621431899,268435456
1621431929,268435456
1621431959,268435456
1621431989,268435456
1621432019,268435456
1621432049,268435456
1621432079,268435456
1621432109,268435456
1621432139,268435456
1621432169,268435456
1621432199,268435456
1621432229,268435456
1621432259,268435456
1621432289,268435456
1621432319,268435456
1621432349,268435456
1621432379,268435456
1621432409,268435456
1621432439,268435456
1621432469,268435456
1621432499,268435456
1621432529,268435456
1621432559,268435456
1621432589,268435456
1621432619,268435456
1621432649,268435456
1621432679,268435456
