t,value
1621426412,2886
1621426442,6019
1621426472,2675
1621426502,6005
1621426532,2654
1621426562,5974
1621426592,2629
1621426622,5942
1621426652,2598
1621426682,5917
1621426712,2569
1621426742,5892
1621426772,2547
1621426802,5860
1621426832,2515
1621426862,5840
1621426892,9235
1621427189,3714
1621427219,331
1621427249,3642
1621427279,289
1621427309,3609
1621427339,265
1621427369,3578
1621427399,229
1621427429,3558
1621427459,211
1621427489,3534
1621427519,179
1621427549,3502
1621427579,154
1621427609,3472
1621427639,124
1621427669,3445
1621427699,88
1621427729,3419
1621427759,75
1621427789,3398
1621427819,58
1621427849,3370
1621427879,24
1621427909,3348
1621427939,2
1621427969,3323
1621427999,6640
1621428029,3293
1621428059,6612
1621428089,3274
1621428119,6592
1621428149,3239
1621428179,6566
1621428209,3216
1621428239,6533
1621428269,3184
1621428299,6503
1621428329,3153
1621428359,6474
1621428389,3129
1621428419,6454
1621428449,589
1621428479,6417
1621428509,3080
1621428539,2481
1621428569,3061
1621428599,6382
1621428629,3039
1621428659,6358
1621428689,3015
1621428719,6340
1621428749,3013
1621428779,6310
1621428809,2964
1621428839,6280
1621428869,2932
1621428899,6254
1621428929,2907
1621428959,6229
1621428989,2884
1621429019,6201
1621429049,2859
1621429079,6180
1621429109,2828
1621429139,6146
1621429169,2793
1621429199,6117
1621429229,2775
1621429259,6093
1621429289,2743
1621429319,6070
1621429349,2729
1621429379,6052
1621429409,2705
1621429439,6024
1621429469,2679
1621429499,5993
1621429529,2642
1621429559,5960
1621429589,2614
1621429619,5939
1621429649,2583
1621429679,5905
1621429709,2561
1621429739,5880
1621429769,2533
1621429799,5848
1621429829,2499
1621429859,5818
1621429889,2471
1621429919,5792
1621429949,2444
1621429979,5765
1621430009,2411
1621430039,5738
1621430069,2396
1621430099,5718
1621430129,2371
1621430159,5693
1621430189,2349
1621430219,5677
1621430249,2331
1621430279,5657
1621430309,2313
1621430339,5636
1621430369,2284
1621430399,5603
1621430429,2254
1621430459,5575
1621430489,2231
1621430519,5554
1621430549,2207
1621430579,5523
1621430609,2173
1621430639,5494
1621430669,2144
1621430699,5467
1621430729,2115
1621430759,5434
1621430789,2087
1621430819,5407
1621430849,2069
1621430879,5395
1621430909,2047
1621430939,5375
1621430969,2025
1621430999,5342
1621431029,1999
1621431059,5322
1621431089,1973
1621431119,5295
1621431149,1946
1621431179,5269
1621431209,1924
1621431239,5244
1621431269,1898
1621431299,5215
1621431329,1870
1621431359,5191
1621431389,1845
1621431419,5163
1621431449,1817
1621431479,5137
1621431509,1789
1621431539,5111
1621431569,1755
1621431599,5076
1621431629,1730
1621431659,5058
1621431689,1724
1621431719,5044
1621431749,1690
1621431779,5022
1621431809,1677
1621431839,5003
1621431869,1654
1621431899,4970
1621431929,1622
1621431959,4942
1621431989,1591
1621432019,4908
1621432049,1556
1621432079,4882
1621432109,1533
1621432139,4845
1621432169,1496
1621432199,4824
1621432229,1474
1621432259,4793
1621432289,1450
1621432319,4770
1621432349,1424
1621432379,4743
1621432409,1400
1621432439,4728
1621432469,1382
1621432499,4703
1621432529,1354
1621432559,4681
1621432589,1337
1621432619,4659
1621432649,1312
1621432679,4632
