t,value
1621426412,0
1621426442,0
1621426472,0
1621426502,0
1621426532,0
1621426562,0
1621426592,0
1621426622,0
1621426652,138
1621426682,138
1621426712,138
1621426742,138
1621426772,138
1621426802,138
1621426832,138
1621426862,138
1621426892,138
1621427189,138
1621427219,138
1621427249,138
1621427279,138
1621427309,138
1621427339,138
1621427369,138
1621427399,138
1621427429,138
1621427459,138
1621427489,138
1621427519,138
1621427549,138
1621427579,138
1621427609,138
1621427639,138
1621427669,138
1621427699,138
1621427729,138
1621427759,138
1621427789,138
1621427819,138
1621427849,138
1621427879,138
1621427909,138
1621427939,138
1621427969,138
1621427999,138
1621428029,138
1621428059,138
1621428089,138
1621428119,138
1621428149,138
1621428179,138
1621428209,138
1621428239,138
1621428269,138
1621428299,138
1621428329,138
1621428359,138
1621428389,138
1621428419,138
1621428449,138
1621428479,138
1621428509,138
1621428539,383
1621428569,383
1621428599,383
1621428629,383
1621428659,383
1621428689,383
1621428719,383
1621428749,383
1621428779,383
1621428809,383
1621428839,383
1621428869,383
1621428899,383
1621428929,383
1621428959,383
1621428989,383
1621429019,383
1621429049,383
1621429079,383
1621429109,383
1621429139,383
1621429169,383
1621429199,383
1621429229,383
1621429259,383
1621429289,383
1621429319,383
1621429349,383
1621429379,383
1621429409,383
1621429439,383
1621429469,383
1621429499,383
1621429529,383
1621429559,383
1621429589,383
1621429619,383
1621429649,383
1621429679,383
1621429709,383
1621429739,383
1621429769,383
1621429799,383
1621429829,383
1621429859,383
1621429889,383
1621429919,383
1621429949,383
1621429979,383
1621430009,383
1621430039,383
1621430069,383
1621430099,383
1621430129,383
1621430159,383
1621430189,383
1621430219,383
1621430249,383
1621430279,383
1621430309,383
1621430339,383
1621430369,383
1621430399,383
1621430429,383
1621430459,383
1621430489,383
1621430519,383
1621430549,383
1621430579,383
1621430609,383
1621430639,383
1621430669,383
1621430699,383
1621430729,383
1621430759,383
1621430789,383
1621430819,383
1621430849,383
1621430879,383
1621430909,383
1621430939,383
1621430969,383
1621430999,383
1621431029,383
1621431059,383
1621431089,383
1621431119,383
1621431149,383
1621431179,383
1621431209,383
1621431239,383
1621431269,383
1621431299,383
1621431329,383
1621431359,383
1621431389,383
1621431419,383
1621431449,383
1621431479,383
1621431509,383
1621431539,383
1621431569,383
1621431599,383
1621431629,383
1621431659,383
1621431689,383
1621431719,383
1621431749,383
1621431779,383
1621431809,383
1621431839,383
1621431869,383
1621431899,383
1621431929,383
1621431959,383
1621431989,383
1621432019,383
1621432049,383
1621432079,383
1621432109,383
1621432139,383
1621432169,383
1621432199,383
1621432229,383
1621432259,383
1621432289,383
1621432319,383
1621432349,383
1621432379,383
1621432409,383
1621432439,383
1621432469,383
1621432499,383
1621432529,383
1621432559,383
1621432589,383
1621432619,383
1621432649,383
1621432679,383
