t,value
1621426412,0
1621426442,0
1621426472,0
1621426502,0
1621426532,0
1621426562,0
1621426592,0
1621426622,0
1621426652,156
1621426682,156
1621426712,156
1621426742,156
1621426772,156
1621426802,156
1621426832,156
1621426862,156
1621426892,156
1621427189,156
1621427219,156
1621427249,156
1621427279,156
1621427309,156
1621427339,156
1621427369,156
1621427399,156
1621427429,156
1621427459,156
1621427489,156
1621427519,156
1621427549,156
1621427579,156
1621427609,156
1621427639,156
1621427669,156
1621427699,156
1621427729,156
1621427759,156
1621427789,156
1621427819,156
1621427849,156
1621427879,156
1621427909,156
1621427939,156
1621427969,156
1621427999,156
1621428029,156
1621428059,156
1621428089,156
1621428119,156
1621428149,156
1621428179,156
1621428209,156
1621428239,156
1621428269,156
1621428299,156
1621428329,156
1621428359,156
1621428389,156
1621428419,156
1621428449,156
1621428479,156
1621428509,156
1621428539,253
1621428569,253
1621428599,253
1621428629,253
1621428659,253
1621428689,253
1621428719,253
1621428749,253
1621428779,253
1621428809,253
1621428839,253
1621428869,253
1621428899,253
1621428929,253
1621428959,253
1621428989,253
1621429019,253
1621429049,253
1621429079,253
1621429109,253
1621429139,253
1621429169,253
1621429199,253
1621429229,253
1621429259,253
1621429289,253
1621429319,253
1621429349,253
1621429379,253
1621429409,253
1621429439,253
1621429469,253
1621429499,253
1621429529,253
1621429559,253
1621429589,253
1621429619,253
1621429649,253
1621429679,253
1621429709,253
1621429739,253
1621429769,253
1621429799,253
1621429829,253
1621429859,253
1621429889,253
1621429919,253
1621429949,253
1621429979,253
1621430009,253
1621430039,253
1621430069,253
1621430099,253
1621430129,253
1621430159,253
1621430189,253
1621430219,253
1621430249,253
1621430279,253
1621430309,253
1621430339,253
1621430369,253
1621430399,253
1621430429,253
1621430459,253
1621430489,253
1621430519,253
1621430549,253
1621430579,253
1621430609,253
1621430639,253
1621430669,253
1621430699,253
1621430729,253
1621430759,253
1621430789,253
1621430819,253
1621430849,253
1621430879,253
1621430909,253
1621430939,253
1621430969,253
1621430999,253
1621431029,253
1621431059,253
1621431089,253
1621431119,253
1621431149,253
1621431179,253
1621431209,253
1621431239,253
1621431269,253
1621431299,253
1621431329,253
1621431359,253
1621431389,253
1621431419,253
1621431449,253
1621431479,253
1621431509,253
1621431539,253
1621431569,253
1621431599,253
1621431629,253
1621431659,253
1621431689,253
1621431719,253
1621431749,253
1621431779,253
1621431809,253
1621431839,253
1621431869,253
1621431899,253
1621431929,253
1621431959,253
1621431989,253
1621432019,253
1621432049,253
1621432079,253
1621432109,253
1621432139,253
1621432169,253
1621432199,253
1621432229,253
1621432259,253
1621432289,253
1621432319,253
1621432349,253
1621432379,253
1621432409,253
1621432439,253
1621432469,253
1621432499,253
1621432529,253
1621432559,253
1621432589,253
1621432619,253
1621432649,253
1621432679,253
