t,value
1621426412,819576
1621426442,819576
1621426472,819576
1621426502,819576
1621426532,819576
1621426562,819576
1621426592,819576
1621426622,819576
1621426652,819576
1621426682,819576
1621426712,819576
1621426742,819576
1621426772,819576
1621426802,819576
1621426832,819576
1621426862,819576
1621426892,819576
1621427189,916862
1621427219,916862
1621427249,916862
1621427279,916862
1621427309,916862
1621427339,916862
1621427369,916862
1621427399,916862
1621427429,916862
1621427459,916862
1621427489,916862
1621427519,916862
1621427549,916862
1621427579,916862
1621427609,916862
1621427639,916862
1621427669,916862
1621427699,916862
1621427729,916862
1621427759,916862
1621427789,916862
1621427819,916862
1621427849,916862
1621427879,916862
1621427909,916862
1621427939,916862
1621427969,916862
1621427999,916862
1621428029,916862
1621428059,916862
1621428089,916862
1621428119,916862
1621428149,916862
1621428179,916862
1621428209,916862
1621428239,916862
1621428269,916862
1621428299,916862
1621428329,916862
1621428359,916862
1621428389,916862
1621428419,916862
1621428449,916862
1621428479,916862
1621428509,916862
1621428539,916862
1621428569,916862
1621428599,916862
1621428629,916862
1621428659,916862
1621428689,916862
1621428719,916862
1621428749,916862
1621428779,916862
1621428809,916862
1621428839,916862
1621428869,916862
1621428899,916862
1621428929,916862
1621428959,1048842
1621428989,1048842
1621429019,1048842
1621429049,1048842
1621429079,1048842
1621429109,1048842
1621429139,1048842
1621429169,1048842
1621429199,1048842
1621429229,1048842
1621429259,1048842
1621429289,1048842
1621429319,1048842
1621429349,1048842
1621429379,1048842
1621429409,1048842
1621429439,1048842
1621429469,1048842
1621429499,1048842
1621429529,1048842
1621429559,1081802
1621429589,1081802
1621429619,1081802
1621429649,1081802
1621429679,1081802
1621429709,1081802
1621429739,1081802
1621429769,1081802
1621429799,1081802
1621429829,1081802
1621429859,1081802
1621429889,1081802
1621429919,1081802
1621429949,1081802
1621429979,1081802
1621430009,1081802
1621430039,1081802
1621430069,1081802
1621430099,1081802
1621430129,1081802
1621430159,1081802
1621430189,1081802
1621430219,1081802
1621430249,1081802
1621430279,1081802
1621430309,1081802
1621430339,1081802
1621430369,1081802
1621430399,1081802
1621430429,1081802
1621430459,1081802
1621430489,1081802
1621430519,1081802
1621430549,1081802
1621430579,1081802
1621430609,1081802
1621430639,1081802
1621430669,1081802
1621430699,1081802
1621430729,1081802
1621430759,1081802
1621430789,1081802
1621430819,1081802
1621430849,1081802
1621430879,1081802
1621430909,1081802
1621430939,1081802
1621430969,1081802
1621430999,1081802
1621431029,1081802
1621431059,1081802
1621431089,1081802
1621431119,1081802
1621431149,1081802
1621431179,1081802
1621431209,1081802
1621431239,1081802
1621431269,1081802
1621431299,1081802
1621431329,1081802
1621431359,1081802
1621431389,1081802
1621431419,1081802
1621431449,1081802
1621431479,1081802
1621431509,1081802
1621431539,1081802
1621431569,1081802
1621431599,1081802
1621431629,1081802
1621431659,1081802
1621431689,1081802
1621431719,1081802
1621431749,1081802
1621431779,1081802
1621431809,1081802
1621431839,1081802
1621431869,1081802
1621431899,1081802
1621431929,1081802
1621431959,1081802
1621431989,1081802
1621432019,1081802
1621432049,1081802
1621432079,1081802
1621432109,1081802
1621432139,1081802
1621432169,1081802
1621432199,1081802
1621432229,1081802
1621432259,1081802
1621432289,1081802
1621432319,1081802
1621432349,1081802
1621432379,1081802
1621432409,1081802
1621432439,1081802
1621432469,1081802
1621432499,1081802
1621432529,1081802
1621432559,1081802
1621432589,1081802
1621432619,1081802
1621432649,1081802
1621432679,1081802
