t,value
1621426412,0.0
1621426442,1.0
1621426472,1.0
1621426502,1.0
1621426532,0.9893617021276596
1621426562,0.9877149877149877
1621426592,1.0
1621426622,1.0
1621426652,0.9871977240398293
1621426682,1.0
1621426712,1.0
1621426742,1.0
1621426772,1.0
1621426802,1.0
1621426832,1.0
1621426862,1.0
1621426892,1.0
1621427189,0.0
1621427219,1.0
1621427249,1.0
1621427279,1.0
1621427309,1.0
1621427339,1.0
1621427369,1.0
1621427399,1.0
1621427429,1.0
1621427459,1.0
1621427489,1.0
1621427519,1.0
1621427549,1.0
1621427579,1.0
1621427609,1.0
1621427639,1.0
1621427669,1.0
1621427699,1.0
1621427729,1.0
1621427759,1.0
1621427789,1.0
1621427819,1.0
1621427849,1.0
1621427879,1.0
1621427909,1.0
1621427939,1.0
1621427969,1.0
1621427999,1.0
1621428029,1.0
1621428059,1.0
1621428089,1.0
1621428119,1.0
1621428149,1.0
1621428179,1.0
1621428209,1.0
1621428239,1.0
1621428269,1.0
1621428299,1.0
1621428329,1.0
1621428359,1.0
1621428389,1.0
1621428419,1.0
1621428449,0.9926547743966422
1621428479,0.9926470588235294
1621428509,1.0
1621428539,0.9970824215900802
1621428569,0.997364953886693
1621428599,1.0
1621428629,1.0
1621428659,1.0
1621428689,1.0
1621428719,1.0
1621428749,1.0
1621428779,1.0
1621428809,1.0
1621428839,1.0
1621428869,1.0
1621428899,1.0
1621428929,1.0
1621428959,1.0
1621428989,1.0
1621429019,1.0
1621429049,1.0
1621429079,1.0
1621429109,1.0
1621429139,1.0
1621429169,1.0
1621429199,1.0
1621429229,1.0
1621429259,1.0
1621429289,1.0
1621429319,1.0
1621429349,1.0
1621429379,1.0
1621429409,1.0
1621429439,1.0
1621429469,1.0
1621429499,1.0
1621429529,1.0
1621429559,1.0
1621429589,1.0
1621429619,1.0
1621429649,1.0
1621429679,1.0
1621429709,1.0
1621429739,1.0
1621429769,1.0
1621429799,1.0
1621429829,1.0
1621429859,1.0
1621429889,1.0
1621429919,1.0
1621429949,1.0
1621429979,1.0
1621430009,1.0
1621430039,1.0
1621430069,1.0
1621430099,1.0
1621430129,1.0
1621430159,1.0
1621430189,1.0
1621430219,1.0
1621430249,1.0
1621430279,1.0
1621430309,1.0
1621430339,1.0
1621430369,1.0
1621430399,1.0
1621430429,1.0
1621430459,1.0
1621430489,1.0
1621430519,1.0
1621430549,1.0
1621430579,1.0
1621430609,1.0
1621430639,1.0
1621430669,1.0
1621430699,1.0
1621430729,1.0
1621430759,1.0
1621430789,1.0
1621430819,1.0
1621430849,1.0
1621430879,1.0
1621430909,1.0
1621430939,1.0
1621430969,1.0
1621430999,1.0
1621431029,1.0
1621431059,1.0
1621431089,1.0
1621431119,1.0
1621431149,1.0
1621431179,1.0
1621431209,1.0
1621431239,1.0
1621431269,1.0
1621431299,1.0
1621431329,1.0
1621431359,1.0
1621431389,1.0
1621431419,1.0
1621431449,1.0
1621431479,1.0
1621431509,1.0
1621431539,1.0
1621431569,1.0
1621431599,1.0
1621431629,1.0
1621431659,1.0
1621431689,1.0
1621431719,1.0
1621431749,1.0
1621431779,1.0
1621431809,1.0
1621431839,1.0
1621431869,1.0
1621431899,1.0
1621431929,1.0
1621431959,1.0
1621431989,1.0
1621432019,1.0
1621432049,1.0
1621432079,1.0
1621432109,1.0
1621432139,1.0
1621432169,1.0
1621432199,1.0
1621432229,1.0
1621432259,1.0
1621432289,1.0
1621432319,1.0
1621432349,1.0
1621432379,1.0
1621432409,1.0
1621432439,1.0
1621432469,1.0
1621432499,1.0
1621432529,1.0
1621432559,1.0
1621432589,1.0
1621432619,1.0
1621432649,1.0
1621432679,1.0
