t,value
1621426412,0
1621426442,0
1621426472,0
1621426502,0
1621426532,0
1621426562,0
1621426592,0
1621426622,0
1621426652,0
1621426682,0
1621426712,0
1621426742,0
1621426772,0
1621426802,0
1621426832,0
1621426862,0
1621426892,0
1621427189,652
1621427219,3916
1621427249,563
1621427279,3886
1621427309,543
1621427339,3865
1621427369,508
1621427399,3823
1621427429,480
1621427459,3802
1621427489,453
1621427519,3765
1621427549,418
1621427579,3743
1621427609,396
1621427639,3715
1621427669,360
1621427699,3680
1621427729,351
1621427759,3681
1621427789,318
1621427819,3657
1621427849,297
1621427879,3620
1621427909,274
1621427939,3592
1621427969,241
1621427999,3563
1621428029,215
1621428059,3537
1621428089,202
1621428119,3524
1621428149,168
1621428179,3500
1621428209,149
1621428239,3471
1621428269,127
1621428299,3438
1621428329,97
1621428359,3428
1621428389,86
1621428419,3412
1621428449,56
1621428479,3375
1621428509,36
1621428539,3352
1621428569,2
1621428599,3331
1621428629,6660
1621428659,3305
1621428689,6626
1621428719,3275
1621428749,6622
1621428779,3278
1621428809,6578
1621428839,3233
1621428869,6551
1621428899,3212
1621428929,6527
1621428959,3178
1621428989,6500
1621429019,3152
1621429049,6477
1621429079,3122
1621429109,6451
1621429139,3100
1621429169,6420
1621429199,3078
1621429229,6409
1621429259,3052
1621429289,6366
1621429319,3020
1621429349,6345
1621429379,2999
1621429409,6324
1621429439,2983
1621429469,6306
1621429499,2952
1621429529,6274
1621429559,2923
1621429589,6252
1621429619,2910
1621429649,6220
1621429679,2873
1621429709,6194
1621429739,2846
1621429769,6170
1621429799,2809
1621429829,6134
1621429859,2779
1621429889,6100
1621429919,2753
1621429949,6075
1621429979,2729
1621430009,6041
1621430039,2691
1621430069,6012
1621430099,2666
1621430129,5990
1621430159,2645
1621430189,5973
1621430219,2620
1621430249,5943
1621430279,2593
1621430309,5925
1621430339,2575
1621430369,5896
1621430399,2547
1621430429,5866
1621430459,2514
1621430489,5830
1621430519,2481
1621430549,5807
1621430579,2450
1621430609,5771
1621430639,2428
1621430669,5756
1621430699,2421
1621430729,5733
1621430759,2390
1621430789,5719
1621430819,2366
1621430849,5694
1621430879,2347
1621430909,5669
1621430939,2336
1621430969,5658
1621430999,2303
1621431029,5630
1621431059,2278
1621431089,5604
1621431119,2250
1621431149,5571
1621431179,2226
1621431209,5546
1621431239,2199
1621431269,5520
1621431299,2173
1621431329,5494
1621431359,2143
1621431389,5469
1621431419,2119
1621431449,5444
1621431479,2096
1621431509,5424
1621431539,2080
1621431569,5395
1621431599,2049
1621431629,5370
1621431659,2018
1621431689,5351
1621431719,2008
1621431749,5325
1621431779,1980
1621431809,5293
1621431839,1956
1621431869,5273
1621431899,1930
1621431929,5266
1621431959,1924
1621431989,5250
1621432019,1893
1621432049,5215
1621432079,1877
1621432109,5195
1621432139,1842
1621432169,5159
1621432199,1810
1621432229,5134
1621432259,1790
1621432289,5118
1621432319,1767
1621432349,5096
1621432379,1746
1621432409,5070
1621432439,1719
1621432469,5049
1621432499,1704
1621432529,5018
1621432559,1673
1621432589,4992
1621432619,1643
1621432649,4970
1621432679,1623
