t,value
1621426412,2630
1621426442,2630
1621426472,2630
1621426502,2630
1621426532,2630
1621426562,2630
1621426592,2630
1621426622,2630
1621426652,2630
1621426682,2630
1621426712,2630
1621426742,2630
1621426772,2630
1621426802,2630
1621426832,2630
1621426862,2630
1621426892,2630
1621427189,0
1621427219,0
1621427249,0
1621427279,0
1621427309,0
1621427339,0
1621427369,0
1621427399,0
1621427429,0
1621427459,0
1621427489,0
1621427519,0
1621427549,0
1621427579,0
1621427609,0
1621427639,0
1621427669,0
1621427699,0
1621427729,0
1621427759,0
1621427789,0
1621427819,0
1621427849,0
1621427879,0
1621427909,0
1621427939,0
1621427969,0
1621427999,0
1621428029,0
1621428059,0
1621428089,823
1621428119,823
1621428149,823
1621428179,823
1621428209,823
1621428239,823
1621428269,823
1621428299,823
1621428329,823
1621428359,823
1621428389,823
1621428419,823
1621428449,823
1621428479,823
1621428509,823
1621428539,823
1621428569,823
1621428599,823
1621428629,823
1621428659,823
1621428689,823
1621428719,823
1621428749,823
1621428779,823
1621428809,823
1621428839,823
1621428869,823
1621428899,823
1621428929,823
1621428959,823
1621428989,823
1621429019,823
1621429049,823
1621429079,823
1621429109,823
1621429139,823
1621429169,823
1621429199,823
1621429229,823
1621429259,823
1621429289,823
1621429319,823
1621429349,823
1621429379,823
1621429409,823
1621429439,823
1621429469,823
1621429499,823
1621429529,823
1621429559,823
1621429589,823
1621429619,823
1621429649,823
1621429679,823
1621429709,823
1621429739,823
1621429769,823
1621429799,823
1621429829,823
1621429859,823
1621429889,823
1621429919,823
1621429949,823
1621429979,823
1621430009,823
1621430039,823
1621430069,823
1621430099,823
1621430129,823
1621430159,823
1621430189,823
1621430219,823
1621430249,823
1621430279,823
1621430309,823
1621430339,823
1621430369,823
1621430399,823
1621430429,823
1621430459,823
1621430489,823
1621430519,823
1621430549,823
1621430579,823
1621430609,823
1621430639,823
1621430669,823
1621430699,823
1621430729,823
1621430759,823
1621430789,823
1621430819,823
1621430849,823
1621430879,823
1621430909,823
1621430939,823
1621430969,823
1621430999,823
1621431029,823
1621431059,823
1621431089,823
1621431119,823
1621431149,823
1621431179,823
1621431209,823
1621431239,823
1621431269,823
1621431299,823
1621431329,823
1621431359,823
1621431389,823
1621431419,823
1621431449,823
1621431479,823
1621431509,823
1621431539,823
1621431569,823
1621431599,823
1621431629,823
1621431659,823
1621431689,823
1621431719,823
1621431749,823
1621431779,823
1621431809,823
1621431839,823
1621431869,823
1621431899,823
1621431929,823
1621431959,823
1621431989,823
1621432019,823
1621432049,823
1621432079,823
1621432109,823
1621432139,823
1621432169,823
1621432199,823
1621432229,823
1621432259,823
1621432289,823
1621432319,823
1621432349,823
1621432379,823
1621432409,823
1621432439,823
1621432469,823
1621432499,823
1621432529,823
1621432559,823
1621432589,823
1621432619,823
1621432649,823
1621432679,823
