t,value
1621426412,46
1621426442,46
1621426472,46
1621426502,46
1621426532,46
1621426562,46
1621426592,46
1621426622,46
1621426652,46
1621426682,46
1621426712,46
1621426742,46
1621426772,46
1621426802,46
1621426832,46
1621426862,46
1621426892,46
1621427189,46
1621427219,46
1621427249,46
1621427279,46
1621427309,46
1621427339,46
1621427369,46
1621427399,46
1621427429,46
1621427459,46
1621427489,46
1621427519,46
1621427549,46
1621427579,46
1621427609,46
1621427639,46
1621427669,46
1621427699,46
1621427729,46
1621427759,46
1621427789,46
1621427819,46
1621427849,46
1621427879,46
1621427909,46
1621427939,46
1621427969,46
1621427999,46
1621428029,46
1621428059,46
1621428089,46
1621428119,46
1621428149,46
1621428179,46
1621428209,46
1621428239,46
1621428269,46
1621428299,46
1621428329,46
1621428359,46
1621428389,46
1621428419,46
1621428449,46
1621428479,46
1621428509,46
1621428539,46
1621428569,46
1621428599,46
1621428629,46
1621428659,46
1621428689,46
1621428719,46
1621428749,46
1621428779,46
1621428809,46
1621428839,46
1621428869,46
1621428899,46
1621428929,46
1621428959,46
1621428989,46
1621429019,46
1621429049,46
1621429079,46
1621429109,46
1621429139,46
1621429169,46
1621429199,46
1621429229,46
1621429259,46
1621429289,46
1621429319,46
1621429349,46
1621429379,46
1621429409,46
1621429439,46
1621429469,46
1621429499,46
1621429529,46
1621429559,46
1621429589,46
1621429619,46
1621429649,46
1621429679,46
1621429709,46
1621429739,46
1621429769,46
1621429799,46
1621429829,46
1621429859,46
1621429889,46
1621429919,46
1621429949,46
1621429979,46
1621430009,46
1621430039,46
1621430069,46
1621430099,46
1621430129,46
1621430159,46
1621430189,46
1621430219,46
1621430249,46
1621430279,46
1621430309,46
1621430339,46
1621430369,46
1621430399,46
1621430429,46
1621430459,46
1621430489,46
1621430519,46
1621430549,46
1621430579,46
1621430609,46
1621430639,46
1621430669,46
1621430699,46
1621430729,46
1621430759,46
1621430789,46
1621430819,46
1621430849,46
1621430879,46
1621430909,46
1621430939,46
1621430969,46
1621430999,46
1621431029,46
1621431059,46
1621431089,46
1621431119,46
1621431149,46
1621431179,46
1621431209,46
1621431239,46
1621431269,46
1621431299,46
1621431329,46
1621431359,46
1621431389,46
1621431419,46
1621431449,46
1621431479,46
1621431509,46
1621431539,46
1621431569,46
1621431599,46
1621431629,46
1621431659,46
1621431689,46
1621431719,46
1621431749,46
1621431779,46
1621431809,46
1621431839,46
1621431869,46
1621431899,46
1621431929,46
1621431959,46
1621431989,46
1621432019,46
1621432049,46
1621432079,46
1621432109,46
1621432139,46
1621432169,46
1621432199,46
1621432229,46
1621432259,46
1621432289,46
1621432319,46
1621432349,46
1621432379,46
1621432409,46
1621432439,46
1621432469,46
1621432499,46
1621432529,46
1621432559,46
1621432589,46
1621432619,46
1621432649,46
1621432679,46
