t,value
1621426412,86
1621426442,86
1621426472,86
1621426502,86
1621426532,86
1621426562,86
1621426592,86
1621426622,86
1621426652,86
1621426682,86
1621426712,86
1621426742,86
1621426772,86
1621426802,86
1621426832,86
1621426862,86
1621426892,86
1621427189,86
1621427219,86
1621427249,86
1621427279,86
1621427309,86
1621427339,86
1621427369,86
1621427399,86
1621427429,86
1621427459,86
1621427489,86
1621427519,86
1621427549,86
1621427579,86
1621427609,86
1621427639,86
1621427669,86
1621427699,86
1621427729,86
1621427759,86
1621427789,86
1621427819,86
1621427849,86
1621427879,86
1621427909,86
1621427939,86
1621427969,86
1621427999,86
1621428029,86
1621428059,86
1621428089,86
1621428119,86
1621428149,86
1621428179,86
1621428209,86
1621428239,86
1621428269,86
1621428299,86
1621428329,86
1621428359,86
1621428389,86
1621428419,86
1621428449,86
1621428479,86
1621428509,86
1621428539,86
1621428569,86
1621428599,86
1621428629,86
1621428659,86
1621428689,86
1621428719,86
1621428749,86
1621428779,86
1621428809,86
1621428839,86
1621428869,86
1621428899,86
1621428929,86
1621428959,86
1621428989,86
1621429019,86
1621429049,86
1621429079,86
1621429109,86
1621429139,86
1621429169,86
1621429199,86
1621429229,86
1621429259,86
1621429289,86
1621429319,86
1621429349,86
1621429379,86
1621429409,86
1621429439,86
1621429469,86
1621429499,86
1621429529,86
1621429559,86
1621429589,86
1621429619,86
1621429649,86
1621429679,86
1621429709,86
1621429739,86
1621429769,86
1621429799,86
1621429829,86
1621429859,86
1621429889,86
1621429919,86
1621429949,86
1621429979,86
1621430009,86
1621430039,86
1621430069,86
1621430099,86
1621430129,86
1621430159,86
1621430189,86
1621430219,86
1621430249,86
1621430279,86
1621430309,86
1621430339,86
1621430369,86
1621430399,86
1621430429,86
1621430459,86
1621430489,86
1621430519,86
1621430549,86
1621430579,86
1621430609,86
1621430639,86
1621430669,86
1621430699,86
1621430729,86
1621430759,86
1621430789,86
1621430819,86
1621430849,86
1621430879,86
1621430909,86
1621430939,86
1621430969,86
1621430999,86
1621431029,86
1621431059,86
1621431089,86
1621431119,86
1621431149,86
1621431179,86
1621431209,86
1621431239,86
1621431269,86
1621431299,86
1621431329,86
1621431359,86
1621431389,86
1621431419,86
1621431449,86
1621431479,86
1621431509,86
1621431539,86
1621431569,86
1621431599,86
1621431629,86
1621431659,86
1621431689,86
1621431719,86
1621431749,86
1621431779,86
1621431809,86
1621431839,86
1621431869,86
1621431899,86
1621431929,86
1621431959,86
1621431989,86
1621432019,86
1621432049,86
1621432079,86
1621432109,86
1621432139,86
1621432169,86
1621432199,86
1621432229,86
1621432259,86
1621432289,86
1621432319,86
1621432349,86
1621432379,86
1621432409,86
1621432439,86
1621432469,86
1621432499,86
1621432529,86
1621432559,86
1621432589,86
1621432619,86
1621432649,86
1621432679,86
