t,value
1621426412,85
1621426442,85
1621426472,85
1621426502,85
1621426532,85
1621426562,85
1621426592,85
1621426622,85
1621426652,85
1621426682,85
1621426712,85
1621426742,85
1621426772,85
1621426802,85
1621426832,85
1621426862,85
1621426892,85
1621427189,85
1621427219,85
1621427249,85
1621427279,85
1621427309,85
1621427339,85
1621427369,85
1621427399,85
1621427429,85
1621427459,85
1621427489,85
1621427519,85
1621427549,85
1621427579,85
1621427609,85
1621427639,85
1621427669,85
1621427699,85
1621427729,85
1621427759,85
1621427789,85
1621427819,85
1621427849,85
1621427879,85
1621427909,85
1621427939,85
1621427969,85
1621427999,85
1621428029,85
1621428059,85
1621428089,85
1621428119,85
1621428149,85
1621428179,85
1621428209,85
1621428239,85
1621428269,85
1621428299,85
1621428329,85
1621428359,85
1621428389,85
1621428419,85
1621428449,85
1621428479,85
1621428509,85
1621428539,85
1621428569,85
1621428599,85
1621428629,85
1621428659,85
1621428689,85
1621428719,85
1621428749,85
1621428779,85
1621428809,85
1621428839,85
1621428869,85
1621428899,85
1621428929,85
1621428959,85
1621428989,85
1621429019,85
1621429049,85
1621429079,85
1621429109,85
1621429139,85
1621429169,85
1621429199,85
1621429229,85
1621429259,85
1621429289,85
1621429319,85
1621429349,85
1621429379,85
1621429409,85
1621429439,85
1621429469,85
1621429499,85
1621429529,85
1621429559,85
1621429589,85
1621429619,85
1621429649,85
1621429679,85
1621429709,85
1621429739,85
1621429769,85
1621429799,85
1621429829,85
1621429859,85
1621429889,85
1621429919,85
1621429949,85
1621429979,85
1621430009,85
1621430039,85
1621430069,85
1621430099,85
1621430129,85
1621430159,85
1621430189,85
1621430219,85
1621430249,85
1621430279,85
1621430309,85
1621430339,85
1621430369,85
1621430399,85
1621430429,85
1621430459,85
1621430489,85
1621430519,85
1621430549,85
1621430579,85
1621430609,85
1621430639,85
1621430669,85
1621430699,85
1621430729,85
1621430759,85
1621430789,85
1621430819,85
1621430849,85
1621430879,85
1621430909,85
1621430939,85
1621430969,85
1621430999,85
1621431029,85
1621431059,85
1621431089,85
1621431119,85
1621431149,85
1621431179,85
1621431209,85
1621431239,85
1621431269,85
1621431299,85
1621431329,85
1621431359,85
1621431389,85
1621431419,85
1621431449,85
1621431479,85
1621431509,85
1621431539,85
1621431569,85
1621431599,85
1621431629,85
1621431659,85
1621431689,85
1621431719,85
1621431749,85
1621431779,85
1621431809,85
1621431839,85
1621431869,85
1621431899,85
1621431929,85
1621431959,85
1621431989,85
1621432019,85
1621432049,85
1621432079,85
1621432109,85
1621432139,85
1621432169,85
1621432199,85
1621432229,85
1621432259,85
1621432289,85
1621432319,85
1621432349,85
1621432379,85
1621432409,85
1621432439,85
1621432469,85
1621432499,85
1621432529,85
1621432559,85
1621432589,85
1621432619,85
1621432649,85
1621432679,85
