t,value
1621426412,1057144
1621426442,1057144
1621426472,1057144
1621426502,1057144
1621426532,1057144
1621426562,1057144
1621426592,1057144
1621426622,1057144
1621426652,1057144
1621426682,1057144
1621426712,1057144
1621426742,1057144
1621426772,1057144
1621426802,1057144
1621426832,1057144
1621426862,1057144
1621426892,1057144
1621427189,1067107
1621427219,1067107
1621427249,1067107
1621427279,1067107
1621427309,1067107
1621427339,1067107
1621427369,1067107
1621427399,1067107
1621427429,1067107
1621427459,1067107
1621427489,1067107
1621427519,1067107
1621427549,1067107
1621427579,1067107
1621427609,1067107
1621427639,1067107
1621427669,1067107
1621427699,1067107
1621427729,1067107
1621427759,1067107
1621427789,1067107
1621427819,1067107
1621427849,1067107
1621427879,1067107
1621427909,1067107
1621427939,1067107
1621427969,1067107
1621427999,1067107
1621428029,1067107
1621428059,1067107
1621428089,1067107
1621428119,1067107
1621428149,1067107
1621428179,1067107
1621428209,1067107
1621428239,1067107
1621428269,1067107
1621428299,1067107
1621428329,1067107
1621428359,1067299
1621428389,1067299
1621428419,1067299
1621428449,1067299
1621428479,1067299
1621428509,1067299
1621428539,1067299
1621428569,1067299
1621428599,1067299
1621428629,1067299
1621428659,1067299
1621428689,1067299
1621428719,1067299
1621428749,1067299
1621428779,1067299
1621428809,1067299
1621428839,1067299
1621428869,1067299
1621428899,1067299
1621428929,1067299
1621428959,1067299
1621428989,1067299
1621429019,1067299
1621429049,1067299
1621429079,1067299
1621429109,1067299
1621429139,1067299
1621429169,1067299
1621429199,1067299
1621429229,1067299
1621429259,1067299
1621429289,1067299
1621429319,1067299
1621429349,1067299
1621429379,1067299
1621429409,1067299
1621429439,1067299
1621429469,1067299
1621429499,1067299
1621429529,1067299
1621429559,1067299
1621429589,1067299
1621429619,1067299
1621429649,1067299
1621429679,1067299
1621429709,1067299
1621429739,1067299
1621429769,1067299
1621429799,1067299
1621429829,1067299
1621429859,1067299
1621429889,1067299
1621429919,1067299
1621429949,1067299
1621429979,1067299
1621430009,1067299
1621430039,1067299
1621430069,1067299
1621430099,1067299
1621430129,1067299
1621430159,1067299
1621430189,1067299
1621430219,1067299
1621430249,1067299
1621430279,1067299
1621430309,1067299
1621430339,1067299
1621430369,1067299
1621430399,1067299
1621430429,1067299
1621430459,1067299
1621430489,1067299
1621430519,1067299
1621430549,1067299
1621430579,1067299
1621430609,1067299
1621430639,1067299
1621430669,1067299
1621430699,1067299
1621430729,1067299
1621430759,1067299
1621430789,1067299
1621430819,1067299
1621430849,1067299
1621430879,1067299
1621430909,1067299
1621430939,1067299
1621430969,1067299
1621430999,1067299
1621431029,1067299
1621431059,1067299
1621431089,1067299
1621431119,1067299
1621431149,1067299
1621431179,1067299
1621431209,1067299
1621431239,1067299
1621431269,1067299
1621431299,1067299
1621431329,1067299
1621431359,1067299
1621431389,1067299
1621431419,1067299
1621431449,1067299
1621431479,1067299
1621431509,1067299
1621431539,1067299
1621431569,1067299
1621431599,1067299
1621431629,1067299
1621431659,1067299
1621431689,1067299
1621431719,1067299
1621431749,1067299
1621431779,1067299
1621431809,1067299
1621431839,1067299
1621431869,1067299
1621431899,1067299
1621431929,1067299
1621431959,1067299
1621431989,1067299
1621432019,1067299
1621432049,1067299
1621432079,1067299
1621432109,1067299
1621432139,1067299
1621432169,1067299
1621432199,1067299
1621432229,1067299
1621432259,1067299
1621432289,1067299
1621432319,1067299
1621432349,1067299
1621432379,1067299
1621432409,1067299
1621432439,1067299
1621432469,1067299
1621432499,1067299
1621432529,1067299
1621432559,1067299
1621432589,1067299
1621432619,1067299
1621432649,1067299
1621432679,1067299
