t,value
1621426412,685
1621426442,724
1621426472,724
1621426502,724
1621426532,724
1621426562,728
1621426592,728
1621426622,728
1621426652,728
1621426682,728
1621426712,728
1621426742,728
1621426772,728
1621426802,729
1621426832,728
1621426862,728
1621426892,720
1621427189,687
1621427219,725
1621427249,729
1621427279,729
1621427309,729
1621427339,729
1621427369,729
1621427399,729
1621427429,729
1621427459,729
1621427489,721
1621427519,721
1621427549,721
1621427579,721
1621427609,721
1621427639,721
1621427669,721
1621427699,721
1621427729,721
1621427759,721
1621427789,721
1621427819,721
1621427849,721
1621427879,725
1621427909,726
1621427939,726
1621427969,726
1621427999,726
1621428029,726
1621428059,726
1621428089,731
1621428119,731
1621428149,731
1621428179,727
1621428209,727
1621428239,727
1621428269,727
1621428299,727
1621428329,727
1621428359,727
1621428389,723
1621428419,730
1621428449,743
1621428479,736
1621428509,736
1621428539,738
1621428569,738
1621428599,736
1621428629,736
1621428659,736
1621428689,736
1621428719,736
1621428749,736
1621428779,736
1621428809,736
1621428839,736
1621428869,736
1621428899,736
1621428929,736
1621428959,736
1621428989,736
1621429019,736
1621429049,736
1621429079,737
1621429109,736
1621429139,737
1621429169,737
1621429199,737
1621429229,737
1621429259,737
1621429289,737
1621429319,737
1621429349,737
1621429379,737
1621429409,737
1621429439,737
1621429469,737
1621429499,737
1621429529,737
1621429559,737
1621429589,737
1621429619,737
1621429649,737
1621429679,737
1621429709,737
1621429739,737
1621429769,737
1621429799,737
1621429829,737
1621429859,737
1621429889,737
1621429919,737
1621429949,737
1621429979,737
1621430009,737
1621430039,736
1621430069,736
1621430099,736
1621430129,736
1621430159,736
1621430189,736
1621430219,742
1621430249,742
1621430279,736
1621430309,736
1621430339,736
1621430369,736
1621430399,736
1621430429,736
1621430459,736
1621430489,736
1621430519,736
1621430549,736
1621430579,738
1621430609,725
1621430639,737
1621430669,738
1621430699,736
1621430729,736
1621430759,737
1621430789,737
1621430819,736
1621430849,736
1621430879,736
1621430909,736
1621430939,736
1621430969,736
1621430999,736
1621431029,736
1621431059,736
1621431089,736
1621431119,736
1621431149,736
1621431179,737
1621431209,736
1621431239,736
1621431269,736
1621431299,736
1621431329,736
1621431359,736
1621431389,736
1621431419,736
1621431449,736
1621431479,736
1621431509,736
1621431539,736
1621431569,736
1621431599,736
1621431629,736
1621431659,736
1621431689,736
1621431719,736
1621431749,736
1621431779,736
1621431809,736
1621431839,736
1621431869,736
1621431899,736
1621431929,736
1621431959,736
1621431989,723
1621432019,723
1621432049,723
1621432079,738
1621432109,736
1621432139,736
1621432169,736
1621432199,738
1621432229,738
1621432259,738
1621432289,738
1621432319,738
1621432349,738
1621432379,738
1621432409,740
1621432439,740
1621432469,740
1621432499,727
1621432529,725
1621432559,725
1621432589,725
1621432619,725
1621432649,725
1621432679,725
