t,value
1621426412,106240320
1621426442,106240320
1621426472,106240320
1621426502,106240320
1621426532,106240320
1621426562,106240320
1621426592,106240320
1621426622,106240320
1621426652,106240320
1621426682,106240320
1621426712,106240320
1621426742,106240320
1621426772,106240320
1621426802,106240320
1621426832,106240320
1621426862,106240320
1621426892,106240320
1621427189,73005392
1621427219,73005392
1621427249,73005392
1621427279,73005392
1621427309,73005392
1621427339,73005392
1621427369,73005392
1621427399,73005392
1621427429,73005392
1621427459,73005392
1621427489,73005392
1621427519,73005392
1621427549,73005392
1621427579,73005392
1621427609,73005392
1621427639,73005392
1621427669,73005392
1621427699,73005392
1621427729,73005392
1621427759,73005392
1621427789,73005392
1621427819,73005392
1621427849,73005392
1621427879,73005392
1621427909,73005392
1621427939,73005392
1621427969,73005392
1621427999,73005392
1621428029,73005392
1621428059,73005392
1621428089,73005392
1621428119,73005392
1621428149,73005392
1621428179,73005392
1621428209,73005392
1621428239,73005392
1621428269,73005392
1621428299,73005392
1621428329,73005392
1621428359,73005392
1621428389,73005392
1621428419,73005392
1621428449,73005392
1621428479,73005392
1621428509,73005392
1621428539,73005392
1621428569,73005392
1621428599,73005392
1621428629,73005392
1621428659,73005392
1621428689,73005392
1621428719,73005392
1621428749,73005392
1621428779,73005392
1621428809,73005392
1621428839,73005392
1621428869,73005392
1621428899,73005392
1621428929,73005392
1621428959,73005392
1621428989,73005392
1621429019,73005392
1621429049,73005392
1621429079,73005392
1621429109,73005392
1621429139,73005392
1621429169,73005392
1621429199,73005392
1621429229,73005392
1621429259,73005392
1621429289,73005392
1621429319,73005392
1621429349,73005392
1621429379,73005392
1621429409,73005392
1621429439,73005392
1621429469,73005392
1621429499,73005392
1621429529,73005392
1621429559,73005392
1621429589,73005392
1621429619,73005392
1621429649,73005392
1621429679,73005392
1621429709,73005392
1621429739,73005392
1621429769,73005392
1621429799,73005392
1621429829,73005392
1621429859,73005392
1621429889,73005392
1621429919,73005392
1621429949,73005392
1621429979,73005392
1621430009,73005392
1621430039,73005392
1621430069,73005392
1621430099,73005392
1621430129,73005392
1621430159,73005392
1621430189,73005392
1621430219,73005392
1621430249,73005392
1621430279,73005392
1621430309,73005392
1621430339,73005392
1621430369,73005392
1621430399,73005392
1621430429,73005392
1621430459,73005392
1621430489,73005392
1621430519,73005392
1621430549,73005392
1621430579,73005392
1621430609,73005392
1621430639,73005392
1621430669,73005392
1621430699,73005392
1621430729,73005392
1621430759,73005392
1621430789,73005392
1621430819,73005392
1621430849,73005392
1621430879,73005392
1621430909,73005392
1621430939,73005392
1621430969,73005392
1621430999,73005392
1621431029,73005392
1621431059,73005392
1621431089,73005392
1621431119,73005392
1621431149,73005392
1621431179,73005392
1621431209,73005392
1621431239,73005392
1621431269,73005392
1621431299,73005392
1621431329,73005392
1621431359,73005392
1621431389,73005392
1621431419,73005392
1621431449,73005392
1621431479,73005392
1621431509,73005392
1621431539,73005392
1621431569,73005392
1621431599,73005392
1621431629,73005392
1621431659,73005392
1621431689,73005392
1621431719,73005392
1621431749,73005392
1621431779,73005392
1621431809,73005392
1621431839,73005392
1621431869,73005392
1621431899,73005392
1621431929,73005392
1621431959,73005392
1621431989,73005392
1621432019,73005392
1621432049,73005392
1621432079,73005392
1621432109,73005392
1621432139,73005392
1621432169,73005392
1621432199,73005392
1621432229,73005392
1621432259,73005392
1621432289,73005392
1621432319,73005392
1621432349,73005392
1621432379,73005392
1621432409,73005392
1621432439,73005392
1621432469,73005392
1621432499,73005392
1621432529,73005392
1621432559,73005392
1621432589,73005392
1621432619,73005392
1621432649,73005392
1621432679,73005392
