t,value
1621426412,8388608
1621426442,33554432
1621426472,0
1621426502,14680064
1621426532,35651584
1621426562,12582912
1621426592,31457280
1621426622,0
1621426652,6291456
1621426682,25165824
1621426712,46137344
1621426742,10485760
1621426772,31457280
1621426802,48234496
1621426832,20971520
1621426862,35651584
1621426892,12582912
1621427189,14680064
1621427219,23068672
1621427249,8388608
1621427279,33554432
1621427309,12582912
1621427339,33554432
1621427369,14680064
1621427399,10485760
1621427429,27262976
1621427459,6291456
1621427489,27262976
1621427519,44040192
1621427549,16777216
1621427579,33554432
1621427609,2097152
1621427639,18874368
1621427669,37748728
1621427699,4194304
1621427729,23068672
1621427759,41943040
1621427789,8388608
1621427819,27262976
1621427849,44040192
1621427879,12582912
1621427909,31457280
1621427939,0
1621427969,18874368
1621427999,35651584
1621428029,4194304
1621428059,20971520
1621428089,20971520
1621428119,39845888
1621428149,8388608
1621428179,27262976
1621428209,44040192
1621428239,62914560
1621428269,12582912
1621428299,31457280
1621428329,50331648
1621428359,2097152
1621428389,18874368
1621428419,44040192
1621428449,2097152
1621428479,33554432
1621428509,29360128
1621428539,25165824
1621428569,46137344
1621428599,18874368
1621428629,39845888
1621428659,54525952
1621428689,0
1621428719,20971520
1621428749,39845888
1621428779,58720256
1621428809,0
1621428839,18874368
1621428869,35651584
1621428899,58720256
1621428929,0
1621428959,23068672
1621428989,41943040
1621429019,62914560
1621429049,4194304
1621429079,25165824
1621429109,44040192
1621429139,62914560
1621429169,4194304
1621429199,52428800
1621429229,69206016
1621429259,14680064
1621429289,31457280
1621429319,50331648
1621429349,71303168
1621429379,20971520
1621429409,41943040
1621429439,60817408
1621429469,2097152
1621429499,37748736
1621429529,56623104
1621429559,75497472
1621429589,16777216
1621429619,35651584
1621429649,54525952
1621429679,2097152
1621429709,18874368
1621429739,37748736
1621429769,54525952
1621429799,73400320
1621429829,14680064
1621429859,35651584
1621429889,54525952
1621429919,75497472
1621429949,12582912
1621429979,31457280
1621430009,48234496
1621430039,67108864
1621430069,10485760
1621430099,29360128
1621430129,50331648
1621430159,67108864
1621430189,8388608
1621430219,29360128
1621430249,46137344
1621430279,65011712
1621430309,2097152
1621430339,23068672
1621430369,41943040
1621430399,62914560
1621430429,0
1621430459,18874368
1621430489,39845888
1621430519,60817408
1621430549,79691776
1621430579,18874368
1621430609,37748736
1621430639,58720256
1621430669,75497472
1621430699,14680064
1621430729,33554432
1621430759,56623104
1621430789,75497472
1621430819,20971520
1621430849,37748736
1621430879,60817408
1621430909,77594624
1621430939,6291456
1621430969,23068672
1621430999,41943040
1621431029,60817408
1621431059,81788928
1621431089,12582912
1621431119,41943040
1621431149,58720256
1621431179,88080384
1621431209,16777216
1621431239,39845888
1621431269,58720256
1621431299,77594624
1621431329,8388608
1621431359,31457280
1621431389,56623104
1621431419,79691776
1621431449,8388608
1621431479,29360128
1621431509,50331648
1621431539,71303168
1621431569,0
1621431599,29360128
1621431629,73400320
1621431659,10485760
1621431689,29360128
1621431719,46137344
1621431749,67108864
1621431779,85983232
1621431809,16777216
1621431839,37748736
1621431869,54525952
1621431899,77594624
1621431929,6291456
1621431959,27262976
1621431989,46137344
1621432019,65011712
1621432049,81788928
1621432079,27262976
1621432109,46137344
1621432139,65011712
1621432169,83886080
1621432199,18874368
1621432229,37748736
1621432259,60817408
1621432289,77594624
1621432319,6291456
1621432349,29360128
1621432379,48234496
1621432409,69206016
1621432439,4194304
1621432469,23068672
1621432499,46137344
1621432529,62914560
1621432559,81788928
1621432589,6291456
1621432619,25165824
1621432649,44040192
1621432679,60817408
