t,value
1621426412,74663936
1621426442,74663936
1621426472,74663936
1621426502,74663936
1621426532,81805312
1621426562,85808640
1621426592,85808640
1621426622,85808640
1621426652,85808640
1621426682,85808640
1621426712,85808640
1621426742,87779840
1621426772,87779840
1621426802,87779840
1621426832,87779840
1621426862,87779840
1621426892,87779840
1621427189,74368000
1621427219,80102912
1621427249,80102912
1621427279,80102912
1621427309,80102912
1621427339,80102912
1621427369,80102912
1621427399,80102912
1621427429,80102912
1621427459,80102912
1621427489,80102912
1621427519,80102912
1621427549,80734208
1621427579,80734208
1621427609,80734208
1621427639,80734208
1621427669,80734208
1621427699,80734208
1621427729,80734208
1621427759,80734208
1621427789,80734208
1621427819,80734208
1621427849,80734208
1621427879,80734208
1621427909,80734208
1621427939,80734208
1621427969,80734208
1621427999,80734208
1621428029,80734208
1621428059,80734208
1621428089,81462272
1621428119,81462272
1621428149,81649152
1621428179,81649152
1621428209,81649152
1621428239,81649152
1621428269,82592256
1621428299,82592256
1621428329,82592256
1621428359,82735104
1621428389,82735104
1621428419,82735104
1621428449,86640640
1621428479,86640640
1621428509,90440192
1621428539,92026880
1621428569,92026880
1621428599,92026880
1621428629,92026880
1621428659,92026880
1621428689,92026880
1621428719,92026880
1621428749,92026880
1621428779,92026880
1621428809,92026880
1621428839,92026880
1621428869,92026880
1621428899,92026880
1621428929,92026880
1621428959,92026880
1621428989,92026880
1621429019,92026880
1621429049,92026880
1621429079,92026880
1621429109,92026880
1621429139,92026880
1621429169,92026880
1621429199,92026880
1621429229,92026880
1621429259,92026880
1621429289,92026880
1621429319,92026880
1621429349,92026880
1621429379,92153344
1621429409,92153344
1621429439,92153344
1621429469,92857856
1621429499,92857856
1621429529,92857856
1621429559,92857856
1621429589,92967424
1621429619,92967424
1621429649,92967424
1621429679,93055488
1621429709,93055488
1621429739,93055488
1621429769,93055488
1621429799,93055488
1621429829,94260224
1621429859,94260224
1621429889,94260224
1621429919,94260224
1621429949,94324224
1621429979,94324224
1621430009,94324224
1621430039,94324224
1621430069,95273984
1621430099,95273984
1621430129,95273984
1621430159,95273984
1621430189,96038400
1621430219,96038400
1621430249,96038400
1621430279,96038400
1621430309,96387584
1621430339,96387584
1621430369,96387584
1621430399,96387584
1621430429,96504320
1621430459,96504320
1621430489,96504320
1621430519,96504320
1621430549,96504320
1621430579,96538624
1621430609,96538624
1621430639,96538624
1621430669,96538624
1621430699,96565760
1621430729,96565760
1621430759,96600064
1621430789,96600064
1621430819,96700416
1621430849,96700416
1621430879,96700416
1621430909,96700416
1621430939,97278464
1621430969,97278464
1621430999,97278464
1621431029,97278464
1621431059,97278464
1621431089,97356288
1621431119,97356288
1621431149,97356288
1621431179,97356288
1621431209,97384448
1621431239,97384448
1621431269,97384448
1621431299,97384448
1621431329,97567744
1621431359,97567744
1621431389,97567744
1621431419,97567744
1621431449,97602560
1621431479,97602560
1621431509,97602560
1621431539,97602560
1621431569,97621504
1621431599,97621504
1621431629,97621504
1621431659,97643520
1621431689,97643520
1621431719,97643520
1621431749,97643520
1621431779,97643520
1621431809,97666560
1621431839,97666560
1621431869,97666560
1621431899,97666560
1621431929,97689600
1621431959,97689600
1621431989,97689600
1621432019,97689600
1621432049,97689600
1621432079,97744896
1621432109,97744896
1621432139,97744896
1621432169,97744896
1621432199,97779208
1621432229,97779208
1621432259,97779208
1621432289,97779208
1621432319,97808896
1621432349,97808896
1621432379,97808896
1621432409,97808896
1621432439,97899520
1621432469,97899520
1621432499,97899520
1621432529,97899520
1621432559,97899520
1621432589,98413056
1621432619,98413056
1621432649,98413056
1621432679,98413056
