t,value
1621426412,119
1621426442,114
1621426472,114
1621426502,113
1621426532,118
1621426562,125
1621426592,124
1621426622,121
1621426652,121
1621426682,121
1621426712,121
1621426742,121
1621426772,121
1621426802,121
1621426832,122
1621426862,123
1621426892,126
1621427189,112
1621427219,108
1621427249,111
1621427279,112
1621427309,112
1621427339,111
1621427369,111
1621427399,111
1621427429,116
1621427459,116
1621427489,115
1621427519,115
1621427549,114
1621427579,114
1621427609,114
1621427639,114
1621427669,114
1621427699,114
1621427729,116
1621427759,116
1621427789,115
1621427819,114
1621427849,114
1621427879,117
1621427909,118
1621427939,116
1621427969,115
1621427999,115
1621428029,116
1621428059,116
1621428089,119
1621428119,119
1621428149,116
1621428179,117
1621428209,117
1621428239,116
1621428269,116
1621428299,116
1621428329,118
1621428359,118
1621428389,118
1621428419,118
1621428449,127
1621428479,133
1621428509,132
1621428539,133
1621428569,133
1621428599,131
1621428629,132
1621428659,131
1621428689,130
1621428719,129
1621428749,129
1621428779,128
1621428809,128
1621428839,127
1621428869,127
1621428899,127
1621428929,129
1621428959,129
1621428989,128
1621429019,127
1621429049,127
1621429079,127
1621429109,127
1621429139,127
1621429169,127
1621429199,127
1621429229,128
1621429259,128
1621429289,127
1621429319,127
1621429349,127
1621429379,127
1621429409,127
1621429439,127
1621429469,127
1621429499,127
1621429529,129
1621429559,129
1621429589,128
1621429619,127
1621429649,127
1621429679,127
1621429709,127
1621429739,127
1621429769,127
1621429799,128
1621429829,129
1621429859,129
1621429889,127
1621429919,127
1621429949,127
1621429979,127
1621430009,127
1621430039,127
1621430069,127
1621430099,127
1621430129,129
1621430159,129
1621430189,128
1621430219,127
1621430249,127
1621430279,128
1621430309,128
1621430339,127
1621430369,128
1621430399,128
1621430429,128
1621430459,128
1621430489,127
1621430519,128
1621430549,128
1621430579,127
1621430609,127
1621430639,128
1621430669,128
1621430699,128
1621430729,130
1621430759,130
1621430789,129
1621430819,128
1621430849,128
1621430879,128
1621430909,128
1621430939,128
1621430969,128
1621430999,128
1621431029,129
1621431059,129
1621431089,128
1621431119,128
1621431149,128
1621431179,128
1621431209,128
1621431239,128
1621431269,128
1621431299,128
1621431329,130
1621431359,130
1621431389,129
1621431419,128
1621431449,128
1621431479,128
1621431509,128
1621431539,128
1621431569,128
1621431599,128
1621431629,129
1621431659,129
1621431689,128
1621431719,128
1621431749,128
1621431779,128
1621431809,128
1621431839,128
1621431869,128
1621431899,128
1621431929,130
1621431959,130
1621431989,129
1621432019,128
1621432049,127
1621432079,127
1621432109,127
1621432139,127
1621432169,127
1621432199,128
1621432229,129
1621432259,129
1621432289,128
1621432319,127
1621432349,127
1621432379,127
1621432409,128
1621432439,128
1621432469,127
1621432499,127
1621432529,130
1621432559,130
1621432589,128
1621432619,127
1621432649,127
1621432679,127
