t,value
1621427917,9223372036854775807
1621427947,9223372036854775807
1621427977,9223372036854775807
1621428007,9223372036854775807
1621428037,9223372036854775807
1621428067,9223372036854775807
1621428097,9223372036854775807
1621428127,9223372036854775807
1621428157,9223372036854775807
1621428187,9223372036854775807
1621428217,9223372036854775807
1621428247,9223372036854775807
1621428277,9223372036854775807
1621428307,9223372036854775807
1621428337,9223372036854775807
1621428367,9223372036854775807
1621428397,9223372036854775807
1621428427,9223372036854775807
1621428457,9223372036854775807
1621428487,9223372036854775807
1621428517,9223372036854775807
1621428547,9223372036854775807
1621428577,9223372036854775807
1621428607,9223372036854775807
1621428637,9223372036854775807
1621428667,9223372036854775807
1621428697,9223372036854775807
1621428727,9223372036854775807
1621428757,9223372036854775807
1621428787,9223372036854775807
1621428817,9223372036854775807
1621428847,9223372036854775807
1621428877,9223372036854775807
1621428907,9223372036854775807
1621428937,9223372036854775807
1621428967,9223372036854775807
1621428997,9223372036854775807
1621429027,9223372036854775807
1621429057,9223372036854775807
1621429087,9223372036854775807
1621429117,9223372036854775807
1621429147,9223372036854775807
1621429177,9223372036854775807
1621429207,9223372036854775807
1621429237,9223372036854775807
1621429267,9223372036854775807
1621429297,9223372036854775807
1621429327,9223372036854775807
1621429357,9223372036854775807
1621429387,9223372036854775807
1621429417,9223372036854775807
1621429447,9223372036854775807
1621429477,9223372036854775807
1621429507,9223372036854775807
1621429537,9223372036854775807
1621429567,9223372036854775807
1621429597,9223372036854775807
1621429627,9223372036854775807
1621429657,9223372036854775807
1621429687,9223372036854775807
1621429717,9223372036854775807
1621429747,9223372036854775807
1621429777,9223372036854775807
1621429807,9223372036854775807
1621429837,9223372036854775807
1621429867,9223372036854775807
1621429897,9223372036854775807
1621429927,9223372036854775807
1621429957,9223372036854775807
1621429987,9223372036854775807
1621430017,9223372036854775807
1621430047,9223372036854775807
1621430077,9223372036854775807
1621430107,9223372036854775807
1621430137,9223372036854775807
1621430167,9223372036854775807
1621430197,9223372036854775807
1621430227,9223372036854775807
1621430257,9223372036854775807
1621430287,9223372036854775807
1621430317,9223372036854775807
1621430347,9223372036854775807
1621430377,9223372036854775807
1621430407,9223372036854775807
1621430437,9223372036854775807
1621430467,9223372036854775807
1621430497,9223372036854775807
1621430527,9223372036854775807
1621430557,9223372036854775807
1621430587,9223372036854775807
1621430617,9223372036854775807
1621430647,9223372036854775807
1621430677,9223372036854775807
1621430707,9223372036854775807
1621430737,9223372036854775807
1621430767,9223372036854775807
1621430797,9223372036854775807
1621430827,9223372036854775807
1621430857,9223372036854775807
1621430887,9223372036854775807
1621430917,9223372036854775807
1621430947,9223372036854775807
1621430977,9223372036854775807
1621431007,9223372036854775807
1621431037,9223372036854775807
1621431067,9223372036854775807
1621431097,9223372036854775807
1621431127,9223372036854775807
1621431157,9223372036854775807
1621431187,9223372036854775807
1621431217,9223372036854775807
1621431247,9223372036854775807
1621431277,9223372036854775807
1621431307,9223372036854775807
1621431337,9223372036854775807
1621431367,9223372036854775807
1621431397,9223372036854775807
1621431427,9223372036854775807
1621431457,9223372036854775807
1621431487,9223372036854775807
1621431517,9223372036854775807
1621431547,9223372036854775807
1621431577,9223372036854775807
1621431607,9223372036854775807
1621431637,9223372036854775807
1621431667,9223372036854775807
1621431697,9223372036854775807
1621431727,9223372036854775807
1621431757,9223372036854775807
1621431787,9223372036854775807
1621431817,9223372036854775807
1621431847,9223372036854775807
1621431877,9223372036854775807
1621431907,9223372036854775807
1621431937,9223372036854775807
1621431967,9223372036854775807
1621431997,9223372036854775807
1621432027,9223372036854775807
1621432057,9223372036854775807
1621432087,9223372036854775807
1621432117,9223372036854775807
1621432147,9223372036854775807
1621432177,9223372036854775807
1621432207,9223372036854775807
1621432237,9223372036854775807
1621432267,9223372036854775807
1621432297,9223372036854775807
1621432327,9223372036854775807
1621432357,9223372036854775807
1621432387,9223372036854775807
1621432417,9223372036854775807
1621432447,9223372036854775807
1621432477,9223372036854775807
1621432507,9223372036854775807
1621432537,9223372036854775807
1621432567,9223372036854775807
1621432597,9223372036854775807
1621432627,9223372036854775807
1621432657,9223372036854775807
1621432687,9223372036854775807
