t,value
1621427917,0
1621427947,0
1621427977,0
1621428007,0
1621428037,0
1621428067,0
1621428097,0
1621428127,0
1621428157,0
1621428187,0
1621428217,0
1621428247,0
1621428277,0
1621428307,0
1621428337,0
1621428367,0
1621428397,0
1621428427,50331648
1621428457,50331648
1621428487,67108864
1621428517,67108864
1621428547,83886080
1621428577,83886080
1621428607,83886080
1621428637,100663296
1621428667,100663296
1621428697,100663296
1621428727,117440512
1621428757,134217728
1621428787,134217728
1621428817,134217728
1621428847,150994944
1621428877,150994944
1621428907,150994944
1621428937,167772160
1621428967,167772160
1621428997,184549376
1621429027,184549376
1621429057,184549376
1621429087,201326592
1621429117,201326592
1621429147,201326592
1621429177,201326592
1621429207,218103808
1621429237,218103808
1621429267,234881024
1621429297,234881024
1621429327,234881024
1621429357,251658240
1621429387,268435456
1621429417,268435456
1621429447,268435456
1621429477,268435456
1621429507,268435456
1621429537,268435456
1621429567,268435456
1621429597,268435456
1621429627,268435456
1621429657,268435456
1621429687,268435456
1621429717,268435456
1621429747,268435456
1621429777,268435456
1621429807,268435456
1621429837,268435456
1621429867,268435456
1621429897,268435456
1621429927,268435456
1621429957,268435456
1621429987,268435456
1621430017,268435456
1621430047,268435456
1621430077,268435456
1621430107,268435456
1621430137,268435456
1621430167,268435456
1621430197,268435456
1621430227,268435456
1621430257,268435456
1621430287,268435456
1621430317,268435456
1621430347,268435456
1621430377,268435456
1621430407,268435456
1621430437,268435456
1621430467,268435456
1621430497,268435456
1621430527,268435456
1621430557,268435456
1621430587,268435456
1621430617,268435456
1621430647,268435456
1621430677,268435456
1621430707,268435456
1621430737,268435456
1621430767,268435456
1621430797,268435456
1621430827,268435456
1621430857,268435456
1621430887,268435456
1621430917,268435456
1621430947,268435456
1621430977,268435456
1621431007,268435456
1621431037,268435456
1621431067,268435456
1621431097,268435456
1621431127,268435456
1621431157,268435456
1621431187,268435456
1621431217,268435456
1621431247,268435456
1621431277,268435456
1621431307,268435456
1621431337,268435456
1621431367,268435456
1621431397,268435456
1621431427,268435456
1621431457,268435456
1621431487,268435456
1621431517,268435456
1621431547,268435456
1621431577,268435456
1621431607,268435456
1621431637,268435456
1621431667,268435456
1621431697,268435456
1621431727,268435456
1621431757,268435456
1621431787,268435456
1621431817,268435456
1621431847,268435456
1621431877,268435456
1621431907,268435456
1621431937,268435456
1621431967,268435456
1621431997,268435456
1621432027,268435456
1621432057,268435456
1621432087,268435456
1621432117,268435456
1621432147,268435456
1621432177,268435456
1621432207,268435456
1621432237,268435456
1621432267,268435456
1621432297,268435456
1621432327,268435456
1621432357,268435456
1621432387,268435456
1621432417,268435456
1621432447,268435456
1621432477,268435456
1621432507,268435456
1621432537,268435456
1621432567,268435456
1621432597,268435456
1621432627,268435456
1621432657,268435456
1621432687,268435456
