t,value
1621427917,0
1621427947,0
1621427977,0
1621428007,0
1621428037,0
1621428067,0
1621428097,0
1621428127,0
1621428157,0
1621428187,0
1621428217,0
1621428247,0
1621428277,0
1621428307,0
1621428337,0
1621428367,0
1621428397,0
1621428427,0
1621428457,0
1621428487,0
1621428517,0
1621428547,0
1621428577,0
1621428607,0
1621428637,0
1621428667,0
1621428697,0
1621428727,0
1621428757,0
1621428787,0
1621428817,0
1621428847,0
1621428877,0
1621428907,0
1621428937,0
1621428967,0
1621428997,0
1621429027,0
1621429057,0
1621429087,0
1621429117,0
1621429147,0
1621429177,0
1621429207,0
1621429237,0
1621429267,0
1621429297,0
1621429327,0
1621429357,0
1621429387,0
1621429417,0
1621429447,0
1621429477,0
1621429507,0
1621429537,0
1621429567,0
1621429597,1155
1621429627,1155
1621429657,1155
1621429687,1155
1621429717,1155
1621429747,1155
1621429777,1155
1621429807,1155
1621429837,1155
1621429867,1155
1621429897,1155
1621429927,1155
1621429957,1155
1621429987,1155
1621430017,1155
1621430047,1155
1621430077,1155
1621430107,1155
1621430137,1155
1621430167,1155
1621430197,1155
1621430227,1155
1621430257,1155
1621430287,1155
1621430317,1155
1621430347,1155
1621430377,1155
1621430407,1155
1621430437,1155
1621430467,1155
1621430497,1155
1621430527,1155
1621430557,1155
1621430587,1155
1621430617,1155
1621430647,1155
1621430677,1155
1621430707,1155
1621430737,1155
1621430767,1155
1621430797,1155
1621430827,1155
1621430857,1155
1621430887,1155
1621430917,1155
1621430947,1155
1621430977,1155
1621431007,1155
1621431037,1155
1621431067,1155
1621431097,1155
1621431127,1155
1621431157,1155
1621431187,1155
1621431217,1155
1621431247,1155
1621431277,1155
1621431307,1155
1621431337,1155
1621431367,1155
1621431397,1155
1621431427,1155
1621431457,1155
1621431487,1155
1621431517,1155
1621431547,1155
1621431577,1155
1621431607,1155
1621431637,1155
1621431667,1155
1621431697,1155
1621431727,1155
1621431757,1155
1621431787,1155
1621431817,1155
1621431847,1155
1621431877,1155
1621431907,1155
1621431937,1155
1621431967,1155
1621431997,1155
1621432027,1155
1621432057,1155
1621432087,1155
1621432117,1155
1621432147,1155
1621432177,1155
1621432207,1155
1621432237,1155
1621432267,1155
1621432297,1155
1621432327,1155
1621432357,1155
1621432387,1155
1621432417,1155
1621432447,1155
1621432477,1155
1621432507,1155
1621432537,1155
1621432567,1155
1621432597,1155
1621432627,1155
1621432657,1155
1621432687,1155
