t,value
1621427917,138
1621427947,138
1621427977,138
1621428007,138
1621428037,138
1621428067,138
1621428097,138
1621428127,138
1621428157,138
1621428187,138
1621428217,138
1621428247,138
1621428277,138
1621428307,138
1621428337,138
1621428367,138
1621428397,138
1621428427,138
1621428457,138
1621428487,138
1621428517,138
1621428547,171
1621428577,171
1621428607,171
1621428637,171
1621428667,171
1621428697,171
1621428727,171
1621428757,171
1621428787,171
1621428817,171
1621428847,171
1621428877,171
1621428907,171
1621428937,171
1621428967,171
1621428997,171
1621429027,171
1621429057,171
1621429087,171
1621429117,171
1621429147,171
1621429177,171
1621429207,171
1621429237,171
1621429267,171
1621429297,171
1621429327,171
1621429357,171
1621429387,171
1621429417,171
1621429447,171
1621429477,171
1621429507,171
1621429537,171
1621429567,171
1621429597,171
1621429627,171
1621429657,171
1621429687,171
1621429717,171
1621429747,171
1621429777,171
1621429807,171
1621429837,171
1621429867,171
1621429897,171
1621429927,171
1621429957,171
1621429987,171
1621430017,171
1621430047,171
1621430077,171
1621430107,171
1621430137,171
1621430167,171
1621430197,171
1621430227,171
1621430257,171
1621430287,171
1621430317,171
1621430347,171
1621430377,171
1621430407,171
1621430437,171
1621430467,171
1621430497,171
1621430527,171
1621430557,171
1621430587,171
1621430617,171
1621430647,171
1621430677,171
1621430707,171
1621430737,171
1621430767,171
1621430797,171
1621430827,171
1621430857,171
1621430887,171
1621430917,171
1621430947,171
1621430977,171
1621431007,171
1621431037,171
1621431067,171
1621431097,171
1621431127,171
1621431157,171
1621431187,171
1621431217,171
1621431247,171
1621431277,171
1621431307,171
1621431337,171
1621431367,171
1621431397,171
1621431427,171
1621431457,171
1621431487,171
1621431517,171
1621431547,171
1621431577,171
1621431607,171
1621431637,171
1621431667,171
1621431697,171
1621431727,171
1621431757,171
1621431787,171
1621431817,171
1621431847,171
1621431877,171
1621431907,171
1621431937,171
1621431967,171
1621431997,171
1621432027,171
1621432057,171
1621432087,171
1621432117,171
1621432147,171
1621432177,171
1621432207,171
1621432237,171
1621432267,171
1621432297,171
1621432327,171
1621432357,171
1621432387,171
1621432417,171
1621432447,171
1621432477,171
1621432507,171
1621432537,171
1621432567,171
1621432597,171
1621432627,171
1621432657,171
1621432687,171
