t,value
1621427917,138
1621427947,138
1621427977,138
1621428007,138
1621428037,138
1621428067,138
1621428097,138
1621428127,138
1621428157,138
1621428187,138
1621428217,138
1621428247,138
1621428277,138
1621428307,138
1621428337,138
1621428367,138
1621428397,138
1621428427,138
1621428457,138
1621428487,138
1621428517,138
1621428547,383
1621428577,383
1621428607,383
1621428637,383
1621428667,383
1621428697,383
1621428727,383
1621428757,383
1621428787,383
1621428817,383
1621428847,383
1621428877,383
1621428907,383
1621428937,383
1621428967,383
1621428997,383
1621429027,383
1621429057,383
1621429087,383
1621429117,383
1621429147,383
1621429177,383
1621429207,383
1621429237,383
1621429267,383
1621429297,383
1621429327,383
1621429357,383
1621429387,383
1621429417,383
1621429447,383
1621429477,383
1621429507,383
1621429537,383
1621429567,383
1621429597,383
1621429627,383
1621429657,383
1621429687,383
1621429717,383
1621429747,383
1621429777,383
1621429807,383
1621429837,383
1621429867,383
1621429897,383
1621429927,383
1621429957,383
1621429987,383
1621430017,383
1621430047,383
1621430077,383
1621430107,383
1621430137,383
1621430167,383
1621430197,383
1621430227,383
1621430257,383
1621430287,383
1621430317,383
1621430347,383
1621430377,383
1621430407,383
1621430437,383
1621430467,383
1621430497,383
1621430527,383
1621430557,383
1621430587,383
1621430617,383
1621430647,383
1621430677,383
1621430707,383
1621430737,383
1621430767,383
1621430797,383
1621430827,383
1621430857,383
1621430887,383
1621430917,383
1621430947,383
1621430977,383
1621431007,383
1621431037,383
1621431067,383
1621431097,383
1621431127,383
1621431157,383
1621431187,383
1621431217,383
1621431247,383
1621431277,383
1621431307,383
1621431337,383
1621431367,383
1621431397,383
1621431427,383
1621431457,383
1621431487,383
1621431517,383
1621431547,383
1621431577,383
1621431607,383
1621431637,383
1621431667,383
1621431697,383
1621431727,383
1621431757,383
1621431787,383
1621431817,383
1621431847,383
1621431877,383
1621431907,383
1621431937,383
1621431967,383
1621431997,383
1621432027,383
1621432057,383
1621432087,383
1621432117,383
1621432147,383
1621432177,383
1621432207,383
1621432237,383
1621432267,383
1621432297,383
1621432327,383
1621432357,383
1621432387,383
1621432417,383
1621432447,383
1621432477,383
1621432507,383
1621432537,383
1621432567,383
1621432597,383
1621432627,383
1621432657,383
1621432687,383
