t,value
1621427917,885429
1621427947,885429
1621427977,885429
1621428007,885429
1621428037,885429
1621428067,885429
1621428097,885429
1621428127,885429
1621428157,885429
1621428187,885429
1621428217,885429
1621428247,885429
1621428277,885429
1621428307,885429
1621428337,885429
1621428367,885429
1621428397,885429
1621428427,885429
1621428457,885429
1621428487,885429
1621428517,885429
1621428547,885429
1621428577,885429
1621428607,885429
1621428637,885429
1621428667,885429
1621428697,885429
1621428727,885429
1621428757,885429
1621428787,885429
1621428817,885429
1621428847,885429
1621428877,885429
1621428907,885429
1621428937,885429
1621428967,885429
1621428997,885429
1621429027,885429
1621429057,885429
1621429087,885429
1621429117,885429
1621429147,885429
1621429177,885429
1621429207,885429
1621429237,885429
1621429267,885429
1621429297,885429
1621429327,885429
1621429357,885429
1621429387,885429
1621429417,885429
1621429447,885429
1621429477,885429
1621429507,885429
1621429537,885429
1621429567,885429
1621429597,885429
1621429627,885429
1621429657,885429
1621429687,942773
1621429717,942773
1621429747,942773
1621429777,942773
1621429807,942773
1621429837,942773
1621429867,942773
1621429897,942773
1621429927,942773
1621429957,942773
1621429987,942773
1621430017,942773
1621430047,942773
1621430077,942773
1621430107,942773
1621430137,942773
1621430167,942773
1621430197,942773
1621430227,942773
1621430257,942773
1621430287,942773
1621430317,942773
1621430347,942773
1621430377,942773
1621430407,942773
1621430437,942773
1621430467,942773
1621430497,942773
1621430527,942773
1621430557,942773
1621430587,942773
1621430617,942773
1621430647,942773
1621430677,942773
1621430707,942773
1621430737,942773
1621430767,942773
1621430797,942773
1621430827,942773
1621430857,942773
1621430887,942773
1621430917,942773
1621430947,942773
1621430977,942773
1621431007,942773
1621431037,942773
1621431067,942773
1621431097,942773
1621431127,942773
1621431157,942773
1621431187,942773
1621431217,942773
1621431247,942773
1621431277,942773
1621431307,942773
1621431337,942773
1621431367,942773
1621431397,942773
1621431427,942773
1621431457,942773
1621431487,942773
1621431517,942773
1621431547,942773
1621431577,942773
1621431607,942773
1621431637,942773
1621431667,942773
1621431697,942773
1621431727,942773
1621431757,942773
1621431787,942773
1621431817,942773
1621431847,942773
1621431877,942773
1621431907,942773
1621431937,942773
1621431967,942773
1621431997,942773
1621432027,942773
1621432057,942773
1621432087,942773
1621432117,942773
1621432147,942773
1621432177,942773
1621432207,942773
1621432237,942773
1621432267,942773
1621432297,942773
1621432327,942773
1621432357,942773
1621432387,942773
1621432417,942773
1621432447,942773
1621432477,942773
1621432507,942773
1621432537,942773
1621432567,942773
1621432597,942773
1621432627,942773
1621432657,942773
1621432687,942773
