t,value
1621427917,916273
1621427947,916273
1621427977,916273
1621428007,916273
1621428037,916273
1621428067,916273
1621428097,916273
1621428127,916273
1621428157,916273
1621428187,916273
1621428217,916273
1621428247,916273
1621428277,916273
1621428307,916273
1621428337,916273
1621428367,916273
1621428397,916273
1621428427,916273
1621428457,916273
1621428487,946605
1621428517,946605
1621428547,946605
1621428577,946605
1621428607,946605
1621428637,946605
1621428667,946605
1621428697,946605
1621428727,946605
1621428757,946605
1621428787,946605
1621428817,946605
1621428847,946605
1621428877,946605
1621428907,946605
1621428937,946605
1621428967,946605
1621428997,946605
1621429027,946605
1621429057,946605
1621429087,1023485
1621429117,1023485
1621429147,1023485
1621429177,1023485
1621429207,1023485
1621429237,1023485
1621429267,1023485
1621429297,1023485
1621429327,1023485
1621429357,1023485
1621429387,1023485
1621429417,1023485
1621429447,1023485
1621429477,1023485
1621429507,1023485
1621429537,1023485
1621429567,1023485
1621429597,1023485
1621429627,1023485
1621429657,1023485
1621429687,1081021
1621429717,1081021
1621429747,1081021
1621429777,1081021
1621429807,1081021
1621429837,1081021
1621429867,1081021
1621429897,1081021
1621429927,1081021
1621429957,1081021
1621429987,1081021
1621430017,1081021
1621430047,1081021
1621430077,1081021
1621430107,1081021
1621430137,1081021
1621430167,1081021
1621430197,1081021
1621430227,1081021
1621430257,1081021
1621430287,1081021
1621430317,1081021
1621430347,1081021
1621430377,1081021
1621430407,1081021
1621430437,1081021
1621430467,1081021
1621430497,1081021
1621430527,1081021
1621430557,1081021
1621430587,1081021
1621430617,1081021
1621430647,1081021
1621430677,1081021
1621430707,1081021
1621430737,1081021
1621430767,1081021
1621430797,1081021
1621430827,1081021
1621430857,1081021
1621430887,1081021
1621430917,1081021
1621430947,1081021
1621430977,1081021
1621431007,1081021
1621431037,1081021
1621431067,1081021
1621431097,1081021
1621431127,1081021
1621431157,1081021
1621431187,1081021
1621431217,1081021
1621431247,1081021
1621431277,1081021
1621431307,1081021
1621431337,1081021
1621431367,1081021
1621431397,1081021
1621431427,1081021
1621431457,1081021
1621431487,1081021
1621431517,1081021
1621431547,1081021
1621431577,1081021
1621431607,1081021
1621431637,1081021
1621431667,1081021
1621431697,1081021
1621431727,1081021
1621431757,1081021
1621431787,1081021
1621431817,1081021
1621431847,1081021
1621431877,1081021
1621431907,1081021
1621431937,1081021
1621431967,1081021
1621431997,1081021
1621432027,1081021
1621432057,1081021
1621432087,1081021
1621432117,1081021
1621432147,1081021
1621432177,1081021
1621432207,1081021
1621432237,1081021
1621432267,1081021
1621432297,1081021
1621432327,1081021
1621432357,1081021
1621432387,1081021
1621432417,1081021
1621432447,1081021
1621432477,1081021
1621432507,1081021
1621432537,1081021
1621432567,1081021
1621432597,1081021
1621432627,1081021
1621432657,1081021
1621432687,1081021
