t,value
1621427917,0.0
1621427947,1.0
1621427977,1.0
1621428007,1.0
1621428037,1.0
1621428067,1.0
1621428097,1.0
1621428127,1.0
1621428157,1.0
1621428187,1.0
1621428217,1.0
1621428247,1.0
1621428277,1.0
1621428307,1.0
1621428337,1.0
1621428367,1.0
1621428397,1.0
1621428427,1.0
1621428457,0.9952978056426333
1621428487,0.9952941176470588
1621428517,1.0
1621428547,0.9974059662775616
1621428577,0.9979370809695719
1621428607,1.0
1621428637,1.0
1621428667,1.0
1621428697,1.0
1621428727,1.0
1621428757,1.0
1621428787,1.0
1621428817,1.0
1621428847,1.0
1621428877,1.0
1621428907,1.0
1621428937,1.0
1621428967,1.0
1621428997,1.0
1621429027,1.0
1621429057,1.0
1621429087,1.0
1621429117,1.0
1621429147,1.0
1621429177,1.0
1621429207,1.0
1621429237,1.0
1621429267,1.0
1621429297,1.0
1621429327,1.0
1621429357,1.0
1621429387,1.0
1621429417,1.0
1621429447,1.0
1621429477,1.0
1621429507,1.0
1621429537,1.0
1621429567,1.0
1621429597,0.9988801791713325
1621429627,1.0
1621429657,1.0
1621429687,1.0
1621429717,1.0
1621429747,1.0
1621429777,1.0
1621429807,1.0
1621429837,1.0
1621429867,1.0
1621429897,1.0
1621429927,1.0
1621429957,1.0
1621429987,1.0
1621430017,1.0
1621430047,1.0
1621430077,1.0
1621430107,1.0
1621430137,1.0
1621430167,1.0
1621430197,1.0
1621430227,1.0
1621430257,1.0
1621430287,1.0
1621430317,1.0
1621430347,1.0
1621430377,1.0
1621430407,1.0
1621430437,1.0
1621430467,1.0
1621430497,1.0
1621430527,1.0
1621430557,1.0
1621430587,1.0
1621430617,1.0
1621430647,1.0
1621430677,1.0
1621430707,1.0
1621430737,1.0
1621430767,1.0
1621430797,1.0
1621430827,1.0
1621430857,1.0
1621430887,1.0
1621430917,1.0
1621430947,1.0
1621430977,1.0
1621431007,1.0
1621431037,1.0
1621431067,1.0
1621431097,1.0
1621431127,1.0
1621431157,1.0
1621431187,1.0
1621431217,1.0
1621431247,1.0
1621431277,1.0
1621431307,1.0
1621431337,1.0
1621431367,1.0
1621431397,1.0
1621431427,1.0
1621431457,1.0
1621431487,1.0
1621431517,1.0
1621431547,1.0
1621431577,1.0
1621431607,1.0
1621431637,1.0
1621431667,1.0
1621431697,1.0
1621431727,1.0
1621431757,1.0
1621431787,1.0
1621431817,1.0
1621431847,1.0
1621431877,1.0
1621431907,1.0
1621431937,1.0
1621431967,1.0
1621431997,1.0
1621432027,1.0
1621432057,1.0
1621432087,1.0
1621432117,1.0
1621432147,1.0
1621432177,1.0
1621432207,1.0
1621432237,1.0
1621432267,1.0
1621432297,1.0
1621432327,1.0
1621432357,1.0
1621432387,1.0
1621432417,1.0
1621432447,1.0
1621432477,1.0
1621432507,1.0
1621432537,1.0
1621432567,1.0
1621432597,1.0
1621432627,1.0
1621432657,1.0
1621432687,1.0
