t,value
1621427917,5.106137449560936E-4
1621427947,5.106137449560936E-4
1621427977,5.106137449560936E-4
1621428007,5.106137449560936E-4
1621428037,5.106137449560936E-4
1621428067,5.106137449560936E-4
1621428097,5.106137449560936E-4
1621428127,5.106137449560936E-4
1621428157,5.106137449560936E-4
1621428187,5.106137449560936E-4
1621428217,5.106137449560936E-4
1621428247,5.106137449560936E-4
1621428277,5.106137449560936E-4
1621428307,5.106137449560936E-4
1621428337,5.106137449560936E-4
1621428367,5.106137449560936E-4
1621428397,5.106137449560936E-4
1621428427,5.106137449560936E-4
1621428457,5.18272951130435E-4
1621428487,5.18272951130435E-4
1621428517,5.18272951130435E-4
1621428547,5.233790885799959E-4
1621428577,5.233790885799959E-4
1621428607,5.233790885799959E-4
1621428637,5.233790885799959E-4
1621428667,5.233790885799959E-4
1621428697,5.233790885799959E-4
1621428727,5.233790885799959E-4
1621428757,5.233790885799959E-4
1621428787,5.233790885799959E-4
1621428817,5.233790885799959E-4
1621428847,5.233790885799959E-4
1621428877,5.233790885799959E-4
1621428907,5.233790885799959E-4
1621428937,5.233790885799959E-4
1621428967,5.233790885799959E-4
1621428997,5.233790885799959E-4
1621429027,5.233790885799959E-4
1621429057,5.233790885799959E-4
1621429087,5.233790885799959E-4
1621429117,5.233790885799959E-4
1621429147,5.233790885799959E-4
1621429177,5.233790885799959E-4
1621429207,5.233790885799959E-4
1621429237,5.233790885799959E-4
1621429267,5.233790885799959E-4
1621429297,5.233790885799959E-4
1621429327,5.233790885799959E-4
1621429357,5.233790885799959E-4
1621429387,5.233790885799959E-4
1621429417,5.233790885799959E-4
1621429447,5.233790885799959E-4
1621429477,5.233790885799959E-4
1621429507,5.233790885799959E-4
1621429537,5.233790885799959E-4
1621429567,5.233790885799959E-4
1621429597,5.246556229423862E-4
1621429627,5.246556229423862E-4
1621429657,5.246556229423862E-4
1621429687,5.246556229423862E-4
1621429717,5.246556229423862E-4
1621429747,5.246556229423862E-4
1621429777,5.246556229423862E-4
1621429807,5.246556229423862E-4
1621429837,5.246556229423862E-4
1621429867,5.246556229423862E-4
1621429897,5.246556229423862E-4
1621429927,5.246556229423862E-4
1621429957,5.246556229423862E-4
1621429987,5.246556229423862E-4
1621430017,5.246556229423862E-4
1621430047,5.246556229423862E-4
1621430077,5.246556229423862E-4
1621430107,5.246556229423862E-4
1621430137,5.246556229423862E-4
1621430167,5.246556229423862E-4
1621430197,5.246556229423862E-4
1621430227,5.246556229423862E-4
1621430257,5.246556229423862E-4
1621430287,5.246556229423862E-4
1621430317,5.246556229423862E-4
1621430347,5.246556229423862E-4
1621430377,5.246556229423862E-4
1621430407,5.246556229423862E-4
1621430437,5.246556229423862E-4
1621430467,5.246556229423862E-4
1621430497,5.246556229423862E-4
1621430527,5.246556229423862E-4
1621430557,5.246556229423862E-4
1621430587,5.246556229423862E-4
1621430617,5.246556229423862E-4
1621430647,5.246556229423862E-4
1621430677,5.246556229423862E-4
1621430707,5.246556229423862E-4
1621430737,5.246556229423862E-4
1621430767,5.246556229423862E-4
1621430797,5.246556229423862E-4
1621430827,5.246556229423862E-4
1621430857,5.246556229423862E-4
1621430887,5.246556229423862E-4
1621430917,5.246556229423862E-4
1621430947,5.246556229423862E-4
1621430977,5.246556229423862E-4
1621431007,5.246556229423862E-4
1621431037,5.246556229423862E-4
1621431067,5.246556229423862E-4
1621431097,5.246556229423862E-4
1621431127,5.246556229423862E-4
1621431157,5.246556229423862E-4
1621431187,5.246556229423862E-4
1621431217,5.246556229423862E-4
1621431247,5.246556229423862E-4
1621431277,5.246556229423862E-4
1621431307,5.246556229423862E-4
1621431337,5.246556229423862E-4
1621431367,5.246556229423862E-4
1621431397,5.246556229423862E-4
1621431427,5.246556229423862E-4
1621431457,5.246556229423862E-4
1621431487,5.246556229423862E-4
1621431517,5.246556229423862E-4
1621431547,5.246556229423862E-4
1621431577,5.246556229423862E-4
1621431607,5.246556229423862E-4
1621431637,5.246556229423862E-4
1621431667,5.246556229423862E-4
1621431697,5.246556229423862E-4
1621431727,5.246556229423862E-4
1621431757,5.246556229423862E-4
1621431787,5.246556229423862E-4
1621431817,5.246556229423862E-4
1621431847,5.246556229423862E-4
1621431877,5.246556229423862E-4
1621431907,5.246556229423862E-4
1621431937,5.246556229423862E-4
1621431967,5.246556229423862E-4
1621431997,5.246556229423862E-4
1621432027,5.246556229423862E-4
1621432057,5.246556229423862E-4
1621432087,5.246556229423862E-4
1621432117,5.246556229423862E-4
1621432147,5.246556229423862E-4
1621432177,5.246556229423862E-4
1621432207,5.246556229423862E-4
1621432237,5.246556229423862E-4
1621432267,5.246556229423862E-4
1621432297,5.246556229423862E-4
1621432327,5.246556229423862E-4
1621432357,5.246556229423862E-4
1621432387,5.246556229423862E-4
1621432417,5.246556229423862E-4
1621432447,5.246556229423862E-4
1621432477,5.246556229423862E-4
1621432507,5.246556229423862E-4
1621432537,5.246556229423862E-4
1621432567,5.246556229423862E-4
1621432597,5.246556229423862E-4
1621432627,5.246556229423862E-4
1621432657,5.246556229423862E-4
1621432687,5.246556229423862E-4
