t,value
1621427917,46
1621427947,46
1621427977,46
1621428007,46
1621428037,46
1621428067,46
1621428097,46
1621428127,46
1621428157,46
1621428187,46
1621428217,46
1621428247,46
1621428277,46
1621428307,46
1621428337,46
1621428367,46
1621428397,46
1621428427,46
1621428457,46
1621428487,46
1621428517,46
1621428547,46
1621428577,46
1621428607,46
1621428637,46
1621428667,46
1621428697,46
1621428727,46
1621428757,46
1621428787,46
1621428817,46
1621428847,46
1621428877,46
1621428907,46
1621428937,46
1621428967,46
1621428997,46
1621429027,46
1621429057,46
1621429087,46
1621429117,46
1621429147,46
1621429177,46
1621429207,46
1621429237,46
1621429267,46
1621429297,46
1621429327,46
1621429357,46
1621429387,46
1621429417,46
1621429447,46
1621429477,46
1621429507,46
1621429537,46
1621429567,46
1621429597,46
1621429627,46
1621429657,46
1621429687,46
1621429717,46
1621429747,46
1621429777,46
1621429807,46
1621429837,46
1621429867,46
1621429897,46
1621429927,46
1621429957,46
1621429987,46
1621430017,46
1621430047,46
1621430077,46
1621430107,46
1621430137,46
1621430167,46
1621430197,46
1621430227,46
1621430257,46
1621430287,46
1621430317,46
1621430347,46
1621430377,46
1621430407,46
1621430437,46
1621430467,46
1621430497,46
1621430527,46
1621430557,46
1621430587,46
1621430617,46
1621430647,46
1621430677,46
1621430707,46
1621430737,46
1621430767,46
1621430797,46
1621430827,46
1621430857,46
1621430887,46
1621430917,46
1621430947,46
1621430977,46
1621431007,46
1621431037,46
1621431067,46
1621431097,46
1621431127,46
1621431157,46
1621431187,46
1621431217,46
1621431247,46
1621431277,46
1621431307,46
1621431337,46
1621431367,46
1621431397,46
1621431427,46
1621431457,46
1621431487,46
1621431517,46
1621431547,46
1621431577,46
1621431607,46
1621431637,46
1621431667,46
1621431697,46
1621431727,46
1621431757,46
1621431787,46
1621431817,46
1621431847,46
1621431877,46
1621431907,46
1621431937,46
1621431967,46
1621431997,46
1621432027,46
1621432057,46
1621432087,46
1621432117,46
1621432147,46
1621432177,46
1621432207,46
1621432237,46
1621432267,46
1621432297,46
1621432327,46
1621432357,46
1621432387,46
1621432417,46
1621432447,46
1621432477,46
1621432507,46
1621432537,46
1621432567,46
1621432597,46
1621432627,46
1621432657,46
1621432687,46
