t,value
1621427917,86
1621427947,86
1621427977,86
1621428007,86
1621428037,86
1621428067,86
1621428097,86
1621428127,86
1621428157,86
1621428187,86
1621428217,86
1621428247,86
1621428277,86
1621428307,86
1621428337,86
1621428367,86
1621428397,86
1621428427,86
1621428457,86
1621428487,86
1621428517,86
1621428547,86
1621428577,86
1621428607,86
1621428637,86
1621428667,86
1621428697,86
1621428727,86
1621428757,86
1621428787,86
1621428817,86
1621428847,86
1621428877,86
1621428907,86
1621428937,86
1621428967,86
1621428997,86
1621429027,86
1621429057,86
1621429087,86
1621429117,86
1621429147,86
1621429177,86
1621429207,86
1621429237,86
1621429267,86
1621429297,86
1621429327,86
1621429357,86
1621429387,86
1621429417,86
1621429447,86
1621429477,86
1621429507,86
1621429537,86
1621429567,86
1621429597,86
1621429627,86
1621429657,86
1621429687,86
1621429717,86
1621429747,86
1621429777,86
1621429807,86
1621429837,86
1621429867,86
1621429897,86
1621429927,86
1621429957,86
1621429987,86
1621430017,86
1621430047,86
1621430077,86
1621430107,86
1621430137,86
1621430167,86
1621430197,86
1621430227,86
1621430257,86
1621430287,86
1621430317,86
1621430347,86
1621430377,86
1621430407,86
1621430437,86
1621430467,86
1621430497,86
1621430527,86
1621430557,86
1621430587,86
1621430617,86
1621430647,86
1621430677,86
1621430707,86
1621430737,86
1621430767,86
1621430797,86
1621430827,86
1621430857,86
1621430887,86
1621430917,86
1621430947,86
1621430977,86
1621431007,86
1621431037,86
1621431067,86
1621431097,86
1621431127,86
1621431157,86
1621431187,86
1621431217,86
1621431247,86
1621431277,86
1621431307,86
1621431337,86
1621431367,86
1621431397,86
1621431427,86
1621431457,86
1621431487,86
1621431517,86
1621431547,86
1621431577,86
1621431607,86
1621431637,86
1621431667,86
1621431697,86
1621431727,86
1621431757,86
1621431787,86
1621431817,86
1621431847,86
1621431877,86
1621431907,86
1621431937,86
1621431967,86
1621431997,86
1621432027,86
1621432057,86
1621432087,86
1621432117,86
1621432147,86
1621432177,86
1621432207,86
1621432237,86
1621432267,86
1621432297,86
1621432327,86
1621432357,86
1621432387,86
1621432417,86
1621432447,86
1621432477,86
1621432507,86
1621432537,86
1621432567,86
1621432597,86
1621432627,86
1621432657,86
1621432687,86
