t,value
1621427917,85
1621427947,85
1621427977,85
1621428007,85
1621428037,85
1621428067,85
1621428097,85
1621428127,85
1621428157,85
1621428187,85
1621428217,85
1621428247,85
1621428277,85
1621428307,85
1621428337,85
1621428367,85
1621428397,85
1621428427,85
1621428457,85
1621428487,85
1621428517,85
1621428547,85
1621428577,85
1621428607,85
1621428637,85
1621428667,85
1621428697,85
1621428727,85
1621428757,85
1621428787,85
1621428817,85
1621428847,85
1621428877,85
1621428907,85
1621428937,85
1621428967,85
1621428997,85
1621429027,85
1621429057,85
1621429087,85
1621429117,85
1621429147,85
1621429177,85
1621429207,85
1621429237,85
1621429267,85
1621429297,85
1621429327,85
1621429357,85
1621429387,85
1621429417,85
1621429447,85
1621429477,85
1621429507,85
1621429537,85
1621429567,85
1621429597,85
1621429627,85
1621429657,85
1621429687,85
1621429717,85
1621429747,85
1621429777,85
1621429807,85
1621429837,85
1621429867,85
1621429897,85
1621429927,85
1621429957,85
1621429987,85
1621430017,85
1621430047,85
1621430077,85
1621430107,85
1621430137,85
1621430167,85
1621430197,85
1621430227,85
1621430257,85
1621430287,85
1621430317,85
1621430347,85
1621430377,85
1621430407,85
1621430437,85
1621430467,85
1621430497,85
1621430527,85
1621430557,85
1621430587,85
1621430617,85
1621430647,85
1621430677,85
1621430707,85
1621430737,85
1621430767,85
1621430797,85
1621430827,85
1621430857,85
1621430887,85
1621430917,85
1621430947,85
1621430977,85
1621431007,85
1621431037,85
1621431067,85
1621431097,85
1621431127,85
1621431157,85
1621431187,85
1621431217,85
1621431247,85
1621431277,85
1621431307,85
1621431337,85
1621431367,85
1621431397,85
1621431427,85
1621431457,85
1621431487,85
1621431517,85
1621431547,85
1621431577,85
1621431607,85
1621431637,85
1621431667,85
1621431697,85
1621431727,85
1621431757,85
1621431787,85
1621431817,85
1621431847,85
1621431877,85
1621431907,85
1621431937,85
1621431967,85
1621431997,85
1621432027,85
1621432057,85
1621432087,85
1621432117,85
1621432147,85
1621432177,85
1621432207,85
1621432237,85
1621432267,85
1621432297,85
1621432327,85
1621432357,85
1621432387,85
1621432417,85
1621432447,85
1621432477,85
1621432507,85
1621432537,85
1621432567,85
1621432597,85
1621432627,85
1621432657,85
1621432687,85
