t,value
1621427917,1065716
1621427947,1065716
1621427977,1065716
1621428007,1065716
1621428037,1065716
1621428067,1065716
1621428097,1065716
1621428127,1065716
1621428157,1065716
1621428187,1065716
1621428217,1065716
1621428247,1065716
1621428277,1065716
1621428307,1065716
1621428337,1065716
1621428367,1065716
1621428397,1065716
1621428427,1065716
1621428457,1065716
1621428487,1065716
1621428517,1065716
1621428547,1065716
1621428577,1065716
1621428607,1065716
1621428637,1065716
1621428667,1065716
1621428697,1065716
1621428727,1065716
1621428757,1065716
1621428787,1065716
1621428817,1065716
1621428847,1065716
1621428877,1065716
1621428907,1065716
1621428937,1065716
1621428967,1065716
1621428997,1065716
1621429027,1065716
1621429057,1065716
1621429087,1065716
1621429117,1065716
1621429147,1065716
1621429177,1065716
1621429207,1065716
1621429237,1065716
1621429267,1065716
1621429297,1065716
1621429327,1065716
1621429357,1065716
1621429387,1065716
1621429417,1065716
1621429447,1065716
1621429477,1065716
1621429507,1065716
1621429537,1065716
1621429567,1065716
1621429597,1065716
1621429627,1065716
1621429657,1065716
1621429687,1065716
1621429717,1065716
1621429747,1065716
1621429777,1065716
1621429807,1065716
1621429837,1065716
1621429867,1065716
1621429897,1065716
1621429927,1065716
1621429957,1065716
1621429987,1065716
1621430017,1065716
1621430047,1065716
1621430077,1065716
1621430107,1065716
1621430137,1065716
1621430167,1065716
1621430197,1065716
1621430227,1065716
1621430257,1065716
1621430287,1065716
1621430317,1065716
1621430347,1065716
1621430377,1065716
1621430407,1065716
1621430437,1065716
1621430467,1065716
1621430497,1065716
1621430527,1065716
1621430557,1065716
1621430587,1065716
1621430617,1065716
1621430647,1065716
1621430677,1065716
1621430707,1065716
1621430737,1065716
1621430767,1065716
1621430797,1065716
1621430827,1065716
1621430857,1065716
1621430887,1065716
1621430917,1065716
1621430947,1065716
1621430977,1065716
1621431007,1065716
1621431037,1065716
1621431067,1065716
1621431097,1065716
1621431127,1065716
1621431157,1065716
1621431187,1065716
1621431217,1065716
1621431247,1065716
1621431277,1065716
1621431307,1065716
1621431337,1065716
1621431367,1065716
1621431397,1065716
1621431427,1065716
1621431457,1065716
1621431487,1065716
1621431517,1065716
1621431547,1065716
1621431577,1065716
1621431607,1065716
1621431637,1065716
1621431667,1065716
1621431697,1065716
1621431727,1065716
1621431757,1065716
1621431787,1065716
1621431817,1065716
1621431847,1065716
1621431877,1065716
1621431907,1065716
1621431937,1065716
1621431967,1065716
1621431997,1065716
1621432027,1065716
1621432057,1065716
1621432087,1065716
1621432117,1065716
1621432147,1065716
1621432177,1065716
1621432207,1065716
1621432237,1065716
1621432267,1065716
1621432297,1065716
1621432327,1065716
1621432357,1065716
1621432387,1065716
1621432417,1065716
1621432447,1065716
1621432477,1065716
1621432507,1065716
1621432537,1065716
1621432567,1065716
1621432597,1065716
1621432627,1065716
1621432657,1065716
1621432687,1065716
