t,value
1621427917,94
1621427947,80
1621427977,79
1621428007,79
1621428037,79
1621428067,80
1621428097,81
1621428127,80
1621428157,79
1621428187,81
1621428217,81
1621428247,79
1621428277,79
1621428307,79
1621428337,79
1621428367,79
1621428397,79
1621428427,81
1621428457,81
1621428487,83
1621428517,83
1621428547,83
1621428577,83
1621428607,83
1621428637,84
1621428667,84
1621428697,84
1621428727,85
1621428757,86
1621428787,87
1621428817,87
1621428847,87
1621428877,87
1621428907,87
1621428937,88
1621428967,88
1621428997,89
1621429027,89
1621429057,89
1621429087,91
1621429117,91
1621429147,90
1621429177,90
1621429207,91
1621429237,91
1621429267,92
1621429297,92
1621429327,92
1621429357,93
1621429387,95
1621429417,95
1621429447,94
1621429477,94
1621429507,94
1621429537,94
1621429567,94
1621429597,94
1621429627,94
1621429657,94
1621429687,95
1621429717,95
1621429747,94
1621429777,94
1621429807,95
1621429837,95
1621429867,95
1621429897,94
1621429927,94
1621429957,94
1621429987,95
1621430017,95
1621430047,94
1621430077,94
1621430107,94
1621430137,94
1621430167,94
1621430197,94
1621430227,94
1621430257,94
1621430287,95
1621430317,95
1621430347,94
1621430377,94
1621430407,94
1621430437,94
1621430467,94
1621430497,94
1621430527,94
1621430557,94
1621430587,95
1621430617,95
1621430647,94
1621430677,94
1621430707,94
1621430737,94
1621430767,94
1621430797,94
1621430827,94
1621430857,94
1621430887,95
1621430917,95
1621430947,94
1621430977,94
1621431007,94
1621431037,94
1621431067,94
1621431097,94
1621431127,94
1621431157,94
1621431187,95
1621431217,95
1621431247,94
1621431277,94
1621431307,94
1621431337,94
1621431367,94
1621431397,94
1621431427,94
1621431457,94
1621431487,95
1621431517,95
1621431547,94
1621431577,94
1621431607,94
1621431637,94
1621431667,94
1621431697,94
1621431727,94
1621431757,94
1621431787,95
1621431817,95
1621431847,94
1621431877,94
1621431907,94
1621431937,94
1621431967,94
1621431997,94
1621432027,94
1621432057,94
1621432087,95
1621432117,95
1621432147,94
1621432177,94
1621432207,96
1621432237,96
1621432267,94
1621432297,94
1621432327,94
1621432357,94
1621432387,95
1621432417,95
1621432447,94
1621432477,94
1621432507,94
1621432537,95
1621432567,95
1621432597,94
1621432627,94
1621432657,94
1621432687,95
