t,value
1621427917,100
1621427947,86
1621427977,85
1621428007,85
1621428037,85
1621428067,86
1621428097,87
1621428127,86
1621428157,85
1621428187,87
1621428217,87
1621428247,85
1621428277,85
1621428307,85
1621428337,85
1621428367,85
1621428397,85
1621428427,87
1621428457,87
1621428487,89
1621428517,89
1621428547,89
1621428577,89
1621428607,89
1621428637,90
1621428667,90
1621428697,90
1621428727,91
1621428757,92
1621428787,93
1621428817,93
1621428847,93
1621428877,93
1621428907,93
1621428937,94
1621428967,94
1621428997,95
1621429027,95
1621429057,95
1621429087,97
1621429117,97
1621429147,96
1621429177,96
1621429207,97
1621429237,97
1621429267,98
1621429297,98
1621429327,98
1621429357,99
1621429387,101
1621429417,101
1621429447,100
1621429477,100
1621429507,100
1621429537,100
1621429567,100
1621429597,100
1621429627,100
1621429657,100
1621429687,101
1621429717,101
1621429747,100
1621429777,100
1621429807,101
1621429837,101
1621429867,101
1621429897,100
1621429927,100
1621429957,100
1621429987,101
1621430017,101
1621430047,100
1621430077,100
1621430107,100
1621430137,100
1621430167,100
1621430197,100
1621430227,100
1621430257,100
1621430287,101
1621430317,101
1621430347,100
1621430377,100
1621430407,100
1621430437,100
1621430467,100
1621430497,100
1621430527,100
1621430557,100
1621430587,101
1621430617,101
1621430647,100
1621430677,100
1621430707,100
1621430737,100
1621430767,100
1621430797,100
1621430827,100
1621430857,100
1621430887,101
1621430917,101
1621430947,100
1621430977,100
1621431007,100
1621431037,100
1621431067,100
1621431097,100
1621431127,100
1621431157,100
1621431187,101
1621431217,101
1621431247,100
1621431277,100
1621431307,100
1621431337,100
1621431367,100
1621431397,100
1621431427,100
1621431457,100
1621431487,101
1621431517,101
1621431547,100
1621431577,100
1621431607,100
1621431637,100
1621431667,100
1621431697,100
1621431727,100
1621431757,100
1621431787,101
1621431817,101
1621431847,100
1621431877,100
1621431907,100
1621431937,100
1621431967,100
1621431997,100
1621432027,100
1621432057,100
1621432087,101
1621432117,101
1621432147,100
1621432177,100
1621432207,102
1621432237,102
1621432267,100
1621432297,100
1621432327,100
1621432357,100
1621432387,101
1621432417,101
1621432447,100
1621432477,100
1621432507,100
1621432537,101
1621432567,101
1621432597,100
1621432627,100
1621432657,100
1621432687,101
