t,value
1621428117,9223372036854775807
1621428147,9223372036854775807
1621428177,9223372036854775807
1621428207,9223372036854775807
1621428237,9223372036854775807
1621428267,9223372036854775807
1621428297,9223372036854775807
1621428327,9223372036854775807
1621428357,9223372036854775807
1621428387,9223372036854775807
1621428417,9223372036854775807
1621428447,9223372036854775807
1621428477,9223372036854775807
1621428507,9223372036854775807
1621428537,9223372036854775807
1621428567,9223372036854775807
1621428597,9223372036854775807
1621428627,9223372036854775807
1621428657,9223372036854775807
1621428687,9223372036854775807
1621428717,9223372036854775807
1621428747,9223372036854775807
1621428777,9223372036854775807
1621428807,9223372036854775807
1621428837,9223372036854775807
1621428867,9223372036854775807
1621428897,9223372036854775807
1621428927,9223372036854775807
1621428957,9223372036854775807
1621428987,9223372036854775807
1621429017,9223372036854775807
1621429047,9223372036854775807
1621429077,9223372036854775807
1621429107,9223372036854775807
1621429137,9223372036854775807
1621429167,9223372036854775807
1621429197,9223372036854775807
1621429227,9223372036854775807
1621429257,9223372036854775807
1621429287,9223372036854775807
1621429317,9223372036854775807
1621429347,9223372036854775807
1621429377,9223372036854775807
1621429407,9223372036854775807
1621429437,9223372036854775807
1621429467,9223372036854775807
1621429497,9223372036854775807
1621429527,9223372036854775807
1621429557,9223372036854775807
1621429587,9223372036854775807
1621429617,9223372036854775807
1621429647,9223372036854775807
1621429677,9223372036854775807
1621429707,9223372036854775807
1621429737,9223372036854775807
1621429767,9223372036854775807
1621429797,9223372036854775807
1621429827,9223372036854775807
1621429857,9223372036854775807
1621429887,9223372036854775807
1621429917,9223372036854775807
1621429947,9223372036854775807
1621429977,9223372036854775807
1621430007,9223372036854775807
1621430037,9223372036854775807
1621430067,9223372036854775807
1621430097,9223372036854775807
1621430127,9223372036854775807
1621430157,9223372036854775807
1621430187,9223372036854775807
1621430217,9223372036854775807
1621430247,9223372036854775807
1621430277,9223372036854775807
1621430307,9223372036854775807
1621430337,9223372036854775807
1621430367,9223372036854775807
1621430397,9223372036854775807
1621430427,9223372036854775807
1621430457,9223372036854775807
1621430487,9223372036854775807
1621430517,9223372036854775807
1621430547,9223372036854775807
1621430577,9223372036854775807
1621430607,9223372036854775807
1621430637,9223372036854775807
1621430667,9223372036854775807
1621430697,9223372036854775807
1621430727,9223372036854775807
1621430757,9223372036854775807
1621430787,9223372036854775807
1621430817,9223372036854775807
1621430847,9223372036854775807
1621430877,9223372036854775807
1621430907,9223372036854775807
1621430937,9223372036854775807
1621430967,9223372036854775807
1621430997,9223372036854775807
1621431027,9223372036854775807
1621431057,9223372036854775807
1621431087,9223372036854775807
1621431117,9223372036854775807
1621431147,9223372036854775807
1621431177,9223372036854775807
1621431207,9223372036854775807
1621431237,9223372036854775807
1621431267,9223372036854775807
1621431297,9223372036854775807
1621431327,9223372036854775807
1621431357,9223372036854775807
1621431387,9223372036854775807
1621431417,9223372036854775807
1621431447,9223372036854775807
1621431477,9223372036854775807
1621431507,9223372036854775807
1621431537,9223372036854775807
1621431567,9223372036854775807
1621431597,9223372036854775807
1621431627,9223372036854775807
1621431657,9223372036854775807
1621431687,9223372036854775807
1621431717,9223372036854775807
1621431747,9223372036854775807
1621431777,9223372036854775807
1621431807,9223372036854775807
1621431837,9223372036854775807
1621431867,9223372036854775807
1621431897,9223372036854775807
1621431927,9223372036854775807
1621431957,9223372036854775807
1621431987,9223372036854775807
1621432017,9223372036854775807
1621432047,9223372036854775807
1621432077,9223372036854775807
1621432107,9223372036854775807
1621432137,9223372036854775807
1621432167,9223372036854775807
1621432197,9223372036854775807
1621432227,9223372036854775807
1621432257,9223372036854775807
1621432287,9223372036854775807
1621432317,9223372036854775807
1621432347,9223372036854775807
1621432377,9223372036854775807
1621432407,9223372036854775807
1621432437,9223372036854775807
1621432467,9223372036854775807
1621432497,9223372036854775807
1621432527,9223372036854775807
1621432557,9223372036854775807
1621432587,9223372036854775807
1621432617,9223372036854775807
1621432647,9223372036854775807
1621432677,9223372036854775807
