t,value
1621428117,156
1621428147,156
1621428177,156
1621428207,156
1621428237,156
1621428267,156
1621428297,156
1621428327,156
1621428357,156
1621428387,156
1621428417,156
1621428447,156
1621428477,156
1621428507,156
1621428537,156
1621428567,253
1621428597,253
1621428627,253
1621428657,253
1621428687,253
1621428717,253
1621428747,253
1621428777,253
1621428807,253
1621428837,253
1621428867,253
1621428897,253
1621428927,253
1621428957,253
1621428987,253
1621429017,253
1621429047,253
1621429077,253
1621429107,253
1621429137,253
1621429167,253
1621429197,253
1621429227,253
1621429257,253
1621429287,253
1621429317,253
1621429347,253
1621429377,253
1621429407,253
1621429437,253
1621429467,253
1621429497,253
1621429527,253
1621429557,253
1621429587,253
1621429617,253
1621429647,253
1621429677,253
1621429707,253
1621429737,253
1621429767,253
1621429797,253
1621429827,253
1621429857,253
1621429887,253
1621429917,253
1621429947,253
1621429977,253
1621430007,253
1621430037,253
1621430067,253
1621430097,253
1621430127,253
1621430157,253
1621430187,253
1621430217,253
1621430247,253
1621430277,253
1621430307,253
1621430337,253
1621430367,253
1621430397,253
1621430427,253
1621430457,253
1621430487,253
1621430517,253
1621430547,253
1621430577,253
1621430607,253
1621430637,253
1621430667,253
1621430697,253
1621430727,253
1621430757,253
1621430787,253
1621430817,253
1621430847,253
1621430877,253
1621430907,253
1621430937,253
1621430967,253
1621430997,253
1621431027,253
1621431057,253
1621431087,253
1621431117,253
1621431147,253
1621431177,253
1621431207,253
1621431237,253
1621431267,253
1621431297,253
1621431327,253
1621431357,253
1621431387,253
1621431417,253
1621431447,253
1621431477,253
1621431507,253
1621431537,253
1621431567,253
1621431597,253
1621431627,253
1621431657,253
1621431687,253
1621431717,253
1621431747,253
1621431777,253
1621431807,253
1621431837,253
1621431867,253
1621431897,253
1621431927,253
1621431957,253
1621431987,253
1621432017,253
1621432047,253
1621432077,253
1621432107,253
1621432137,253
1621432167,253
1621432197,253
1621432227,253
1621432257,253
1621432287,253
1621432317,253
1621432347,253
1621432377,253
1621432407,253
1621432437,253
1621432467,253
1621432497,253
1621432527,253
1621432557,253
1621432587,253
1621432617,253
1621432647,253
1621432677,253
