t,value
1621428117,1066859
1621428147,1066859
1621428177,1066859
1621428207,1066859
1621428237,1066859
1621428267,1066859
1621428297,1066859
1621428327,1066859
1621428357,1066859
1621428387,1066859
1621428417,1066859
1621428447,1066859
1621428477,1066859
1621428507,1066859
1621428537,1066859
1621428567,1066859
1621428597,1066859
1621428627,1066859
1621428657,1066859
1621428687,1066859
1621428717,1066859
1621428747,1066859
1621428777,1066859
1621428807,1066859
1621428837,1066859
1621428867,1066859
1621428897,1066859
1621428927,1066859
1621428957,1066859
1621428987,1066859
1621429017,1066859
1621429047,1066859
1621429077,1066859
1621429107,1066859
1621429137,1066859
1621429167,1066859
1621429197,1066859
1621429227,1066859
1621429257,1066859
1621429287,1066859
1621429317,1066859
1621429347,1066859
1621429377,1066859
1621429407,1066859
1621429437,1066859
1621429467,1066859
1621429497,1066859
1621429527,1066859
1621429557,1066859
1621429587,1066859
1621429617,1066859
1621429647,1066859
1621429677,1066859
1621429707,1066859
1621429737,1066859
1621429767,1066859
1621429797,1066859
1621429827,1066859
1621429857,1066859
1621429887,1066859
1621429917,1066859
1621429947,1066859
1621429977,1066859
1621430007,1066859
1621430037,1066859
1621430067,1066859
1621430097,1066859
1621430127,1066859
1621430157,1066859
1621430187,1066859
1621430217,1066859
1621430247,1066859
1621430277,1066859
1621430307,1066859
1621430337,1066859
1621430367,1066859
1621430397,1066859
1621430427,1066859
1621430457,1066859
1621430487,1066859
1621430517,1066859
1621430547,1066859
1621430577,1066859
1621430607,1066859
1621430637,1066859
1621430667,1066859
1621430697,1066859
1621430727,1066859
1621430757,1066859
1621430787,1066859
1621430817,1066859
1621430847,1066859
1621430877,1066859
1621430907,1066859
1621430937,1066859
1621430967,1066859
1621430997,1066859
1621431027,1066859
1621431057,1066859
1621431087,1066859
1621431117,1066859
1621431147,1066859
1621431177,1066859
1621431207,1066859
1621431237,1066859
1621431267,1066859
1621431297,1066859
1621431327,1066859
1621431357,1066859
1621431387,1066859
1621431417,1066859
1621431447,1066859
1621431477,1066859
1621431507,1066859
1621431537,1066859
1621431567,1066859
1621431597,1066859
1621431627,1066859
1621431657,1066859
1621431687,1066859
1621431717,1066859
1621431747,1066859
1621431777,1066859
1621431807,1066859
1621431837,1066859
1621431867,1066859
1621431897,1066859
1621431927,1066859
1621431957,1066859
1621431987,1066859
1621432017,1066859
1621432047,1066859
1621432077,1066859
1621432107,1066859
1621432137,1066859
1621432167,1066859
1621432197,1066859
1621432227,1066859
1621432257,1066859
1621432287,1066859
1621432317,1066859
1621432347,1066859
1621432377,1066859
1621432407,1066859
1621432437,1066859
1621432467,1066859
1621432497,1066859
1621432527,1066859
1621432557,1066859
1621432587,1066859
1621432617,1066859
1621432647,1066859
1621432677,1066859
