t,value
1621428117,570
1621428147,606
1621428177,606
1621428207,606
1621428237,606
1621428267,606
1621428297,606
1621428327,606
1621428357,606
1621428387,598
1621428417,598
1621428447,598
1621428477,598
1621428507,598
1621428537,598
1621428567,598
1621428597,598
1621428627,598
1621428657,598
1621428687,598
1621428717,598
1621428747,598
1621428777,598
1621428807,598
1621428837,598
1621428867,598
1621428897,598
1621428927,598
1621428957,598
1621428987,598
1621429017,598
1621429047,598
1621429077,598
1621429107,598
1621429137,598
1621429167,598
1621429197,598
1621429227,598
1621429257,598
1621429287,598
1621429317,598
1621429347,598
1621429377,598
1621429407,598
1621429437,598
1621429467,598
1621429497,598
1621429527,598
1621429557,598
1621429587,598
1621429617,598
1621429647,598
1621429677,598
1621429707,598
1621429737,598
1621429767,598
1621429797,598
1621429827,598
1621429857,598
1621429887,598
1621429917,598
1621429947,598
1621429977,598
1621430007,598
1621430037,598
1621430067,598
1621430097,598
1621430127,598
1621430157,598
1621430187,598
1621430217,598
1621430247,598
1621430277,598
1621430307,598
1621430337,598
1621430367,598
1621430397,598
1621430427,598
1621430457,598
1621430487,598
1621430517,598
1621430547,598
1621430577,598
1621430607,598
1621430637,598
1621430667,598
1621430697,598
1621430727,598
1621430757,598
1621430787,598
1621430817,598
1621430847,598
1621430877,598
1621430907,598
1621430937,598
1621430967,598
1621430997,598
1621431027,599
1621431057,598
1621431087,598
1621431117,598
1621431147,598
1621431177,598
1621431207,598
1621431237,598
1621431267,598
1621431297,598
1621431327,598
1621431357,598
1621431387,598
1621431417,598
1621431447,598
1621431477,598
1621431507,598
1621431537,598
1621431567,598
1621431597,598
1621431627,598
1621431657,598
1621431687,598
1621431717,598
1621431747,598
1621431777,598
1621431807,598
1621431837,598
1621431867,598
1621431897,598
1621431927,598
1621431957,598
1621431987,598
1621432017,598
1621432047,598
1621432077,598
1621432107,598
1621432137,598
1621432167,598
1621432197,598
1621432227,598
1621432257,598
1621432287,598
1621432317,598
1621432347,598
1621432377,598
1621432407,602
1621432437,602
1621432467,602
1621432497,602
1621432527,602
1621432557,602
1621432587,602
1621432617,602
1621432647,602
1621432677,602
